timestamp,pps,gbps,tcp,udp,icmp,syn,ack,rst,fin,frag
1762973809,0,0.00,0,0,0,0,0,0,0,0
1762973810,0,0.00,0,0,0,0,0,0,0,0
1762973811,0,0.00,0,0,0,0,0,0,0,0
1762973812,0,0.00,0,0,0,0,0,0,0,0
1762973813,0,0.00,0,0,0,0,0,0,0,0
1762973814,0,0.00,0,0,0,0,0,0,0,0
1762973815,0,0.00,0,0,0,0,0,0,0,0
1762973816,0,0.00,0,0,0,0,0,0,0,0
1762973817,0,0.00,0,0,0,0,0,0,0,0
1762973818,0,0.00,0,0,0,0,0,0,0,0
1762973819,0,0.00,0,0,0,0,0,0,0,0
1762973820,1,0.00,0,0,0,0,0,0,0,0
1762973821,0,0.00,0,0,0,0,0,0,0,0
1762973822,0,0.00,0,0,0,0,0,0,0,0
1762973823,0,0.00,0,0,0,0,0,0,0,0
1762973824,0,0.00,0,0,0,0,0,0,0,0
1762973825,0,0.00,0,0,0,0,0,0,0,0
1762973826,0,0.00,0,0,0,0,0,0,0,0
1762973827,0,0.00,0,0,0,0,0,0,0,0
1762973828,0,0.00,0,0,0,0,0,0,0,0
1762973829,0,0.00,0,0,0,0,0,0,0,0
1762973830,0,0.00,0,0,0,0,0,0,0,0
1762973831,0,0.00,0,0,0,0,0,0,0,0
1762973832,0,0.00,0,0,0,0,0,0,0,0
1762973833,0,0.00,0,0,0,0,0,0,0,0
1762973834,0,0.00,0,0,0,0,0,0,0,0
1762973835,0,0.00,0,0,0,0,0,0,0,0
1762973836,0,0.00,0,0,0,0,0,0,0,0
1762973837,0,0.00,0,0,0,0,0,0,0,0
1762973838,0,0.00,0,0,0,0,0,0,0,0
1762973839,504680,0.59,458686,38332,7662,99390,405179,0,91766,0
1762973840,541997,0.64,492919,40906,8172,106762,435374,0,98432,0
1762973841,539477,0.63,490535,40972,7970,106291,433315,0,98144,0
1762973842,537163,0.63,488415,40690,8058,105830,431440,0,97710,0
1762973843,536080,0.63,486796,40906,8378,105518,430050,0,97544,0
1762973844,534474,0.63,485778,40608,8088,105205,429056,0,96964,0
1762973845,534050,0.63,485602,40464,7984,105226,428962,0,97174,0
1762973846,532803,0.63,484625,39876,8302,105021,428102,0,96994,0
1762973847,491276,0.58,446644,37246,7386,96757,394522,0,89272,0
1762973848,0,0.00,0,0,0,0,0,0,0,0
1762973849,0,0.00,0,0,0,0,0,0,0,0
1762973850,1,0.00,0,0,0,0,0,0,0,0
1762973851,171287,0.20,155691,12962,2634,33743,137535,0,31172,0
1762973852,533121,0.63,484473,40590,8058,104979,427962,0,96936,0
1762973853,530726,0.62,482602,40176,7948,104519,426253,0,96340,0
1762973854,530043,0.62,482089,40172,7782,104466,425859,0,96472,0
1762973855,531519,0.62,483031,40388,8100,104657,426677,0,96606,0
1762973856,531341,0.62,482799,40318,8224,104626,426493,0,96640,0
1762973857,531471,0.63,483165,40196,8110,104647,426756,0,96476,0
