total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
15126947,1896017434,1851275,12714346,561326,3405158,6247078,1402206,9943774,0,0.1456052084786744,0.2251054360142863,999.0,125.34038983543738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000998535090284,mixed
76712304,9613397845,9403865,64464029,2844411,17266010,31665411,7132620,50424681,0,0.14587771111855263,0.22507484588130738,999.0,125.31754808198696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000208504311696,mixed
138283522,17330844126,16956222,116195272,5132028,31120079,57088631,12853456,90895431,0,0.14592867427514605,0.22504546130955502,999.0,125.32833901930846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000127892524007,mixed
199867949,25048230391,24506507,167945149,7416293,44982650,82494333,18577849,131381979,0,0.1459197073920843,0.22506184821059028,999.0,125.32389768506606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000085366611136,mixed
261443063,32765653093,32054752,219685470,9702841,58841293,107905882,24295085,171861312,0,0.14591202595237637,0.2250635083784954,999.0,125.3261521534423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000068319602224,mixed
323069186,40697359313,39982606,271109121,11977369,72612249,133175917,29988751,212089521,420960,0.14747790798229912,0.22475758180168875,503.8234535347776,125.97103368750247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000066931080243,mixed
384882479,49508227039,49780429,320926832,14175060,85953638,157645922,35485869,251048329,2966759,0.15511457452706853,0.22332437221700602,84.62039855613483,128.63206235740338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000030248910843,mixed
446491048,58357846653,59408990,370705737,16376137,99288270,182078178,40982192,289996201,5336976,0.16025915994928344,0.22237460402565562,54.33717539670405,130.7032849021421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9999979856653907,mixed
