total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
8483615,1285071436,7063619,1419996,0,1064774,828816,667230,0,8483615,4.974393589841098,0.12550946736738997,0.0,151.4768687640823,667359,0,0,15,0,0,0,11,0,0,667614,80,665165,0,332666,333335,0,666282,666455,0,665883,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
17817643,3885417562,11954663,5862980,0,4352712,3495547,845002,0,17817643,2.0390079788776356,0.24429224449047499,0.0,218.0657431513248,845230,0,0,73,0,0,0,53,0,0,844961,172,842466,0,421541,422347,0,843665,844345,0,843989,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
27347551,5240501199,20179663,7167888,0,5292006,4322347,1655112,0,27347551,2.8152871529242645,0.19350932008500504,0.0,191.62597773380148,1655883,0,0,91,0,0,0,66,0,0,1655792,260,1650930,0,825531,827157,0,1653210,1654025,0,1653219,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
36675007,7945298987,24766569,11908438,0,8821225,7132266,1771771,0,36675007,2.0797495859658506,0.2405241531378576,0.0,216.64069449257366,1772831,0,0,150,0,0,0,109,0,0,1772780,353,1767889,0,884238,885864,0,1770435,1771244,0,1770463,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
46216555,9264342262,33130447,13086108,0,9646783,7915823,2610223,0,46216555,2.5317265454327598,0.20873003191172515,0.0,200.45505905838286,2611857,0,0,166,0,0,0,120,0,0,2611255,446,2604343,0,1302092,1304518,0,2607389,2608949,0,2607964,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
55551051,11966279011,37710527,17840524,0,13198795,10712989,2724169,0,55551051,2.1137566923482742,0.23759757488656696,0.0,215.41048811119703,2725269,0,0,222,0,0,0,164,0,0,2725480,535,2717533,0,1359294,1361544,0,2721632,2722516,0,2721962,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
65083651,13358906786,45901094,19182557,0,14135453,11612697,3530764,0,65083651,2.392855863793341,0.21718899881630796,0.0,205.25748910429132,3532335,0,0,241,0,0,0,177,0,0,3532068,632,3522841,0,1761339,1764527,0,3526954,3529427,0,3527665,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
74440367,15953834381,50759538,23680829,0,17502415,14248492,3696363,0,74440367,2.143486530813596,0.2351199450695884,0.0,214.31697644639502,3698114,0,0,293,0,0,0,219,0,0,3698000,716,3687488,0,1844455,1847316,0,3692933,3694411,0,3693426,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
83949550,17515565410,58515062,25434488,0,18740583,15400496,4419819,0,83949550,2.3006188290481804,0.22323625320207197,0.0,208.64394639399495,4423061,0,0,321,0,0,0,233,0,0,4422471,811,4411406,0,2205659,2209459,0,4416149,4419266,0,4417285,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
93339071,19915120816,63897346,29441725,0,21741925,17745214,4685006,0,93339071,2.1702989889349213,0.2329348767570228,0.0,213.363177955778,4687427,0,0,366,0,0,0,268,0,0,4686966,900,4674118,0,2337848,2341665,0,4680843,4682849,0,4681574,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
102804436,21677441818,71103071,31701365,0,23357037,19196921,5305447,0,102804436,2.2429025059331043,0.22719872710551128,0.0,210.86095757579955,5309344,0,0,401,0,0,0,290,0,0,5308235,993,5295377,0,2647578,2652357,0,5301492,5304740,0,5302996,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
112211167,23858708220,77049734,35161433,0,25949719,21219760,5679098,0,112211167,2.1913138181825524,0.23125790145289193,0.0,212.62329639615993,5681914,0,0,438,0,0,0,321,0,0,5681232,1085,5666084,0,2833913,2838457,0,5674039,5676551,0,5675097,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
121627867,25848359083,83630649,37997218,0,27995179,23010238,6182367,0,121627867,2.2009676866343213,0.23017076341559126,0.0,212.520039367294,6186880,0,0,480,0,0,0,348,0,0,6184945,1178,6169479,0,3085370,3090464,0,6177292,6181221,0,6179404,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
131059651,27794279615,90194562,40865089,0,30145506,24684792,6673622,0,131059651,2.20712995388313,0.23001362944267265,0.0,212.07350548339244,6677047,0,0,509,0,0,0,370,0,0,6676110,1267,6658507,0,3330295,3335518,0,6667545,6670662,0,6669001,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
140437246,30029757113,96114254,44322992,0,32655735,26841150,7052132,0,140437246,2.1684965220759467,0.23252901869066842,0.0,213.8304329394212,7056363,0,0,560,0,0,0,406,0,0,7054553,1359,7037005,0,3519416,3524566,0,7046270,7049787,0,7048366,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
149913511,31725027968,103354313,46559198,0,34332601,28146399,7670947,0,149913511,2.2198473650684445,0.2290160557976659,0.0,211.62220640673274,7675066,0,0,583,0,0,0,421,0,0,7673991,1450,7653739,0,3828058,3833947,0,7664037,7667685,0,7665918,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
159274881,34144613978,108776227,50498654,0,37216762,30562605,7952333,0,159274881,2.1540421057559276,0.23366372504148974,0.0,214.37538526869156,7956921,0,0,637,0,0,0,462,0,0,7955101,1545,7935144,0,3968742,3974693,0,7945714,7949665,0,7948108,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
168774186,35653267914,116534523,52239663,0,38509414,31600244,8671438,0,168774186,2.2307671280344974,0.22817123229970726,0.0,211.2483476234926,8676139,0,0,657,0,0,0,476,0,0,8674871,1634,8652071,0,4327374,4334013,0,8663679,8667815,0,8665895,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
178112216,38216571181,121530841,56581375,0,41715860,34217048,8870098,0,178112216,2.1478947975371754,0.23421111104473596,0.0,214.56457080405983,8874801,0,0,715,0,0,0,517,0,0,8873148,1728,8850361,0,4426617,4433384,0,8861967,8866740,0,8864828,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
187628110,39597527390,129664657,57963453,0,42718327,35080083,9663004,0,187628110,2.2370071189513157,0.22767551727723528,0.0,211.04261717500646,9668332,0,0,733,0,0,0,530,0,0,9666780,1815,9641548,0,4822191,4829739,0,9654357,9659022,0,9656938,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
196952870,42283053888,134305409,62647461,0,46201415,37863455,9790743,0,196952870,2.1438284466149393,0.23458107008037,0.0,214.68615251963578,9796350,0,0,792,0,0,0,573,0,0,9794610,1906,9769654,0,4886120,4893843,0,9782345,9787360,0,9785132,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
206474260,43590296270,142666633,63807627,0,47017596,38630408,10629900,0,206474260,2.235886832149392,0.2277165008364723,0.0,211.11733864550476,10636169,0,0,807,0,0,0,585,0,0,10634279,2002,10606700,0,5304601,5312969,0,10620033,10625818,0,10623321,0,0.0,0.0,0.0,0.0,0.0,0.0,attack
