total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
3818196,272046903,3818196,0,0,0,0,3818196,0,3818196,0.0,0.0,0.0,71.25011471385963,0,0,0,3818196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
9434057,672176210,9434057,0,0,0,0,9434057,0,9434057,0.0,0.0,0.0,71.24996276787388,0,0,0,9434057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
15032890,1071087820,15032890,0,0,0,0,15032890,0,15032890,0.0,0.0,0.0,71.2496279823773,0,0,0,15032890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
20632719,1470081162,20632719,0,0,0,0,20632719,0,20632719,0.0,0.0,0.0,71.24999676484714,0,0,0,20632719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
26261187,1871110648,26261187,0,0,0,0,26261187,0,26261187,0.0,0.0,0.0,71.2500409063764,0,0,0,26261187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
31865554,2270418184,31865554,0,0,0,0,31865554,0,31865554,0.0,0.0,0.0,71.24992033717663,0,0,0,31865554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
37464862,2669366552,37464862,0,0,0,0,37464862,0,37464862,0.0,0.0,0.0,71.24987013164495,0,0,0,37464862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
43077560,3069273273,43077560,0,0,0,0,43077560,0,43077560,0.0,0.0,0.0,71.24993321348748,0,0,0,43077560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
48697925,3469726029,48697925,0,0,0,0,48697925,0,48697925,0.0,0.0,0.0,71.24997685219647,0,0,0,48697925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
54295678,3868559100,54295678,0,0,0,0,54295678,0,54295678,0.0,0.0,0.0,71.24985344137336,0,0,0,54295678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
59892492,4267336543,59892492,0,0,0,0,59892492,0,59892492,0.0,0.0,0.0,71.24994136159837,0,0,0,59892492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
65519628,4668270252,65519628,0,0,0,0,65519628,0,65519628,0.0,0.0,0.0,71.24995050338198,0,0,0,65519628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
71128983,5067934392,71128983,0,0,0,0,71128983,0,71128983,0.0,0.0,0.0,71.24992061253006,0,0,0,71128983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
76727903,5466856106,76727903,0,0,0,0,76727903,0,76727903,0.0,0.0,0.0,71.24990899334236,0,0,0,76727903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
82337141,5866517799,82337141,0,0,0,0,82337141,0,82337141,0.0,0.0,0.0,71.24995752524369,0,0,0,82337141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
87962871,6267353486,87962871,0,0,0,0,87962871,0,87962871,0.0,0.0,0.0,71.24998780451357,0,0,0,87962871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
93562361,6666309497,93562361,0,0,0,0,93562361,0,93562361,0.0,0.0,0.0,71.2499067547045,0,0,0,93562361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
99163016,7065357583,99163016,0,0,0,0,99163016,0,99163016,0.0,0.0,0.0,71.24992631325372,0,0,0,99163016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
104786099,7466004393,104786099,0,0,0,0,104786099,0,104786099,0.0,0.0,0.0,71.24995074966957,0,0,0,104786099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
110399101,7865928988,110399101,0,0,0,0,110399101,0,110399101,0.0,0.0,0.0,71.24993697185994,0,0,0,110399101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dns
