total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
2099560,170064360,2099560,0,0,0,0,0,0,2099560,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,2099521,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
11688829,946795149,11688829,0,0,0,0,0,0,11688829,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,11688626,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
21281900,1723833900,21281900,0,0,0,0,0,0,21281900,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,21281544,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
30874029,2500796349,30874029,0,0,0,0,0,0,30874029,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,30873519,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
40464269,3277605789,40464269,0,0,0,0,0,0,40464269,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,40463591,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
50058621,4054748301,50058621,0,0,0,0,0,0,50058621,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,827,0,0,0,0,0,50057794,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
59655307,4832079867,59655307,0,0,0,0,0,0,59655307,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,989,0,0,0,0,0,59654318,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
69246454,5608962774,69246454,0,0,0,0,0,0,69246454,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1148,0,0,0,0,0,69245306,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
78838943,6385954383,78838943,0,0,0,0,0,0,78838943,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1307,0,0,0,0,0,78837636,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
88436255,7163336655,88436255,0,0,0,0,0,0,88436255,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,0,88434790,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
98027172,7940200932,98027172,0,0,0,0,0,0,98027172,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1617,0,0,0,0,0,98025555,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
107621780,8717364180,107621780,0,0,0,0,0,0,107621780,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1779,0,0,0,0,0,107620001,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
117219257,9494759817,117219257,0,0,0,0,0,0,117219257,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1936,0,0,0,0,0,117217321,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
126809199,10271545119,126809199,0,0,0,0,0,0,126809199,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,2095,0,0,0,0,0,126807104,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
136402740,11048621940,136402740,0,0,0,0,0,0,136402740,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,2256,0,0,0,0,0,136400484,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
145999970,11825997570,145999970,0,0,0,0,0,0,145999970,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,2409,0,0,0,0,0,145997561,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
155593904,12603106224,155593904,0,0,0,0,0,0,155593904,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,2572,0,0,0,0,0,155591332,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
165186682,13380121242,165186682,0,0,0,0,0,0,165186682,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,2737,0,0,0,0,0,165183945,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
174781549,14157305469,174781549,0,0,0,0,0,0,174781549,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,2888,0,0,0,0,0,174778661,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
184375277,14934397437,184375277,0,0,0,0,0,0,184375277,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,3045,0,0,0,0,0,184372232,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
193966347,15711274107,193966347,0,0,0,0,0,0,193966347,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,3210,0,0,0,0,0,193963137,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
203561212,16488458172,203561212,0,0,0,0,0,0,203561212,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,3364,0,0,0,0,0,203557848,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
213157352,17265745512,213157352,0,0,0,0,0,0,213157352,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,3519,0,0,0,0,0,213153833,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
222749627,18042719787,222749627,0,0,0,0,0,0,222749627,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,3686,0,0,0,0,0,222745941,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
232341876,18819691956,232341876,0,0,0,0,0,0,232341876,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,3837,0,0,0,0,0,232338039,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
241937688,19596952728,241937688,0,0,0,0,0,0,241937688,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,3995,0,0,0,0,0,241933693,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
251530721,20373988401,251530721,0,0,0,0,0,0,251530721,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,4152,0,0,0,0,0,251526569,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
261122100,21150890100,261122100,0,0,0,0,0,0,261122100,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,4312,0,0,0,0,0,261117788,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
270719390,21928270590,270719390,0,0,0,0,0,0,270719390,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,4470,0,0,0,0,0,270714920,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
280311398,22705223238,280311398,0,0,0,0,0,0,280311398,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,4625,0,0,0,0,0,280306773,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
289903509,23482184229,289903509,0,0,0,0,0,0,289903509,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,4789,0,0,0,0,0,289898720,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
299502107,24259670667,299502107,0,0,0,0,0,0,299502107,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,4942,0,0,0,0,0,299497165,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
309094736,25036673616,309094736,0,0,0,0,0,0,309094736,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,5103,0,0,0,0,0,309089633,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
318688168,25813741608,318688168,0,0,0,0,0,0,318688168,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,5268,0,0,0,0,0,318682900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
328284252,26591024412,328284252,0,0,0,0,0,0,328284252,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,5419,0,0,0,0,0,328278833,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
337879544,27368243064,337879544,0,0,0,0,0,0,337879544,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,5579,0,0,0,0,0,337873965,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
347471828,28145218068,347471828,0,0,0,0,0,0,347471828,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,5743,0,0,0,0,0,347466085,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
357066699,28922402619,357066699,0,0,0,0,0,0,357066699,0.0,0.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,5895,0,0,0,0,0,357060804,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
