total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
1617465,97047900,1617465,0,0,0,0,0,0,1617465,0.0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1617436,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
3616011,216960660,3616011,0,0,0,0,0,0,3616011,0.0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,3615934,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
5616214,336972840,5616214,0,0,0,0,0,0,5616214,0.0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,5616116,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
7615393,456923580,7615393,0,0,0,0,0,0,7615393,0.0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,7615257,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
9613257,576795420,9613257,0,0,0,0,0,0,9613257,0.0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,9613080,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
11614723,696883380,11614723,0,0,0,0,0,0,11614723,0.0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,11614515,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
13612737,816764220,13612737,0,0,0,0,0,0,13612737,0.0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,13612491,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mssql
