total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
3708829,367178264,3708829,0,0,0,0,0,0,3708829,0.0,0.0,0.0,99.0011305455172,0,0,0,0,0,0,0,0,0,0,0,62,0,0,1854085,1854682,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
15888360,1572950300,15888360,0,0,0,0,0,0,15888360,0.0,0.0,0.0,99.00016741816022,0,0,0,0,0,0,0,0,0,0,0,268,0,0,7943852,7944240,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
28072985,2779237744,28072985,0,0,0,0,0,0,28072985,0.0,0.0,0.0,99.00043561452406,0,0,0,0,0,0,0,0,0,0,0,479,0,0,14035371,14037135,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
40255891,3985352158,40255891,0,0,0,0,0,0,40255891,0.0,0.0,0.0,99.00047071371492,0,0,0,0,0,0,0,0,0,0,0,691,0,0,20126235,20128965,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
52436692,5191266682,52436692,0,0,0,0,0,0,52436692,0.0,0.0,0.0,99.00065171921982,0,0,0,0,0,0,0,0,0,0,0,900,0,0,26215443,26220349,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
64618912,6397305384,64618912,0,0,0,0,0,0,64618912,0.0,0.0,0.0,99.00051217204029,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,32306523,32311287,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
76799599,7603199004,76799599,0,0,0,0,0,0,76799599,0.0,0.0,0.0,99.00050394794378,0,0,0,0,0,0,0,0,0,0,0,1305,0,0,38396363,38401931,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
88982136,8809272190,88982136,0,0,0,0,0,0,88982136,0.0,0.0,0.0,99.00045768737222,0,0,0,0,0,0,0,0,0,0,0,1511,0,0,44487376,44493249,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
101162825,10015163026,101162825,0,0,0,0,0,0,101162825,0.0,0.0,0.0,99.00042852698112,0,0,0,0,0,0,0,0,0,0,0,1723,0,0,50577420,50583682,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
113345075,11221210802,113345075,0,0,0,0,0,0,113345075,0.0,0.0,0.0,99.0004268116634,0,0,0,0,0,0,0,0,0,0,0,1933,0,0,56668079,56675063,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
