total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
2595815,233623350,2595815,0,0,0,0,0,0,2595815,0.0,0.0,0.0,90.0,2595815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
12200531,1098047790,12200531,0,0,0,0,0,0,12200531,0.0,0.0,0.0,90.0,12200531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
21800277,1962024930,21800277,0,0,0,0,0,0,21800277,0.0,0.0,0.0,90.0,21800277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
31406875,2826618750,31406875,0,0,0,0,0,0,31406875,0.0,0.0,0.0,90.0,31406875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
41008301,3690747090,41008301,0,0,0,0,0,0,41008301,0.0,0.0,0.0,90.0,41008301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
50615412,4555387080,50615412,0,0,0,0,0,0,50615412,0.0,0.0,0.0,90.0,50615412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
60219399,5419745910,60219399,0,0,0,0,0,0,60219399,0.0,0.0,0.0,90.0,60219399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
69824317,6284188530,69824317,0,0,0,0,0,0,69824317,0.0,0.0,0.0,90.0,69824317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
79431284,7148815560,79431284,0,0,0,0,0,0,79431284,0.0,0.0,0.0,90.0,79431284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
89037005,8013330450,89037005,0,0,0,0,0,0,89037005,0.0,0.0,0.0,90.0,89037005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
98643934,8877954060,98643934,0,0,0,0,0,0,98643934,0.0,0.0,0.0,90.0,98643934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
108248079,9742327110,108248079,0,0,0,0,0,0,108248079,0.0,0.0,0.0,90.0,108248079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
117855267,10606974030,117855267,0,0,0,0,0,0,117855267,0.0,0.0,0.0,90.0,117855267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
127459328,11471339520,127459328,0,0,0,0,0,0,127459328,0.0,0.0,0.0,90.0,127459328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
137064961,12335846490,137064961,0,0,0,0,0,0,137064961,0.0,0.0,0.0,90.0,137064961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
146668839,13200195510,146668839,0,0,0,0,0,0,146668839,0.0,0.0,0.0,90.0,146668839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
156272598,14064533820,156272598,0,0,0,0,0,0,156272598,0.0,0.0,0.0,90.0,156272598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
165878116,14929030440,165878116,0,0,0,0,0,0,165878116,0.0,0.0,0.0,90.0,165878116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
175481660,15793349400,175481660,0,0,0,0,0,0,175481660,0.0,0.0,0.0,90.0,175481660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
185085216,16657669440,185085216,0,0,0,0,0,0,185085216,0.0,0.0,0.0,90.0,185085216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
194690604,17522154360,194690604,0,0,0,0,0,0,194690604,0.0,0.0,0.0,90.0,194690604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
204292772,18386349480,204292772,0,0,0,0,0,0,204292772,0.0,0.0,0.0,90.0,204292772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
213899731,19250975790,213899731,0,0,0,0,0,0,213899731,0.0,0.0,0.0,90.0,213899731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
223501037,20115093330,223501037,0,0,0,0,0,0,223501037,0.0,0.0,0.0,90.0,223501037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
233106558,20979590220,233106558,0,0,0,0,0,0,233106558,0.0,0.0,0.0,90.0,233106558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
242707773,21843699570,242707773,0,0,0,0,0,0,242707773,0.0,0.0,0.0,90.0,242707773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
252313157,22708184130,252313157,0,0,0,0,0,0,252313157,0.0,0.0,0.0,90.0,252313157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
261913981,23572258290,261913981,0,0,0,0,0,0,261913981,0.0,0.0,0.0,90.0,261913981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
271519799,24436781910,271519799,0,0,0,0,0,0,271519799,0.0,0.0,0.0,90.0,271519799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
281121006,25300890540,281121006,0,0,0,0,0,0,281121006,0.0,0.0,0.0,90.0,281121006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
290727247,26165452230,290727247,0,0,0,0,0,0,290727247,0.0,0.0,0.0,90.0,290727247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
300328334,27029550060,300328334,0,0,0,0,0,0,300328334,0.0,0.0,0.0,90.0,300328334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
309933568,27894021120,309933568,0,0,0,0,0,0,309933568,0.0,0.0,0.0,90.0,309933568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
319538542,28758468780,319538542,0,0,0,0,0,0,319538542,0.0,0.0,0.0,90.0,319538542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
329140990,29622689100,329140990,0,0,0,0,0,0,329140990,0.0,0.0,0.0,90.0,329140990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
338746168,30487155120,338746168,0,0,0,0,0,0,338746168,0.0,0.0,0.0,90.0,338746168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
348349474,31351452660,348349474,0,0,0,0,0,0,348349474,0.0,0.0,0.0,90.0,348349474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
357954487,32215903830,357954487,0,0,0,0,0,0,357954487,0.0,0.0,0.0,90.0,357954487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
367555308,33079977720,367555308,0,0,0,0,0,0,367555308,0.0,0.0,0.0,90.0,367555308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
377159474,33944352660,377159474,0,0,0,0,0,0,377159474,0.0,0.0,0.0,90.0,377159474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
386763043,34808673870,386763043,0,0,0,0,0,0,386763043,0.0,0.0,0.0,90.0,386763043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
396366129,35672951610,396366129,0,0,0,0,0,0,396366129,0.0,0.0,0.0,90.0,396366129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
405971101,36537399090,405971101,0,0,0,0,0,0,405971101,0.0,0.0,0.0,90.0,405971101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
415574176,37401675840,415574176,0,0,0,0,0,0,415574176,0.0,0.0,0.0,90.0,415574176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
425177785,38266000650,425177785,0,0,0,0,0,0,425177785,0.0,0.0,0.0,90.0,425177785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ntp
