total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
484647,39741054,484647,0,0,0,0,0,0,484647,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,6,484641,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
6083298,498830436,6083298,0,0,0,0,0,0,6083298,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,95,6083203,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
11682271,957946222,11682271,0,0,0,0,0,0,11682271,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,175,11682096,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
17280637,1417012234,17280637,0,0,0,0,0,0,17280637,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,261,17280376,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
22879739,1876138598,22879739,0,0,0,0,0,0,22879739,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,340,22879399,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
28477642,2335166644,28477642,0,0,0,0,0,0,28477642,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,421,28477221,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
34076478,2794271196,34076478,0,0,0,0,0,0,34076478,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,511,34075967,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
39675296,3253374272,39675296,0,0,0,0,0,0,39675296,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,591,39674705,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
45273768,3712448976,45273768,0,0,0,0,0,0,45273768,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,677,45273091,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
50872737,4171564434,50872737,0,0,0,0,0,0,50872737,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,756,50871981,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
56471961,4630700802,56471961,0,0,0,0,0,0,56471961,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,837,56471124,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
62072106,5089912692,62072106,0,0,0,0,0,0,62072106,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,927,62071179,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
67670319,5548966158,67670319,0,0,0,0,0,0,67670319,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1006,67669313,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
73268402,6008008964,73268402,0,0,0,0,0,0,73268402,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1093,73267309,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
78866031,6467014542,78866031,0,0,0,0,0,0,78866031,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1172,78864859,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
84464190,6926063580,84464190,0,0,0,0,0,0,84464190,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1252,84462938,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
90062686,7385140252,90062686,0,0,0,0,0,0,90062686,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1343,90061343,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
95660788,7844184616,95660788,0,0,0,0,0,0,95660788,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1420,95659368,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
101258604,8303205528,101258604,0,0,0,0,0,0,101258604,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1509,101257095,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
106856767,8762254894,106856767,0,0,0,0,0,0,106856767,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1588,106855179,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
112454971,9221307622,112454971,0,0,0,0,0,0,112454971,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1668,112453303,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
118054961,9680506802,118054961,0,0,0,0,0,0,118054961,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1759,118053202,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
123653559,10139591838,123653559,0,0,0,0,0,0,123653559,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1836,123651723,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,portmap
