total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
7713153,632478546,7713153,0,0,0,0,0,0,7713153,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,7713153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
17324557,1420613674,17324557,0,0,0,0,0,0,17324557,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,17324557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
26940751,2209141582,26940751,0,0,0,0,0,0,26940751,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,26940751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
36554551,2997473182,36554551,0,0,0,0,0,0,36554551,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,36554551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
46167718,3785752876,46167718,0,0,0,0,0,0,46167718,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,46167718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
55781212,4574059384,55781212,0,0,0,0,0,0,55781212,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,55781212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
65392150,5362156300,65392150,0,0,0,0,0,0,65392150,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,65392150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
75007185,6150589170,75007185,0,0,0,0,0,0,75007185,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,75007185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
84618433,6938711506,84618433,0,0,0,0,0,0,84618433,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,84618433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
94230991,7726941262,94230991,0,0,0,0,0,0,94230991,0.0,0.0,0.0,82.0,0,0,0,0,0,0,0,94230991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,snmp
