total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
1203983,163741688,1203983,0,0,0,0,0,0,1203983,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,1203983,21,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
10798524,1468599264,10798524,0,0,0,0,0,0,10798524,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,10798524,192,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
20393210,2773476560,20393210,0,0,0,0,0,0,20393210,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,20393210,357,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
29988016,4078370176,29988016,0,0,0,0,0,0,29988016,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,29988016,520,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
39582061,5383160296,39582061,0,0,0,0,0,0,39582061,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,39582061,695,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
49174097,6687677192,49174097,0,0,0,0,0,0,49174097,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,49174097,849,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
58769618,7992668048,58769618,0,0,0,0,0,0,58769618,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,58769618,1020,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
68365496,9297707456,68365496,0,0,0,0,0,0,68365496,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,68365496,1184,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
77961005,10602696680,77961005,0,0,0,0,0,0,77961005,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,77961005,1346,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
87555385,11907532360,87555385,0,0,0,0,0,0,87555385,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,87555385,1522,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
97148097,13212141192,97148097,0,0,0,0,0,0,97148097,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,97148097,1676,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
106741509,14516845224,106741509,0,0,0,0,0,0,106741509,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,106741509,1847,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
116333712,15821384832,116333712,0,0,0,0,0,0,116333712,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,116333712,2011,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
125926838,17126049968,125926838,0,0,0,0,0,0,125926838,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,125926838,2174,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
135520264,18430755904,135520264,0,0,0,0,0,0,135520264,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,135520264,2350,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
145113395,19735421720,145113395,0,0,0,0,0,0,145113395,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,145113395,2503,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
154707403,21040206808,154707403,0,0,0,0,0,0,154707403,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,154707403,2675,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
164303010,22345209360,164303010,0,0,0,0,0,0,164303010,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,164303010,2839,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
173898832,23650241152,173898832,0,0,0,0,0,0,173898832,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,173898832,3002,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
183494381,24955235816,183494381,0,0,0,0,0,0,183494381,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,183494381,3176,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
193089478,26260169008,193089478,0,0,0,0,0,0,193089478,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,193089478,3330,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
202686511,27565365496,202686511,0,0,0,0,0,0,202686511,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,202686511,3503,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
212281936,28870343296,212281936,0,0,0,0,0,0,212281936,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,212281936,3666,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
221877509,30175341224,221877509,0,0,0,0,0,0,221877509,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,221877509,3829,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
231472430,31480250480,231472430,0,0,0,0,0,0,231472430,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,231472430,4003,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
241066593,32785056648,241066593,0,0,0,0,0,0,241066593,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,241066593,4157,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
250660974,34089892464,250660974,0,0,0,0,0,0,250660974,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,250660974,4331,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
260255794,35394787984,260255794,0,0,0,0,0,0,260255794,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,260255794,4493,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
269851070,36699745520,269851070,0,0,0,0,0,0,269851070,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,269851070,4657,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
279445527,38004591672,279445527,0,0,0,0,0,0,279445527,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,279445527,4831,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
289037895,39309153720,289037895,0,0,0,0,0,0,289037895,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,289037895,4985,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
298632217,40613981512,298632217,0,0,0,0,0,0,298632217,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,298632217,5158,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
308226641,41918823176,308226641,0,0,0,0,0,0,308226641,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,308226641,5321,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
317820341,43223566376,317820341,0,0,0,0,0,0,317820341,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,317820341,5485,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
327415288,44528479168,327415288,0,0,0,0,0,0,327415288,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,327415288,5659,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
337007860,45833068824,337007860,0,0,0,0,0,0,337007860,0.0,0.0,0.0,135.9999995964486,0,0,0,0,0,0,0,0,0,0,337007859,5813,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
346602432,47137930888,346602433,0,0,0,0,0,0,346602432,0.0,0.0,0.0,136.0000003923804,0,0,0,0,0,0,0,0,0,0,346602433,5984,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
356198005,48442928680,356198005,0,0,0,0,0,0,356198005,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,356198005,6149,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
365791313,49747618568,365791313,0,0,0,0,0,0,365791313,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,365791313,6312,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
375385405,51052415080,375385405,0,0,0,0,0,0,375385405,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,375385405,6483,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
384970639,52356006904,384970639,0,0,0,0,0,0,384970639,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,384970639,6641,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
394563099,53660581464,394563099,0,0,0,0,0,0,394563099,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,394563099,6812,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
404155647,54965167992,404155647,0,0,0,0,0,0,404155647,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,404155647,6976,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
413750774,56270105264,413750774,0,0,0,0,0,0,413750774,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,413750774,7140,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
423346178,57575080208,423346178,0,0,0,0,0,0,423346178,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,423346178,7310,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
432940014,58879841904,432940014,0,0,0,0,0,0,432940014,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,432940014,7468,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
442534346,60184671192,442534347,0,0,0,0,0,0,442534347,0.0,0.0,0.0,136.0000003073208,0,0,0,0,0,0,0,0,0,0,442534347,7640,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
452127654,61489360944,452127654,0,0,0,0,0,0,452127654,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,452127654,7803,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
461722219,62794221784,461722219,0,0,0,0,0,0,461722219,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,461722219,7968,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
471317117,64099127912,471317117,0,0,0,0,0,0,471317117,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,471317117,8138,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
480907865,65403469640,480907865,0,0,0,0,0,0,480907865,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,480907865,8296,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
490503936,66708535296,490503936,0,0,0,0,0,0,490503936,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,490503936,8467,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
500098478,68013393008,500098478,0,0,0,0,0,0,500098478,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,500098478,8631,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
509693196,69318274656,509693196,0,0,0,0,0,0,509693196,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,509693196,8796,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
519288609,70623250824,519288609,0,0,0,0,0,0,519288609,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,519288609,8966,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
528882039,71927957304,528882039,0,0,0,0,0,0,528882039,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,528882039,9122,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
538477183,73232896888,538477183,0,0,0,0,0,0,538477183,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,538477183,9294,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
548072391,74537845176,548072391,0,0,0,0,0,0,548072391,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,548072391,9459,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
557668104,75842862144,557668104,0,0,0,0,0,0,557668104,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,557668104,9623,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
567264164,77147926304,567264164,0,0,0,0,0,0,567264164,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,567264164,9794,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
576857527,78452623672,576857527,0,0,0,0,0,0,576857527,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,576857527,9950,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
586451660,79757425760,586451660,0,0,0,0,0,0,586451660,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,586451660,10122,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
596047822,81062503792,596047822,0,0,0,0,0,0,596047822,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,596047822,10287,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
605642666,82367402576,605642666,0,0,0,0,0,0,605642666,0.0,0.0,0.0,136.0,0,0,0,0,0,0,0,0,0,0,605642666,10451,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ssdp
