total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
2689151,164035806,2689151,0,0,0,0,0,0,2689151,0.0,0.0,0.0,60.999105665691516,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,2689113,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
6622220,403955185,6622220,0,0,0,0,0,0,6622220,0.0,0.0,0.0,60.99996451341091,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,6622122,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
10552116,643677892,10552116,0,0,0,0,0,0,10552116,0.0,0.0,0.0,60.99988779501666,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,10551965,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
14477179,883103869,14477179,0,0,0,0,0,0,14477179,0.0,0.0,0.0,60.99972024936626,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,14476961,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
18409737,1122990780,18409737,0,0,0,0,0,0,18409737,0.0,0.0,0.0,60.99982742827885,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,18409459,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
22339555,1362708864,22339555,0,0,0,0,0,0,22339555,0.0,0.0,0.0,60.99982134827663,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,22339222,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
26265817,1602208543,26265817,0,0,0,0,0,0,26265817,0.0,0.0,0.0,60.99976037295927,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,26265421,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
30196487,1841980483,30196487,0,0,0,0,0,0,30196487,0.0,0.0,0.0,60.999826999743384,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,30196033,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
34127248,2081754794,34127248,0,0,0,0,0,0,34127248,0.0,0.0,0.0,60.99978509840582,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,34126733,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
38054634,2321323593,38054634,0,0,0,0,0,0,38054634,0.0,0.0,0.0,60.99976136940379,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,38054058,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
41985111,2561083409,41985111,0,0,0,0,0,0,41985111,0.0,0.0,0.0,60.99980083415761,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,41984476,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
45916040,2800868774,45916040,0,0,0,0,0,0,45916040,0.0,0.0,0.0,60.99978948533018,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,45915346,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
49843184,3040422439,49843184,0,0,0,0,0,0,49843184,0.0,0.0,0.0,60.99976355844362,0,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0,0,0,0,0,49842428,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
53773626,3280179864,53773626,0,0,0,0,0,0,53773626,0.0,0.0,0.0,60.99978945068722,0,0,0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,53772813,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
57705013,3519993065,57705013,0,0,0,0,0,0,57705013,0.0,0.0,0.0,60.99977942990846,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,57704142,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
61631193,3759488348,61631193,0,0,0,0,0,0,61631193,0.0,0.0,0.0,60.99976594644209,0,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0,0,0,0,61630258,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
65562071,3999271484,65562071,0,0,0,0,0,0,65562071,0.0,0.0,0.0,60.999773542846135,0,0,0,0,0,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,65561080,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
69493905,4239112713,69493905,0,0,0,0,0,0,69493905,0.0,0.0,0.0,60.99977707397505,0,0,0,0,0,0,0,0,0,0,0,1052,0,0,0,0,0,0,0,0,69492853,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
73419811,4478590740,73419811,0,0,0,0,0,0,73419811,0.0,0.0,0.0,60.9997584984249,0,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,73418695,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
77349376,4718294247,77349376,0,0,0,0,0,0,77349376,0.0,0.0,0.0,60.9997713103723,0,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,77348204,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
81281619,4958159985,81281619,0,0,0,0,0,0,81281619,0.0,0.0,0.0,60.999769025270034,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,81280387,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
85207217,5197619449,85207217,0,0,0,0,0,0,85207217,0.0,0.0,0.0,60.99975603005553,0,0,0,0,0,0,0,0,0,0,0,1297,0,0,0,0,0,0,0,0,85205920,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
89137268,5437352526,89137268,0,0,0,0,0,0,89137268,0.0,0.0,0.0,60.9997664052257,0,0,0,0,0,0,0,0,0,0,0,1354,0,0,0,0,0,0,0,0,89135914,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
93068779,5677173053,93068779,0,0,0,0,0,0,93068779,0.0,0.0,0.0,60.99975860863072,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,93067370,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
96995070,5916674970,96995070,0,0,0,0,0,0,96995070,0.0,0.0,0.0,60.99974947180305,0,0,0,0,0,0,0,0,0,0,0,1477,0,0,0,0,0,0,0,0,96993593,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
100925541,6156434555,100925541,0,0,0,0,0,0,100925541,0.0,0.0,0.0,60.99976769012316,0,0,0,0,0,0,0,0,0,0,0,1534,0,0,0,0,0,0,0,0,100924007,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
104857316,6396270245,104857316,0,0,0,0,0,0,104857316,0.0,0.0,0.0,60.99975174836632,0,0,0,0,0,0,0,0,0,0,0,1590,0,0,0,0,0,0,0,0,104855726,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
108782417,6635700249,108782417,0,0,0,0,0,0,108782417,0.0,0.0,0.0,60.9997500699033,0,0,0,0,0,0,0,0,0,0,0,1656,0,0,0,0,0,0,0,0,108780761,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
112712261,6875420263,112712261,0,0,0,0,0,0,112712261,0.0,0.0,0.0,60.99975461409651,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,112710548,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
116644512,7115287302,116644512,0,0,0,0,0,0,116644512,0.0,0.0,0.0,60.99976055452999,0,0,0,0,0,0,0,0,0,0,0,1770,0,0,0,0,0,0,0,0,116642742,0,0.0,0.0,0.0,0.0,0.0,0.0,tftp
