total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,udp
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,udp
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,udp
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,udp
4135940,1364825315,4135940,0,0,0,0,41,0,4135940,0.0,0.0,0.0,329.9915653998849,9,0,0,0,0,32,292,0,0,0,0,53,46,0,69,52,0,56,68,0,0,0,0.0,0.0,0.0,0.28125,0.0,0.0,udp
9616686,3173218207,9616686,0,0,0,0,83,0,9616686,0.0,0.0,0.0,329.9700340637097,22,0,0,0,0,76,315,0,0,0,0,152,140,0,152,130,0,150,162,0,0,0,0.0,0.0,0.0,0.2894736842105263,0.0,0.0,udp
15101778,4983105396,15101778,0,0,0,0,127,0,15101778,0.0,0.0,0.0,329.9681266669395,35,0,0,0,0,103,312,0,0,0,0,251,227,0,247,210,0,228,243,0,0,0,0.0,0.0,0.0,0.33980582524271846,0.0,0.0,udp
20579798,6790781406,20579798,0,0,0,0,172,0,20579798,0.0,0.0,0.0,329.9731807863226,47,0,0,0,0,144,316,0,0,0,0,316,309,0,349,316,0,317,312,0,0,0,0.0,0.0,0.0,0.3263888888888889,0.0,0.0,udp
26060386,8599322475,26060386,0,0,0,0,219,0,26060386,0.0,0.0,0.0,329.9767883330661,56,0,0,0,0,186,314,0,0,0,0,402,380,0,440,384,0,393,401,0,0,0,0.0,0.0,0.0,0.3010752688172043,0.0,0.0,udp
31541622,10407992298,31541622,0,0,0,0,259,0,31541622,0.0,0.0,0.0,329.9764450287306,71,0,0,0,0,225,316,0,0,0,0,499,481,0,524,465,0,484,493,0,0,0,0.0,0.0,0.0,0.31555555555555553,0.0,0.0,udp
