total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,benign
27211108,3429785904,5286616,20410507,1513985,5329370,11056114,4079834,17327074,0,0.2590144380048962,0.19585273778634812,999.0,126.04359601968432,0,0,0,0,0,2039917,108,228816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11216926963204875,0.0,2.0000037527958328,benign
69295133,8734265565,13466324,51973225,3855584,13571241,28149321,10390256,44126929,0,0.25910118142562827,0.19584695796745205,999.0,126.0444303498198,0,0,0,0,0,5195130,108,583518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11232019217998394,0.0,2.000002505300922,benign
111383552,14038741465,21648500,83538813,6196239,21813364,45247601,16707534,70926023,0,0.2591430165520786,0.19584008238487494,999.0,126.03962805028878,0,0,0,0,0,8353778,108,937098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11217655053797217,0.0,2.000003484108751,benign
153437093,19339455083,29819365,115080993,8536735,30049363,62333427,23011542,97705021,0,0.25911633383281635,0.1958415818005624,999.0,126.04158945451346,0,0,0,0,0,11505773,108,1291137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11221644995082034,0.0,2.00000259573227,benign
195513856,24643116212,38002728,146636999,10874129,38289059,79426009,29325976,124499008,0,0.2591619322487635,0.1958380842327615,999.0,126.0428120859117,0,0,0,0,0,14662989,108,1645576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11222650443235005,0.0,2.0000021416062435,benign
237608981,29948663714,46183152,178210229,13215600,46533238,96528023,35640135,151303466,0,0.2591498381386402,0.19583955877492695,999.0,126.0418002213477,0,0,0,0,0,17820065,108,1999471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11220335054894581,0.0,2.000001891123141,benign
279706624,35254595968,54366745,209781665,15558214,54776979,113628908,41956259,178109542,0,0.25915870674398545,0.19583726054338993,999.0,126.04133382268415,0,0,0,0,0,20978134,108,2353539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1121901023227328,0.0,2.0000023732625754,benign
