total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
24858159,3133311490,4835794,18638982,1383383,4866709,10097247,3731453,15828522,0,0.2594451778535974,0.195779140361923,999.0,126.04760835265395,0,0,0,0,0,1865722,108,209455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11226484974717563,0.0,2.0000110958554513,mixed
67108352,8458673212,13044170,50329450,3734732,13141437,27263379,10065638,42732142,0,0.2591756913695659,0.19582416507560788,999.0,126.04501466523868,0,0,0,0,0,5032819,108,564776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11221861942581285,0.0,2.000001369714159,mixed
109358142,13784199851,21254416,82018300,6085426,21415696,44428795,16399460,69636401,0,0.259142362131378,0.19583083260503822,999.0,126.04639763356623,0,0,0,0,0,8199735,108,920865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11230423910040996,0.0,2.0000022413492324,mixed
153128078,19238809110,30976554,113715792,8435732,29692378,61597709,22909034,96550513,1503373,0.27240327359281813,0.19390550960876032,64.2225934615029,125.63867685977225,167652,0,0,0,0,11371165,108,1276583,0,0,166870,12,166784,0,83169,83575,0,166889,167606,0,167027,0,0.0,0.0,0.0,0.12700853430585168,0.0,2.0000020207226457,mixed
204855539,26493088006,45828514,148241368,10785657,40082563,80419059,29754747,123470934,10953138,0.3091479431031694,0.19566257859398178,11.272653918904336,129.32570988964082,670401,0,0,28,0,14542164,108,1632067,0,0,670624,103,668265,0,334228,334979,0,669421,669626,0,668922,0,0.0,1.8,0.0,0.15833241875143203,0.0,2.1111404891538927,mixed
256485579,34077963912,59903879,183446662,13135038,50911636,99774170,36456200,150370258,20339915,0.32654657406630816,0.19849707027777963,7.392865604403951,132.86502907830152,1039146,0,0,80,0,17708917,108,1987289,0,0,1038436,195,1036017,0,518122,518824,0,1037455,1038051,0,1037693,0,0.0,1.8,0.0,0.17090344937524976,0.0,2.2017522114984254,mixed
308219307,41079921130,75415708,217319652,15483947,60826697,118213858,43421490,177267928,29832619,0.3470266370571954,0.19734875661114895,5.9420839987263605,133.28146614124987,1668622,0,0,103,0,20876762,108,2342413,0,0,1668711,285,1663699,0,832102,833515,0,1666147,1666845,0,1666056,0,0.0,1.8,0.0,0.19213410585415497,0.0,2.23138127066217,mixed
359833654,48836546020,89024936,252974173,17834546,72008241,137808636,50032517,204168279,39202258,0.35191314174194377,0.20011535941549258,5.2080744685676015,135.71978462025677,1945221,0,0,157,0,24044190,108,2697932,0,0,1944633,380,1939882,0,970119,971723,0,1942624,1943584,0,1943092,0,0.0,1.8,0.0,0.19311567576200322,0.0,2.2935308682524322,mixed
