total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
863704247,106381651617,222432141,594066846,47205260,155588982,318255602,99903166,535102237,15035489,0.37442274804206127,0.18014150392385417,35.589280601382505,123.16907319433385,0,0,0,15035489,0,84867734,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.17716378523786203,0.0,2.000002570879435,851519.0,1703231.0,967151386624.0,6455078.0,2.31,279.0,11680.0,1319.0,0.21,5,0.008,0.18181818181818182,0.31314788354988504,0.0,dns
920561807,112601417067,248277444,622797997,49486366,163113914,333646797,119823515,560979979,30852159,0.3986484304637222,0.1771895300887711,18.182843508617985,122.3181498632389,0,0,0,30852159,0,88971409,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.3467648691502683,0.0,2.0000026484593585,854272.0,1705984.0,965879070720.0,8319222.0,1.89,272.0,4320.0,2666.0,0.1,5,0.008,0.18181818181818182,0.3414424066806229,0.0,dns
977397733,118818775989,274117872,651511917,51767944,170634060,349030691,139739913,586845108,46666303,0.4207411481622983,0.17457996293510944,12.57535031219422,121.566453427614,0,0,0,46666303,0,93073672,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.5013910163553018,0.0,2.0000026489471017,851455.0,1702911.0,966074236928.0,9453769.0,1.79,258.0,15296.0,3984.0,0.06,5,0.006999999999999999,0.18181818181818182,0.36091706714974187,0.0,dns
1034264348,125039513529,299967990,680243932,54052426,178159362,364421275,159662132,612728403,62484031,0.44097121030989217,0.1722570852843513,9.8061599610947,120.89705477211325,0,0,0,62484031,0,97178161,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.642984291501462,0.0,2.0000025595095225,851712.0,1706240.0,967161413632.0,9546027.0,1.77,265.0,8320.0,441.0,0.6,5,0.008,0.2727272727272727,0.3752639902883312,0.0,dns
1090723552,130864297316,334558207,699850354,56314991,183399812,374134123,183955023,637258093,78281535,0.4780424916381481,0.16814509200219416,8.140592708101599,119.97934497338149,0,0,0,78281535,0,105673551,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.7407864527993386,0.0,2.000002617236206,851712.0,1703173.0,965495226368.0,8560584.0,1.83,261.0,18112.0,1810.0,0.14,5,0.006999999999999999,0.2727272727272727,0.38723072417637594,0.0,dns
1147118958,136551204646,372461308,716085747,58571903,187796779,381745402,209913863,661323247,94097983,0.5201350670089514,0.16371168629923383,7.02802786963032,119.03839936886476,0,0,0,94097983,0,115815922,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.8124788144414202,0.0,2.0000026944055396,851712.0,1703024.0,968806432768.0,8347446.0,1.88,304.0,10496.0,3142.0,0.1,5,0.008,0.2727272727272727,0.39713841646791764,0.0,dns
1203505807,142237335111,410356242,732320164,60829401,192193671,389355041,235867531,685385399,109913151,0.5603508713437528,0.15969484308437573,6.2356996661846225,118.18583199490952,0,0,0,109913151,0,125954428,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.8726422146905387,0.0,2.000002507890098,854466.0,1706240.0,965973114880.0,8378638.0,1.88,261.0,3168.0,4483.0,0.06,5,0.006999999999999999,0.2727272727272727,0.40518760612422483,0.0,dns
1259903887,147924516141,448261883,748555189,63086815,196590684,396965106,261827243,709452496,125729087,0.5988361173460518,0.1560362548512401,5.642707768966779,117.40936564076178,0,0,0,125729087,0,136098210,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.9238114667342061,0.0,2.0000024823180618,851969.0,1703937.0,967251197952.0,9421627.0,1.79,275.0,14368.0,5810.0,0.05,5,0.008,0.2727272727272727,0.4117950636505703,0.0,dns
1316317815,153612791240,486183584,764791353,65342878,200987950,404576198,287799572,733523034,141552679,0.6357074803381048,0.15268953113728084,5.181979169747822,116.69886215131108,0,0,0,141552679,0,146246943,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.9679017974413319,0.0,2.000002627026613,852480.0,1707520.0,968276312064.0,8534883.0,1.85,268.0,7136.0,7177.0,0.04,5,0.006999999999999999,0.2727272727272727,0.4172640966832772,0.0,dns
1372644693,159292435034,524043565,781003569,67597559,205378738,412175961,313730033,757556815,157352709,0.6709874138872213,0.1496226511109237,4.814386862573812,116.04782785110727,0,0,0,157352709,0,156377378,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,1.0062370338502542,0.0,2.0000024345295597,851788.0,1703935.0,966590726144.0,10489752.0,1.71,286.0,17056.0,8517.0,0.03,5,0.008,0.2727272727272727,0.42180947808302277,0.0,dns
