total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
1749313583,212488036359,521017240,1131003184,97293159,300511591,573681915,221615483,1099167245,156783,0.46066823451135397,0.17178829108765914,7010.755279590262,121.46938000366512,0,0,0,0,0,221615479,108,0,0,0,0,2,0,0,0,0,0,156781,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022827764505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.2690308791517644,0.0,ldap
1804229258,218522918520,544126328,1160610919,99492011,308900641,584783706,224576432,1125951802,15592303,0.46882751066035766,0.17120919618741712,72.21202679296317,121.11704626840721,0,0,0,0,0,224576426,108,0,0,0,0,262,0,0,0,0,0,15592041,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022078321065,832924.0,1662585.0,916496187392.0,6965838.0,2.2,255.0,2272.0,1364.0,0.19,5,0.008,0.18181818181818182,0.30042035180432247,0.0,ldap
1859173023,224561570126,567244008,1190241546,101687469,317296341,595892740,227539327,1152756697,31029103,0.4765789010695481,0.17066531036901778,37.150822471406926,120.78572964857398,0,0,0,0,0,227539314,108,0,0,0,0,514,0,0,0,0,0,31028589,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022628713907,829926.0,1659913.0,919663149056.0,8144003.0,1.88,249.0,13088.0,2682.0,0.09,5,0.008,0.18181818181818182,0.320776695991342,0.0,ldap
1914249631,230614325537,590410938,1219948718,103889975,325713691,607030861,230508769,1179626326,46501487,0.4839637349411928,0.17015215033884992,25.367496871659178,120.47244089921938,0,0,0,0,0,230508753,108,0,0,0,0,772,0,0,0,0,0,46500715,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022043924197,829696.0,1661184.0,915939000320.0,8155026.0,1.9,252.0,7360.0,4033.0,0.06,5,0.008,0.18181818181818182,0.33665959603001977,0.0,ldap
1969253386,236658682970,613554105,1249609708,106089573,334118054,618150787,233473316,1206454209,61962863,0.49099658963276877,0.16966737565381035,19.470601431053954,120.1768572051093,0,0,0,0,0,233473314,108,0,0,0,0,1023,0,0,0,0,0,61961840,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022147884877,829184.0,1658368.0,914873516032.0,8268740.0,1.86,294.0,17952.0,5314.0,0.06,5,0.009000000000000001,0.18181818181818182,0.3496219504927132,0.0,ldap
2024260260,242704219029,636703201,1279270324,108286735,342522106,629272324,236439064,1233286050,77422959,0.49770809894906937,0.1692085315156066,15.929203248354277,119.8977344094084,0,0,0,0,0,236439056,108,0,0,0,0,1282,0,0,0,0,0,77421677,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002195481145,829440.0,1658368.0,916121583616.0,8237993.0,1.87,262.0,10400.0,6581.0,0.04,5,0.008,0.18181818181818182,0.36048518153834413,0.0,ldap
2079291359,248752016728,659854162,1308948556,110488641,350930786,640402983,239405811,1260130213,92885615,0.5041100805492619,0.1687742241995245,13.566473269300095,119.63307386014102,0,0,0,0,0,239405805,108,0,0,0,0,1538,0,0,0,0,0,92884077,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022226629808,831841.0,1660928.0,915287769088.0,9223063.0,1.79,284.0,3200.0,7886.0,0.04,5,0.009000000000000001,0.18181818181818182,0.3697464685054218,0.0,ldap
2134239487,254790582643,682975272,1338576525,112687690,359325662,651511641,242371773,1286935445,108322158,0.5102250482093282,0.16836239053241733,11.880629676893992,119.38237681149229,0,0,0,0,0,242371753,108,0,0,0,0,1794,0,0,0,0,0,108320364,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002170735155,830464.0,1659936.0,917188968448.0,8264340.0,1.86,267.0,14464.0,1109.0,0.24,5,0.008,0.18181818181818182,0.3777267408036583,0.0,ldap
2189191076,260830318606,706096445,1368210872,114883759,367721652,662627899,245334433,1313741354,123762650,0.5160728214122831,0.1679714740441414,10.615006659925267,119.14461074936338,0,0,0,0,0,245334429,108,0,0,0,0,2052,0,0,0,0,0,123760598,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00000217556096,830208.0,1662464.0,917791047680.0,8174392.0,1.88,247.0,6976.0,2425.0,0.1,5,0.006999999999999999,0.2727272727272727,0.38468207284117545,0.0,ldap
2244195743,266874901381,729244818,1397865748,117085177,376123632,673750665,248301190,1340567474,139223663,0.5216844457655314,0.1675984072125566,9.628876622790768,118.91783602808484,0,0,0,0,0,248301184,108,0,0,0,0,2303,0,0,0,0,0,139221360,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021375972974,829685.0,1658905.0,915759955968.0,8170765.0,1.88,254.0,17984.0,3717.0,0.07,5,0.008,0.2727272727272727,0.3907981043400394,0.0,ldap
