total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
1039712553,128302810563,260633948,721989153,57089452,189052159,387088672,100920053,647643197,13243756,0.3609942710593604,0.1818311786796326,48.90177658060146,123.40219437843028,0,0,0,0,0,100920010,108,0,0,0,0,239,0,0,0,0,0,0,13243517,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023802983153,939264.0,1878528.0,1175998169088.0,4588426.0,2.88,285.0,13856.0,1164.0,0.24,5,0.008,0.18181818181818182,0.30282079178597743,0.0,mssql
1097393540,134028556865,295951956,742114065,59327519,194419078,397149241,108969656,672015362,30676279,0.39879577811262745,0.1771644090414456,21.90667786011465,122.1335391358327,0,0,0,0,0,108969622,108,0,0,0,0,556,0,0,0,0,0,0,30675723,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024688965583,942336.0,1882624.0,1176610013184.0,8959127.0,1.93,297.0,4608.0,2657.0,0.11,5,0.008,0.18181818181818182,0.33297806311109196,0.0,mssql
1155198784,139766430116,331346945,762279942,61571897,199796501,407233432,117034846,696435785,48151351,0.4346788190840262,0.17295421685623935,14.463473413238187,120.98907309445367,0,0,0,0,0,117034812,108,0,0,0,0,857,0,0,0,0,0,0,48150494,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023724167333,939776.0,1879040.0,1175863689216.0,9209311.0,1.88,297.0,17312.0,4142.0,0.07,5,0.008,0.18181818181818182,0.35430389802557893,0.0,mssql
1212926526,145496680479,366698611,782415968,63811947,205166128,417301507,125090581,720824416,65602689,0.46867475358069377,0.1691496752706025,10.98772667687448,119.95506517515143,0,0,0,0,0,125090547,108,0,0,0,0,1173,0,0,0,0,0,0,65601516,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024565488657,940288.0,1885696.0,1179869249536.0,9216306.0,1.88,297.0,8672.0,5614.0,0.05,5,0.008,0.18181818181818182,0.37040157512948607,0.0,mssql
1270634443,151224812979,402028620,802552833,66052990,210535857,427370943,133140821,745204399,83047223,0.5009372635284187,0.16569349127898622,8.973260900006252,119.01520048673827,0,0,0,0,0,133140793,108,0,0,0,0,1481,0,0,0,0,0,0,83045742,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023463964123,939264.0,1878527.0,1174034448384.0,10394878.0,1.79,311.0,21088.0,7087.0,0.04,5,0.008,0.2727272727272727,0.3829953671285094,0.0,mssql
1328316120,156950401773,437356659,822668237,68291224,215899669,437431016,141188447,769569108,100491547,0.5316318770187307,0.1625363614498633,7.658048173942431,118.15741705596406,0,0,0,0,0,141188403,108,0,0,0,0,1796,0,0,0,0,0,0,100489751,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022881024666,939520.0,1879040.0,1177005850624.0,10530411.0,1.77,283.0,13536.0,8562.0,0.03,5,0.006999999999999999,0.2727272727272727,0.39307206086194657,0.0,mssql
1386157124,162691648554,472778991,842843727,70534406,221279980,447517661,149259907,794004113,117979703,0.5609331550497498,0.15963556812481527,6.730006033325918,117.36883628641222,0,0,0,0,0,149259864,108,0,0,0,0,2097,0,0,0,0,0,0,117977606,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023138134426,942336.0,1881856.0,1176029495296.0,9420901.0,1.85,318.0,4608.0,10036.0,0.03,5,0.008,0.2727272727272727,0.401278798966292,0.0,mssql
1443954717,168428527495,508172088,863005525,72777104,226656377,457599385,157325091,818420222,135453778,0.5888399011118729,0.1569691724619367,6.04206271751239,116.64391238316098,0,0,0,0,0,157325046,108,0,0,0,0,2418,0,0,0,0,0,0,135451360,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002285400476,939734.0,1879017.0,1176551030784.0,9315408.0,1.87,290.0,17120.0,11517.0,0.03,5,0.008,0.2727272727272727,0.40801672783965,0.0,mssql
1501775763,174167228500,543579459,883174303,75022001,232035084,467681143,165393101,842845012,152937525,0.6154837806688314,0.1545071439536876,5.511041269956474,115.97419054897878,0,0,0,0,0,165393063,108,0,0,0,0,2725,0,0,0,0,0,0,152934800,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023617146065,939519.0,1881947.0,1176759042048.0,9320533.0,1.87,276.0,9280.0,12983.0,0.02,5,0.006999999999999999,0.2727272727272727,0.4136085955786287,0.0,mssql
1559558132,179902632348,578967381,903327919,77262832,237409549,477756896,173453349,867253117,170413623,0.640927141542273,0.15222872692506983,5.089106737669676,115.35487434334381,0,0,0,0,0,173453307,108,0,0,0,0,3038,0,0,0,0,0,0,170410585,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002417765824,939264.0,1878272.0,1173984378880.0,11617503.0,1.72,297.0,21024.0,14475.0,0.02,5,0.008,0.2727272727272727,0.41827778502735896,0.0,mssql
