total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
1484724297,180637859178,455978844,946656112,82089341,248963200,499425524,190769639,919715296,8943780,0.48167316327431053,0.16768311834261038,102.83295161553616,121.66424402361619,0,0,0,0,0,190769683,108,0,0,0,0,153,0,0,4471354,4472273,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000026831310658,751155.0,1502748.0,752514498560.0,2575266.0,3.45,293.0,11008.0,799.0,0.37,5,0.008,0.18181818181818182,0.2788443126629422,0.0,netbios
1538947882,186702368781,487815483,966799057,84333342,254334612,509497501,198829652,944117792,22868393,0.5045676032346399,0.1652652536026558,41.28483326309811,121.31818820164567,0,0,0,0,0,198829688,108,0,0,0,0,387,0,0,11432753,11435253,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002752283528,753695.0,1504918.0,751601516544.0,7005738.0,1.99,260.0,3840.0,611.0,0.43,5,0.006999999999999999,0.18181818181818182,0.29346637238245177,0.0,netbios
1593067562,192754841733,519584551,986910633,86572378,259697932,519551812,206873336,968473443,36765865,0.5264757857766439,0.1630175255555169,26.34164715014865,120.99602448185433,0,0,0,0,0,206873369,108,0,0,0,0,626,0,0,18381176,18384063,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002741650542,750848.0,1501184.0,750917779456.0,7441560.0,1.85,272.0,12768.0,1805.0,0.15,5,0.008,0.18181818181818182,0.30504407169420644,0.0,netbios
1646614826,198922824967,541860354,1015979661,88774811,267912361,530616515,210173197,995169099,50683305,0.5333377968085131,0.16270493667958752,19.635047457935112,120.80713827302803,0,0,0,0,0,210173237,108,0,0,0,0,865,0,0,25339214,25343226,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000026799844526,750848.0,1503744.0,750826160128.0,7371064.0,1.88,256.0,6432.0,2972.0,0.09,5,0.006999999999999999,0.18181818181818182,0.3151719495565432,0.0,netbios
1700065600,205092373340,563446979,1045645079,90973542,276317548,541741363,213139203,1022003290,64582006,0.5388510789328738,0.16253346223816303,15.824892308238304,120.63791734860114,0,0,0,0,0,213139245,108,0,0,0,0,1101,0,0,32288164,32292741,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002707034055,751360.0,1502464.0,751485386752.0,8315852.0,1.78,268.0,15392.0,4124.0,0.06,5,0.006999999999999999,0.18181818181818182,0.32391020624747563,0.0,netbios
1753585450,211269697440,585063589,1075343804,93178057,284732218,552878430,216111818,1048872476,78495657,0.5440711954853091,0.16237145329872577,13.362172075328957,120.478701189041,0,0,0,0,0,216111862,108,0,0,0,0,1337,0,0,39244498,39249822,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000026129848503,750850.0,1506048.0,752909484032.0,7420270.0,1.87,300.0,9152.0,5326.0,0.06,5,0.008,0.18181818181818182,0.33157340544129393,0.0,netbios
1807090218,217445538975,606668921,1105042934,95378363,293147212,564014069,219079652,1075735196,92407977,0.5490003169415316,0.16222057375997595,11.641150806710117,120.32909968139731,0,0,0,0,0,219079697,108,0,0,0,0,1575,0,0,46200513,46205889,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000025379772133,753152.0,1503745.0,749886177280.0,8307845.0,1.79,316.0,2176.0,6509.0,0.05,5,0.009000000000000001,0.18181818181818182,0.3383661814686182,0.0,netbios
1860547756,223615657843,628258934,1134710139,97578683,301552794,575140494,222046772,1102571321,106308777,0.5536734998716708,0.16207742748206028,10.371404432580388,120.18807747442737,0,0,0,0,0,222046809,108,0,0,0,0,1810,0,0,53150226,53156741,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000025335562563,751104.0,1501678.0,751084896256.0,7528700.0,1.83,321.0,11840.0,7666.0,0.04,5,0.009000000000000001,0.18181818181818182,0.3444365106158034,0.0,netbios
1914048977,229790903702,649867128,1164401917,99779932,309965871,586272138,225015121,1129429505,120223657,0.5581123824274844,0.16194249714854606,9.394403174742887,120.05487135557242,0,0,0,0,0,225015157,108,0,0,0,0,2048,0,0,60106986,60114623,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002522861578,753310.0,1503902.0,750608187392.0,8257398.0,1.8,271.0,4704.0,8839.0,0.03,5,0.006999999999999999,0.18181818181818182,0.3499121864978205,0.0,netbios
1967530794,235964042247,671463389,1194084532,101982873,318375492,597406859,227983818,1156279628,134126505,0.5623248363123424,0.16181474413050534,8.620813820504754,119.92902117037971,0,0,0,0,0,227983859,108,0,0,0,0,2286,0,0,67057768,67066451,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024750679466,751104.0,1502208.0,751483617280.0,7499182.0,1.84,292.0,13568.0,10005.0,0.03,5,0.008,0.18181818181818182,0.3548697013674846,0.0,netbios
