total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
1552571189,185856930846,552591574,914016966,85962649,241385148,474662524,238491816,953520625,7020738,0.6045747448412243,0.1554744476196769,135.81487088679282,119.7091200473127,7020738,0,0,0,0,238491840,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.029438063792874423,0.0,2.000002187378063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.2867330964007386,0.0,ntp
1617504591,192608696357,599027747,930255772,88221072,245783051,482275334,248630769,977583937,31378626,0.643938758597673,0.15195199591244932,31.15445325744983,119.077681404244,31378626,0,0,0,0,248630768,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.12620572366168292,0.0,2.000002351670212,1311744.0,2623598.0,2292445347840.0,11599820.0,2.1,471.0,23168.0,2708.0,0.17,5,0.008,0.18181818181818182,0.32741773999316526,0.0,ntp
1682252082,199340850279,645342925,946435801,90473356,250165118,489860161,258741120,1001572011,55676610,0.6818665611741794,0.1487084609237535,17.9890983125589,118.49642060897743,55676610,0,0,0,0,258741120,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.21518268916823116,0.0,2.000002302481928,1312018.0,2628370.0,2294131195904.0,14560782.0,1.77,454.0,10240.0,4774.0,0.1,5,0.008,0.18181818181818182,0.353866870045642,0.0,ntp
1747042185,206077480359,691688624,962629356,92724205,254550905,497450762,268860143,1025577999,79987138,0.7185409625093544,0.14570392586141245,12.821786410210102,117.95793033984465,79987138,0,0,0,0,268860142,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.29750463346850425,0.0,2.0000022235262893,1310786.0,2622274.0,2290477694976.0,13021909.0,1.86,477.0,28544.0,6785.0,0.07,5,0.008,0.18181818181818182,0.3732517482041147,0.0,ntp
1812004690,212831800494,738156165,978866145,94982380,258948401,505061567,279010629,1049651782,104353218,0.7540930583517116,0.14290713618406806,10.058643155594876,117.4565395269479,104353218,0,0,0,0,279010640,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3740116075860046,0.0,2.0000022784487945,1311498.0,2623488.0,2293489205248.0,12986751.0,1.87,431.0,16192.0,8845.0,0.05,5,0.006999999999999999,0.2727272727272727,0.3881087707497857,0.0,ntp
1876497055,219904083675,772859389,1006420651,97217015,266445084,517722982,283320637,1075604715,128652463,0.7679287862705035,0.1419906752797968,8.360545067839082,117.18861113533696,128652463,0,0,0,0,283320635,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.45408786762037295,0.0,2.0000022969112194,1319224.0,2631318.0,2291250757632.0,16103609.0,1.71,452.0,3392.0,10900.0,0.04,5,0.006999999999999999,0.2727272727272727,0.39919525909243847,0.0,ntp
1941021662,227062043828,805023007,1036546928,99451727,274646281,531530011,286333854,1102022614,153005194,0.7766392290152058,0.1414957320553592,7.202517674007851,116.98068510685174,153005194,0,0,0,0,286333851,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.534359432060305,0.0,2.0000022064768777,1310980.0,2622468.0,2292392132608.0,13152066.0,1.84,445.0,20704.0,12970.0,0.03,5,0.006999999999999999,0.2727272727272727,0.40786762928212833,0.0,ntp
2005578772,234223860811,837197743,1066692484,101688545,282852559,545347142,289349643,1128458670,177362095,0.7848538876552167,0.14103288434686323,6.36245681468749,116.78616870153031,177362095,0,0,0,0,289349643,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6129680795908222,0.0,2.0000022555946524,1311512.0,2626900.0,2291947798528.0,16051129.0,1.73,437.0,9440.0,15032.0,0.03,5,0.006999999999999999,0.2727272727272727,0.4148055379881507,0.0,ntp
2070091094,241380050877,869351980,1096816152,103922962,291052669,559155798,292361539,1154869290,201711211,0.7926141299202895,0.14059896680083006,5.725359955327421,116.60358888390058,201711211,0,0,0,0,292361534,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6899375859753151,0.0,2.0000022332752625,1311240.0,2622976.0,2291075383296.0,14856477.0,1.76,445.0,25600.0,17061.0,0.03,5,0.006999999999999999,0.2727272727272727,0.42041518826327834,0.0,ntp
2134493338,248524760689,901442424,1126895779,106155135,299240973,572942940,295370257,1181245085,226003887,0.799934156111521,0.1401929758564559,5.226658269819935,116.432671053387,226003887,0,0,0,0,295370249,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7651545399888937,0.0,2.0000022791022576,1311780.0,2628180.0,2296402935808.0,13170877.0,1.83,451.0,13728.0,19122.0,0.02,5,0.006999999999999999,0.2727272727272727,0.4249809485161953,0.0,ntp
