total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
764541817,95768712707,159516464,563255775,41769578,147072740,305099429,56329129,478220175,13532142,0.28320431157585557,0.192367162566858,35.33957706030575,125.26288370044774,0,0,0,0,0,56329122,108,0,0,0,0,201,13531941,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021485989823,742110.0,1486686.0,733993500672.0,6069634.0,2.23,274.0,6080.0,1180.0,0.23,5,0.009000000000000001,0.18181818181818182,0.31022622538620864,0.0,portmap
820336027,102197247356,181410399,594816583,44109045,155313653,322194835,59487708,505017911,27241710,0.30498544288231455,0.18932930882968524,18.538407133766565,124.5797380492226,0,0,0,0,0,59487705,108,0,0,0,0,405,27241305,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020989805845,741888.0,1483776.0,733062955008.0,7345198.0,1.86,292.0,15136.0,2350.0,0.12,5,0.009000000000000001,0.18181818181818182,0.3364490908680066,0.0,portmap
876241521,108637904065,203360862,626427315,46453344,163567807,339315811,62650647,531859793,40994798,0.32463600665306236,0.18666977434866386,12.97383616818895,123.98168936461526,0,0,0,0,0,62650640,108,0,0,0,0,612,40994186,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002139787657,741888.0,1486336.0,734060478464.0,7318774.0,1.88,248.0,8736.0,3522.0,0.07,5,0.008,0.18181818181818182,0.3547068476366096,0.0,portmap
930731071,114574309224,233377030,648632068,48721973,169459095,350643287,69898681,556778514,54706670,0.3597987850332432,0.1820709550589399,10.177525226814208,123.10141220588949,0,0,0,0,0,69898676,108,0,0,0,0,817,54705853,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021834201576,744174.0,1485806.0,732123627520.0,8259020.0,1.77,274.0,1152.0,4681.0,0.06,5,0.008,0.18181818181818182,0.3692619085376739,0.0,portmap
985139893,120429192762,265203712,668953975,50982207,174878306,360804180,78031685,581395391,68461550,0.39644537877213454,0.17751621596345202,8.492290796804921,122.24577810493763,0,0,0,0,0,78031687,108,0,0,0,0,1019,68460531,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022415612793,741888.0,1484032.0,734212980736.0,7397144.0,1.86,244.0,11072.0,5864.0,0.04,5,0.006999999999999999,0.2727272727272727,0.3809437735431208,0.0,portmap
1039416423,126270176309,296940429,689237359,53238635,180286981,370947764,86141069,605954551,82179566,0.430824628297608,0.1734501947541385,7.373542846405395,121.4817983581158,0,0,0,0,0,86141068,108,0,0,0,0,1223,82178343,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002229780797,744211.0,1486355.0,733453221888.0,7366533.0,1.85,270.0,3744.0,7038.0,0.04,5,0.008,0.2727272727272727,0.3903265973485749,0.0,portmap
1093794148,132121280225,328746796,709547560,55499792,185702889,381104215,94266008,630551380,95934446,0.4633189014137403,0.16977864558843844,6.572731758934638,120.791723439537,0,0,0,0,0,94266007,108,0,0,0,0,1425,95933021,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002315529393,741951.0,1484204.0,736157302784.0,7315823.0,1.88,255.0,14176.0,236.0,1.08,5,0.008,0.2727272727272727,0.3980284338351054,0.0,portmap
1148025898,137956946742,360463562,729808875,57753461,191105837,391235582,102368195,655084893,109649646,0.49391501576354496,0.1664647438119031,5.974345717449922,120.16884547843188,0,0,0,0,0,102368190,108,0,0,0,0,1628,109648018,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002166341201,741888.0,1486083.0,733727490048.0,7363850.0,1.85,281.0,6272.0,1403.0,0.2,5,0.008,0.2727272727272727,0.40439169436308703,0.0,portmap
1202382437,143805987008,392256585,750113395,60012458,196520564,401386333,110490337,679676194,123395566,0.5229297165130613,0.16344264349895857,5.508108727342764,119.60087122263913,0,0,0,0,0,110490325,108,0,0,0,0,1832,123393734,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002279662248,741632.0,1483520.0,732584476672.0,7311814.0,1.88,258.0,15840.0,2580.0,0.1,5,0.008,0.2727272727272727,0.4097309626078968,0.0,portmap
1256610583,149641363801,423967396,770377572,62265615,201924448,411518013,118591947,704211483,137105646,0.5503371481847864,0.16068975602444055,5.136269027170479,119.08332288890169,0,0,0,0,0,118591944,108,0,0,0,0,2035,137103611,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020601786095,741888.0,1486080.0,733594517504.0,7359975.0,1.85,269.0,9344.0,3758.0,0.07,5,0.008,0.2727272727272727,0.41422530081498204,0.0,portmap
1310971953,155491048273,455764921,790683325,64523707,207339482,421669881,126714531,728804002,150854638,0.5764190372928378,0.15815706928399864,4.831167351977604,118.6074560307546,0,0,0,0,0,126714532,108,0,0,0,0,2240,150852398,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021992941095,744365.0,1486592.0,732670328832.0,8187481.0,1.8,315.0,2112.0,4938.0,0.06,5,0.009000000000000001,0.2727272727272727,0.41805801117221714,0.0,portmap
1365173921,161323339612,487467648,810930809,66775464,212738956,431792748,134812625,753322800,164564974,0.6011211346145809,0.15583285962873297,4.577661829788883,118.1705401270993,0,0,0,0,0,134812632,108,0,0,0,0,2444,164562530,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022562888833,742144.0,1484032.0,733778935808.0,7444600.0,1.83,272.0,10976.0,6108.0,0.04,5,0.008,0.2727272727272727,0.42132702218829593,0.0,portmap
1419551306,167174632187,519274812,831241948,69034546,218155516,441946548,142938859,777923837,178315758,0.6246975543635582,0.1536792048853217,4.362619690627678,117.76582606095675,0,0,0,0,0,142938861,108,0,0,0,0,2644,178313114,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021452609156,744338.0,1486325.0,733306880000.0,7310421.0,1.88,280.0,4928.0,7288.0,0.04,5,0.008,0.2727272727272727,0.42414613428825565,0.0,portmap
