total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
861025548,106759658802,211930328,601317237,47777984,157488968,322131651,85910948,541643244,1985775,0.3524434607218818,0.18290858890983802,272.7616391585149,123.99127883020725,0,0,0,0,0,85911023,108,1985775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.023114321429975288,0.0,2.000002311275674,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.27405619271581205,0.0,snmp
921180687,113420162547,241059973,630055595,50065119,165015615,337528008,90019233,567531976,21078513,0.3826011147476597,0.17913490515894848,26.924668547539383,123.12477253118963,0,0,0,0,0,90019306,108,21078513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2341554710497324,0.0,2.0000024846164366,1030144.0,2060348.0,1412082171904.0,8978677.0,2.15,355.0,22656.0,1827.0,0.19,5,0.008,0.18181818181818182,0.3237355756547407,0.0,snmp
981340781,120082381039,270184520,658807351,52348910,172545785,352931377,94127129,593431976,40162383,0.4101115744836308,0.1758265715037068,14.775815867300503,122.36562809163436,0,0,0,0,0,94127204,108,40162383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4266819930187239,0.0,2.0000023761837307,1030272.0,2060800.0,1414843465728.0,10180155.0,1.87,326.0,13856.0,3455.0,0.09,5,0.006999999999999999,0.18181818181818182,0.3520972057044995,0.0,snmp
1041437332,126737009741,299284516,687522880,54629938,180066541,368314879,98228441,619296871,59238479,0.4353084452985768,0.172901945673674,10.454300675073037,121.69432172900059,0,0,0,0,0,98228517,108,59238479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6030680377674845,0.0,2.000002388008961,1032950.0,2063074.0,1412001038336.0,10220037.0,1.85,367.0,3840.0,434.0,0.85,5,0.008,0.18181818181818182,0.3715073837921587,0.0,snmp
1101178512,132898560503,339770165,704519099,56889248,184654367,376396850,108024103,643493560,78330959,0.4822724685282095,0.16768794976268117,8.21506040797994,120.68757159238865,0,0,0,0,0,108024181,108,78330959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7251243034186947,0.0,2.000002393664099,1030392.0,2060544.0,1414691028992.0,11375859.0,1.79,360.0,17536.0,2065.0,0.17,5,0.008,0.2727272727272727,0.38693733367062544,0.0,snmp
1160894090,139028802158,380974486,720768256,59151348,189055165,384013913,118181308,667586317,97418319,0.5285672375671329,0.16285306870672414,6.8527800915965305,119.760108485004,0,0,0,0,0,118181383,108,97418319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8243118884469308,0.0,2.000002316786782,1030436.0,2067528.0,1417059893248.0,10310490.0,1.83,349.0,7360.0,3684.0,0.09,5,0.008,0.2727272727272727,0.39886426200241826,0.0,snmp
1220564493,145153897580,422160059,736996579,61407855,193450713,391618271,128330441,691653745,116504399,0.5728114227786667,0.15849282369710882,5.936717848739772,118.92357873136983,0,0,0,0,0,128330509,108,116504399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9078464654106531,0.0,2.0000023882080584,1030208.0,2060352.0,1413411110912.0,10079624.0,1.88,364.0,20448.0,5298.0,0.07,5,0.008,0.2727272727272727,0.4082049471990466,0.0,snmp
1280264131,151282276363,463363311,753235221,63665599,197848564,399231246,138484890,715734267,135596111,0.6151641586606051,0.1545373014906406,5.278427690304481,118.16489480560165,0,0,0,0,0,138484963,108,135596111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9791395979937547,0.0,2.0000023250132597,1030438.0,2063872.0,1415220428800.0,11411530.0,1.79,379.0,12224.0,6911.0,0.05,5,0.008,0.2727272727272727,0.41560928040582895,0.0,snmp
1339925637,157407181431,504535048,769467221,65923368,202244751,406839939,148633014,739804685,154668623,0.6556940103885205,0.1509372948881043,4.783159445338826,117.47456506871806,0,0,0,0,0,148633093,108,154668623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0406069057581948,0.0,2.000002403031879,1032732.0,2062592.0,1411105816576.0,11583005.0,1.75,384.0,1632.0,8495.0,0.05,5,0.008,0.2727272727272727,0.42152089561822953,0.0,snmp
1399637503,163536939253,545734359,785718401,68184743,206646081,414458150,158787048,763894217,173758287,0.6945673644723512,0.14764257213533669,4.3963037975852055,116.842353039607,0,0,0,0,0,158787134,108,173758287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0942844210539124,0.0,2.000002138925019,1030320.0,2060446.0,1414858801152.0,11480241.0,1.78,361.0,15744.0,10131.0,0.04,5,0.008,0.2727272727272727,0.42627547193303833,0.0,snmp
