total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
1158358429,142946043151,309130924,785098890,64128615,205883407,418629493,126270893,724207217,5423328,0.39374775322889577,0.17773722005695355,133.53557391328718,123.40398237046885,0,0,0,0,0,126270887,108,0,0,0,5423328,96,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002690846987,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.2827462327494799,0.0,ssdp
1210629893,149260090246,339005977,805256612,66367304,211258679,428709489,134331246,748613854,17388822,0.42099123676615025,0.1745031080279132,43.05144155251,123.29126441453235,0,0,0,0,0,134331235,108,0,0,0,17388822,300,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000025466441786,645888.0,1291520.0,555757010944.0,5793322.0,2.06,242.0,10624.0,1526.0,0.16,5,0.008,0.18181818181818182,0.30846368471411234,0.0,ssdp
1262892818,155573006793,368874710,825410527,68607581,216633011,438786769,142387741,773013286,29357653,0.4468984801304818,0.17153713118986158,26.33089525242362,123.18781497180072,0,0,0,0,0,142387717,108,0,0,0,29357653,511,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000026496458587,645888.0,1293824.0,555784536064.0,6365606.0,1.88,241.0,4800.0,2542.0,0.09,5,0.008,0.18181818181818182,0.3270834401125151,0.0,ssdp
1315150207,161885070921,398743466,845558251,70848490,222005783,448860577,150446989,797412133,41320597,0.4715742121000248,0.16880640843787664,19.298175507967613,123.09245746938471,0,0,0,0,0,150446961,108,0,0,0,41320597,720,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000025494863864,646144.0,1292406.0,556320096256.0,6405382.0,1.85,237.0,12352.0,3553.0,0.07,5,0.008,0.18181818181818182,0.3417501443365715,0.0,ssdp
1367440978,168200789736,428629482,865718798,73092698,227382082,458939879,158511754,821826891,53289877,0.49511398272768015,0.16628292237707096,15.421820001573657,123.00405826802712,0,0,0,0,0,158511727,108,0,0,0,53289877,923,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000025683675022,645720.0,1293911.0,556162220032.0,6341130.0,1.88,260.0,7072.0,4553.0,0.06,5,0.009000000000000001,0.18181818181818182,0.35374861220027687,0.0,ssdp
1419669072,174509763848,458478870,885859437,75330765,232752743,469011635,166563080,846211828,65248661,0.5175526170976491,0.16394859026695766,12.969029785913921,122.92284680270896,0,0,0,0,0,166563061,108,0,0,0,65248661,1125,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002552067702,645829.0,1291338.0,554826858496.0,6378524.0,1.86,256.0,15008.0,5550.0,0.05,5,0.008,0.18181818181818182,0.3637699143875236,0.0,ssdp
1471951186,180824930980,488361809,906015958,77573419,238127669,479091303,174627037,870623658,77214357,0.5390212001100316,0.16177687906017285,11.27541161807512,122.84709758031337,0,0,0,0,0,174627011,108,0,0,0,77214357,1337,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002578452114,645633.0,1291777.0,556157173760.0,6313204.0,1.89,264.0,9344.0,6581.0,0.04,5,0.009000000000000001,0.18181818181818182,0.37228245533595283,0.0,ssdp
1524249170,187142037052,518254727,926176814,79817629,243504289,489169009,182692085,895043786,89185685,0.5595634863301598,0.15975359789764557,10.035733716683344,122.77653859703267,0,0,0,0,0,182692062,108,0,0,0,89185685,1548,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024229582043,647936.0,1294068.0,555499978752.0,6364042.0,1.88,280.0,3456.0,7590.0,0.04,5,0.009000000000000001,0.2727272727272727,0.3795978022319913,0.0,ssdp
1576472402,193450034644,548103482,946307256,82061664,248872380,499234616,190744416,919425919,101142165,0.5792024509215007,0.15786662657986703,9.090431463475198,122.71070168978449,0,0,0,0,0,190744392,108,0,0,0,101142165,1750,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002507312311,645888.0,1291895.0,555966005248.0,6400052.0,1.86,260.0,11296.0,8578.0,0.03,5,0.008,0.2727272727272727,0.3859307847750641,0.0,ssdp
1628773239,199767353956,578003158,966467377,84302704,254248400,509314950,198812652,943845844,113114195,0.5980575979648406,0.15609809512593545,8.344185661224923,122.64896621131187,0,0,0,0,0,198812622,108,0,0,0,113114195,1951,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002517226482,645632.0,1293824.0,555973672960.0,6338225.0,1.88,268.0,5504.0,328.0,0.82,5,0.009000000000000001,0.2727272727272727,0.3914692999747838,0.0,ssdp
1681016992,206077719157,607859728,986615175,86542089,259621216,519388516,206869162,968240583,125071187,0.6161062016910493,0.15444294569034314,7.741515901660068,122.59109820883953,0,0,0,0,0,206869144,108,0,0,0,125071187,2162,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002557575453,645888.0,1291776.0,555585110016.0,7155446.0,1.78,247.0,13568.0,1362.0,0.18,5,0.008,0.2727272727272727,0.39633128459443917,0.0,ssdp
1732649232,212497094447,628324489,1015577247,88747496,267801037,530445298,210237006,994920921,137039955,0.6186870480370263,0.1545615996902482,7.260079157206378,122.64288150332322,0,0,0,0,0,210236985,108,0,0,0,137039955,2373,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024869240076,645632.0,1295616.0,557178617856.0,6381876.0,1.87,255.0,8000.0,2378.0,0.11,5,0.008,0.2727272727272727,0.4008282553674844,0.0,ssdp
1784198597,218921434769,647985756,1045264127,90948714,276212393,541577669,213207539,1021776122,149004371,0.6199253750913428,0.15481034088045525,6.857356701301065,122.70014960055481,0,0,0,0,0,213207515,108,0,0,0,149004371,2577,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002570488981,647680.0,1293568.0,554739826688.0,6358630.0,1.88,271.0,1760.0,3425.0,0.08,5,0.009000000000000001,0.2727272727272727,0.40483901870652833,0.0,ssdp
1835698504,225339894480,667626894,1074924310,93147301,284616329,552698847,216173815,1048606825,160957579,0.6210920041430638,0.15504524756097965,6.514802418841054,122.75430523530024,0,0,0,0,0,216173798,108,0,0,0,160957580,2777,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024805353864,645465.0,1291351.0,555777196032.0,6395500.0,1.86,259.0,9888.0,4437.0,0.06,5,0.008,0.2727272727272727,0.40841827776024225,0.0,ssdp
1887269580,231766946446,687292831,1104625716,95351034,293031852,563836251,219144954,1075474522,172925267,0.6221952115045636,0.15526761788848417,6.219302364876499,122.80542689931981,0,0,0,0,0,219144927,108,0,0,0,172925267,2983,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024570737946,647680.0,1293568.0,555378933760.0,7101742.0,1.8,250.0,4032.0,5450.0,0.05,5,0.008,0.2727272727272727,0.41163320549231813,0.0,ssdp
1938771286,238185547142,706934186,1134289495,97547605,301436778,574958991,222111109,1102305298,184880211,0.6232396483580235,0.155478255829708,5.962267632851198,122.85386567356042,0,0,0,0,0,222111076,108,0,0,0,184880211,3198,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024549124804,645632.0,1291776.0,555639701504.0,6447768.0,1.84,262.0,11904.0,6439.0,0.04,5,0.008,0.2727272727272727,0.4145265147054895,0.0,ssdp
1990337409,244612158188,726593410,1163993605,99750394,309853136,586096951,225079288,1129171403,196847300,0.6242245720929025,0.1556786977920888,5.736280878630288,122.8998445599733,0,0,0,0,0,225079274,108,0,0,0,196847300,3400,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002465687299,645632.0,1293568.0,555642126336.0,6310182.0,1.89,262.0,6240.0,7447.0,0.04,5,0.008,0.2727272727272727,0.4171450361134296,0.0,ssdp
2041886480,251036850403,746248585,1193686418,101951477,318265990,597232773,228046628,1156028076,208811091,0.6251630023991779,0.15586860147092996,5.536238858116977,122.94358812885622,0,0,0,0,0,228046604,108,0,0,0,208811091,3602,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023628063066,645777.0,1291665.0,554973003776.0,6355125.0,1.88,305.0,14592.0,8434.0,0.04,5,0.009000000000000001,0.2727272727272727,0.4195198228875371,0.0,ssdp
