total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
656368153,80949755029,158482886,461810414,36074854,126691626,244525230,64851320,408952939,7777477,0.3431773758137901,0.19301915460240193,52.5816969950538,123.32980303661991,0,0,0,0,0,64851331,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.1308106164573464,1121280.0,2242560.0,1675009196032.0,1274914.0,6.02,317.0,21152.0,690.0,0.46,5,0.006999999999999999,0.18181818181818182,0.2676871264537432,0.0,syn_flood
718887961,87370916646,168665475,511833069,38389417,155191645,263622184,69017406,435219419,28640378,0.32953219558386915,0.2158773736927276,15.196008202126382,121.53620784588435,0,0,0,0,0,69017416,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4526317112009757,1121280.0,2245888.0,1675462836224.0,10046759.0,2.07,340.0,11392.0,2490.0,0.14,5,0.008,0.18181818181818182,0.27492776154294146,0.0,syn_flood
781394929,93790212998,178841935,561847839,40705155,183686721,282716285,73182893,461478372,49499394,0.3183102658511783,0.23507539425047894,9.322909528953021,120.02920612503745,0,0,0,0,0,73182910,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.737768923080734,1124156.0,2245376.0,1671828996096.0,11088937.0,1.87,320.0,1600.0,4209.0,0.08,5,0.006999999999999999,0.18181818181818182,0.2795924777052429,0.0,syn_flood
843902073,100209530633,189022528,611860430,43019115,212184612,301804761,77348585,487737089,70362490,0.3089307932529646,0.2514327417702646,6.931776987994597,118.74544907416053,0,0,0,0,0,77348593,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.9922673330383063,1121280.0,2242560.0,1675724980224.0,12462986.0,1.79,320.0,16256.0,6000.0,0.05,5,0.006999999999999999,0.18181818181818182,0.2826929854404036,0.0,syn_flood
906428910,106631254417,199201896,661889906,45337108,240688120,320904509,81513939,514005444,91227815,0.3009592595297865,0.26553446976884265,5.634306203650718,117.63884982110731,0,0,0,0,0,81513956,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.220766816654935,1124616.0,2246152.0,1675260329984.0,11213116.0,1.85,320.0,6816.0,7814.0,0.04,5,0.006999999999999999,0.18181818181818182,0.2847959887296716,0.0,syn_flood
968951725,113052328048,209380288,711916009,47655428,269190683,340002035,85678928,540271619,112092915,0.29410813263506763,0.2778164030824136,4.819855197806213,116.67488186576065,0,0,0,0,0,85678940,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.42705057768425,1121536.0,2242816.0,1675334647808.0,12466488.0,1.79,346.0,20704.0,9577.0,0.04,5,0.008,0.18181818181818182,0.28624112764076365,0.0,syn_flood
1031467925,119472694937,219557858,761936742,49973325,297689631,359098633,89844058,566534368,132955258,0.2881575935341887,0.2886077441525872,4.261090358682918,115.82783336379558,0,0,0,0,0,89844071,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.614182070939456,1121028.0,2245482.0,1675456020480.0,12548127.0,1.77,307.0,11488.0,11372.0,0.03,5,0.006999999999999999,0.18181818181818182,0.28723930195215547,0.0,syn_flood
1093979276,125892907137,229739709,811948554,52291013,326185828,378192822,94009694,592794550,153817401,0.28294860292343105,0.2981645403673991,3.8538848410265363,115.07796344855073,0,0,0,0,0,94009707,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.784755655328514,1124144.0,2245120.0,1671363035136.0,11208191.0,1.85,314.0,1536.0,13140.0,0.02,5,0.006999999999999999,0.18181818181818182,0.28792707800274214,0.0,syn_flood
1156461264,132309778962,239911555,861944458,54605251,354673919,397276928,98171541,619041486,174673524,0.2783376037438366,0.3066889744090901,3.543991509554705,114.40917485153226,0,0,0,0,0,98171555,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.9408174689784747,1121280.0,2242304.0,1675458641920.0,11087598.0,1.87,320.0,16160.0,14909.0,0.02,5,0.006999999999999999,0.18181818181818182,0.28839513600457445,0.0,syn_flood
1218586665,138391695330,257403733,904283064,56899868,381252766,411593016,106003074,644128792,195540611,0.2846495121355054,0.31286471200634713,3.294092151527541,113.56738039637091,0,0,0,0,0,106003092,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.105850966951311,1124352.0,2245888.0,1674573905920.0,11091319.0,1.87,313.0,6656.0,520.0,0.6,5,0.006999999999999999,0.18181818181818182,0.2887593998224358,0.0,syn_flood
1280449016,144250269107,279725745,941543674,59179597,406556856,422752940,116254155,668442979,216403316,0.2970926922716492,0.31751116281852804,3.088875860848639,112.65600371783955,0,0,0,0,0,116254166,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.276095178856826,1121624.0,2243088.0,1675337007104.0,11091659.0,1.87,314.0,21760.0,2307.0,0.14,5,0.006999999999999999,0.18181818181818182,0.2889852921295348,0.0,syn_flood
1342342630,150112346828,302056536,978824654,61461440,431871639,433920045,126508450,692772596,237273204,0.30859105843486445,0.32172980977293403,2.9197253812107666,111.82863709543368,0,0,0,0,0,126508464,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.438598588036243,1121454.0,2248750.0,1679205597184.0,12465845.0,1.79,320.0,11744.0,4055.0,0.08,5,0.006999999999999999,0.18181818181818182,0.28906365911741083,0.0,syn_flood
1404210345,155971641306,324380346,1016087790,63742209,457174669,445083082,136760617,717090496,258133876,0.3192444089895028,0.32557420661930814,2.7779790359634937,111.07427164411041,0,0,0,0,0,136760637,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.593783898240964,1124352.0,2245376.0,1671881818112.0,12583888.0,1.77,301.0,1504.0,5846.0,0.05,5,0.006999999999999999,0.18181818181818182,0.28902737577133614,0.0,syn_flood
1466067424,161829745217,346693867,1053351248,66022309,482478337,456246404,147008415,741401872,278995273,0.3291341493716064,0.3290969631421263,2.6573994033225072,110.3835625618539,0,0,0,0,0,147008434,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.742201814014426,1121298.0,2243072.0,1677158776832.0,11209867.0,1.85,333.0,16384.0,7611.0,0.04,5,0.008,0.18181818181818182,0.28890197908288745,0.0,syn_flood
1527974748,167693319413,369038722,1090632942,68303084,507791446,467418134,157269726,765738818,299863156,0.3383711492550901,0.3323297369047882,2.553627555363954,109.74875051600002,0,0,0,0,0,157269741,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.88429955569439,1124628.0,2246144.0,1675273175040.0,12466822.0,1.79,340.0,6912.0,9343.0,0.04,5,0.008,0.18181818181818182,0.2887073421962176,0.0,syn_flood
1589839371,173551773639,391360441,1127893981,70584949,533095644,478580035,167522243,790051363,320726388,0.34698335800410657,0.33531415419954397,2.4633188679192806,109.16308704182921,0,0,0,0,0,167522256,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.020465689244046,1121536.0,2243042.0,1675360600064.0,11212734.0,1.85,359.0,21152.0,11108.0,0.03,5,0.008,0.18181818181818182,0.28845905419492385,0.0,syn_flood
1651725622,179412440952,413687449,1165173364,72864809,558413211,489746299,177776001,814372022,341600927,0.35504368858881674,0.3380786757572015,2.383986569216775,108.62121321019261,0,0,0,0,0,177776016,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.151127079883245,1122048.0,2247168.0,1677684375552.0,11097839.0,1.87,313.0,11552.0,12933.0,0.02,5,0.006999999999999999,0.18181818181818182,0.2881692736256693,0.0,syn_flood
1713617380,185274428671,436017050,1202453583,75146747,583727975,500915893,188029569,838699283,362471556,0.3626061381198446,0.34064078820208976,2.3138347523191585,108.11890147320985,0,0,0,0,0,188029585,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.276490012034286,1124932.0,2246692.0,1673655484416.0,11095073.0,1.87,320.0,1600.0,14634.0,0.02,5,0.006999999999999999,0.18181818181818182,0.2878481485122361,0.0,syn_flood
1775498565,191135300036,458340081,1239730092,77428392,609039471,512082332,198280285,863023529,383338612,0.36970957142822986,0.34302447943685044,2.251334725968069,107.65162180573208,0,0,0,0,0,198280299,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.396879694493668,1121356.0,2242816.0,1676628590592.0,11093558.0,1.87,327.0,16608.0,16418.0,0.02,5,0.006999999999999999,0.18181818181818182,0.28750334631258584,0.0,syn_flood
1837395013,196997324265,480676576,1277006248,79712189,634350787,523250190,208538763,887353367,404205940,0.37640894612130354,0.3452446439180577,2.1953001655542224,107.21555401598339,0,0,0,0,0,208538773,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.512628465874552,1124708.0,2245826.0,1674871177216.0,11093518.0,1.87,320.0,6624.0,18157.0,0.02,5,0.006999999999999999,0.18181818181818182,0.28714118768950697,0.0,syn_flood
1899251960,202855513020,502999797,1314261829,81990334,659651463,534409160,218790056,911665657,425066082,0.38272419231921556,0.34732172291663715,2.1447621807660484,106.80811039942273,0,0,0,0,0,218790072,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.623984184230349,1121024.0,2242048.0,1673957736448.0,13797640.0,1.72,333.0,20960.0,19965.0,0.02,5,0.008,0.18181818181818182,0.2867666241540094,0.0,syn_flood
1961123777,208714872654,525324021,1351526183,84273573,684957077,545572036,229043098,935983241,445929760,0.3886894886741532,0.34926764186593207,2.098947693017842,106.42615988944792,0,0,0,0,0,229043120,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.731209727099924,1121546.0,2246154.0,1676189237248.0,12701419.0,1.75,294.0,11328.0,21713.0,0.01,5,0.006999999999999999,0.18181818181818182,0.28638367792350644,0.0,syn_flood
2023030180,214578298951,547668062,1388807499,86554619,710270650,556742469,239304098,960319235,466798343,0.39434411348897824,0.35109246368237573,2.0572464521366136,106.06776956288412,0,0,0,0,0,239304134,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.834515652636518,1124608.0,2245966.0,1672528396288.0,11212334.0,1.85,346.0,1696.0,424.0,0.82,5,0.008,0.18181818181818182,0.2859956520735261,0.0,syn_flood
