total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
716030088,89870186389,143898113,532631076,39500899,139076482,288509331,53271120,452227760,5839316,0.270164696511249,0.19423273453279802,77.44533092574541,125.51174579831344,0,0,0,0,0,53271123,108,0,0,0,0,83,0,0,0,0,0,0,0,0,5839233,0,0.0,0.0,0.0,0.0,0.0,2.000002617268363,446464.0,891904.0,263875624960.0,1857655.0,3.12,154.0,1824.0,533.0,0.29,5,0.009000000000000001,0.18181818181818182,0.2892873577756004,0.0,tftp
766116650,95644633611,160308497,563981763,41826390,147262735,305489495,56407361,478848602,14120916,0.2842441148225568,0.1922197292018128,33.91059064440296,124.84343423550447,0,0,0,0,0,56407366,108,0,0,0,0,210,0,0,0,0,0,0,0,0,14120706,0,0.0,0.0,0.0,0.0,0.0,2.0000027841433936,445184.0,890624.0,264295104512.0,4204627.0,1.96,162.0,7904.0,1250.0,0.13,5,0.009000000000000001,0.18181818181818182,0.31164317186692697,0.0,tftp
816154106,101413243482,176699590,595305859,44148657,155442133,322454587,59541300,505444240,22391940,0.2968215201120673,0.19045684124757684,22.572597104136577,124.25746894667954,0,0,0,0,0,59541305,108,0,0,0,0,333,0,0,0,0,0,0,0,0,22391607,0,0.0,0.0,0.0,0.0,0.0,2.0000026633741017,445440.0,892416.0,264462286848.0,4402624.0,1.87,155.0,4000.0,1942.0,0.08,5,0.009000000000000001,0.18181818181818182,0.32750415082050616,0.0,tftp
866249440,107184648389,193216064,626559077,46474299,163603777,339375571,62728806,532055568,30676436,0.30837645019066573,0.18886451112741845,17.34411285587413,123.73416182410462,0,0,0,0,0,62728809,108,0,0,0,0,464,0,0,0,0,0,0,0,0,30675972,0,0.0,0.0,0.0,0.0,0.0,2.000002652754011,445184.0,890368.0,264002764800.0,4417584.0,1.87,155.0,9888.0,2651.0,0.06,5,0.009000000000000001,0.18181818181818182,0.33967421107534057,0.0,tftp
914797536,112371117165,219391181,646690787,48715568,168972139,349442231,70780338,556432666,38964436,0.3392520589596709,0.18470987551938486,14.280526632029268,122.83714455151309,0,0,0,0,0,70780338,108,0,0,0,0,590,0,0,0,0,0,0,0,0,38963846,0,0.0,0.0,0.0,0.0,0.0,2.000002497456264,445106.0,890368.0,264248197120.0,4964898.0,1.79,162.0,5856.0,261.0,0.62,5,0.009000000000000001,0.18181818181818182,0.3505290183373099,0.0,tftp
963330317,117556522433,245563135,666813238,50953944,174337882,359505479,78829651,580803609,47249620,0.3682637371395437,0.18097414658652333,12.292238731232125,122.03137424252786,0,0,0,0,0,78829657,108,0,0,0,0,709,0,0,0,0,0,0,0,0,47248911,0,0.0,0.0,0.0,0.0,0.0,2.000002523837907,446720.0,892160.0,264113651712.0,4466136.0,1.85,162.0,2016.0,991.0,0.16,5,0.009000000000000001,0.18181818181818182,0.3596139128313732,0.0,tftp
1011888847,122744593638,271743905,686953143,53191799,179708478,369576041,86882537,605188828,55537621,0.39557851619000456,0.17759705379972432,10.896916668432738,121.30244740013426,0,0,0,0,0,86882538,108,0,0,0,0,843,0,0,0,0,0,0,0,0,55536778,0,0.0,0.0,0.0,0.0,0.0,2.0000025819627663,445205.0,890645.0,264965832704.0,4419452.0,1.87,148.0,7744.0,1690.0,0.09,5,0.008,0.18181818181818182,0.3673408484166697,0.0,tftp
1060366385,127923798734,297880329,707054943,55431116,185069103,379626023,94923028,629533539,63810004,0.42129728665230476,0.1745331666657841,9.865749875207655,120.64112984305892,0,0,0,0,0,94923037,108,0,0,0,0,966,0,0,0,0,0,0,0,0,63809038,0,0.0,0.0,0.0,0.0,0.0,2.0000025828223595,444964.0,891648.0,264436744192.0,4420402.0,1.87,148.0,3904.0,2401.0,0.06,5,0.008,0.2727272727272727,0.373978737166172,0.0,tftp
1108774531,133095691115,323979397,727132159,57662976,190423136,389663942,102950809,653843138,72072660,0.44555778889708,0.17174198241030844,9.071999534913793,120.03855373099294,0,0,0,0,0,102950810,108,0,0,0,0,1100,0,0,0,0,0,0,0,0,72071560,0,0.0,0.0,0.0,0.0,0.0,2.000002394669868,445184.0,890112.0,264010219520.0,4427780.0,1.85,171.0,9344.0,3088.0,0.06,5,0.009000000000000001,0.2727272727272727,0.37974183905253506,0.0,tftp
1157233376,138273126202,350106866,747228810,59897700,195782419,399711188,110986672,678178903,80344020,0.46854037386486747,0.16918144866917492,8.440938143249491,119.485947320275,0,0,0,0,0,110986672,108,0,0,0,0,1216,0,0,0,0,0,0,0,0,80342804,0,0.0,0.0,0.0,0.0,0.0,2.000002523212379,445440.0,892416.0,264695267328.0,4911010.0,1.79,164.0,5472.0,3794.0,0.04,5,0.009000000000000001,0.2727272727272727,0.3847979916958248,0.0,tftp
