total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
607507369,75462546921,148761674,424974165,33771530,111303490,227663160,60719732,382804280,380753,0.35004874708089606,0.1832133990131073,1005.387429645991,124.21667747868915,2,0,0,0,0,60719897,108,0,0,0,0,5,2,0,4,6,0,5,9,0,0,0,0.0,0.0,0.0,3.2938132289651283e-08,0.0,2.0000033062809472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.26398699313588886,0.0,udp_flood
674470000,89483800176,186086194,452427575,35956231,118492186,242365568,64643970,407534454,28115808,0.4113060394252052,0.17568192210179845,14.49485122390934,132.67276554331548,62,0,0,0,0,64645568,108,0,0,0,0,441,416,0,472,417,0,434,425,0,0,0,0.0,0.0,0.0,9.59075802381379e-07,0.0,1.9999924721057762,1490016.0,2986036.0,2962986369024.0,12624704.0,2.19,411.0,16640.0,2420.0,0.17,5,0.006999999999999999,0.18181818181818182,0.2640163038344063,0.0,udp_flood
741408054,103500147382,223392071,479875393,38140590,125678147,257068178,68565371,432257274,55839400,0.46552099619744414,0.1695127889722115,7.741080205016529,139.59943761549695,124,0,0,0,0,68568270,108,0,0,0,0,888,843,0,944,843,0,863,836,0,0,0,0.0,0.0,0.0,1.808416633524515e-06,0.0,1.9999918363228888,1496464.0,2985908.0,2955609112576.0,14737586.0,1.87,412.0,3744.0,4811.0,0.09,5,0.006999999999999999,0.18181818181818182,0.264038610017358,0.0,udp_flood
808344179,117516515619,260703996,507313539,40326644,132861279,271767241,72487903,456976257,83565486,0.5138912643922164,0.16436226356496098,5.468480815153758,145.37930583526847,184,0,0,0,0,72492038,108,0,0,0,0,1295,1256,0,1421,1266,0,1284,1253,0,0,0,0.0,0.0,0.0,2.5382097824315546e-06,0.0,1.9999985699380167,1490928.0,2982084.0,2958654177280.0,14739658.0,1.87,398.0,23296.0,7167.0,0.06,5,0.006999999999999999,0.18181818181818182,0.2640570270263174,0.0,udp_flood
875295578,131534884874,298018039,534767007,42510532,140049977,286471588,76411604,481704233,111293391,0.5572857620215901,0.1600030669868185,4.32823754107735,150.27481936393377,245,0,0,0,0,76416345,108,0,0,0,0,1746,1691,0,1883,1689,0,1718,1665,0,0,0,0.0,0.0,0.0,3.206120366002849e-06,0.0,2.000001813639929,1492106.0,2986118.0,2958379974656.0,14740807.0,1.87,431.0,10336.0,9491.0,0.05,5,0.006999999999999999,0.18181818181818182,0.2640747255172986,0.0,udp_flood
942259363,145557093163,335339147,562223849,44696367,147238548,301179490,80333909,506435431,139029032,0.5964513024419923,0.15626116734061044,3.6426595489782305,154.47667476560804,307,0,0,0,0,80339743,108,0,0,0,0,2148,2107,0,2358,2129,0,2152,2063,0,0,0,0.0,0.0,0.0,3.82127187038674e-06,0.0,2.0000082315738967,1489900.0,2980720.0,2959766192128.0,14744737.0,1.87,424.0,29280.0,11859.0,0.04,5,0.006999999999999999,0.18181818181818182,0.2640893858435921,0.0,udp_flood
1009219591,159576895008,372651390,589686419,46881782,154429105,315888285,84255607,531168293,166759464,0.6319484017148443,0.1530183385034982,3.1852362694089735,158.11910156230806,367,0,0,0,0,84262045,108,0,0,0,0,2603,2547,0,2828,2547,0,2589,2495,0,0,0,0.0,0.0,0.0,4.35546039738295e-06,0.0,2.0000018260823142,1489016.0,2983960.0,2960875585536.0,18388952.0,1.72,438.0,16384.0,14177.0,0.03,5,0.008,0.18181818181818182,0.26410370802431626,0.0,udp_flood
1076158485,173594809031,409960732,617129180,49068573,161614578,330586149,88175152,555887353,194492117,0.6643029454546291,0.1501773021842596,2.8581485027488287,161.3097061916489,427,0,0,0,0,88182325,108,0,0,0,0,3020,2976,0,3319,2983,0,3022,2891,0,0,0,0.0,0.0,0.0,4.842240210835902e-06,0.0,2.0000006930070304,1493786.0,2984222.0,2954046734336.0,15064208.0,1.83,431.0,3648.0,16498.0,0.03,5,0.006999999999999999,0.18181818181818182,0.26411643294137654,0.0,udp_flood
1143089202,187609331806,447267248,644567220,51254734,168798687,345282956,92097478,580605722,222214242,0.6939031866994415,0.1476688667031954,2.6128195779638643,164.1248394943722,485,0,0,0,0,92105507,108,0,0,0,0,3453,3377,0,3789,3396,0,3450,3310,0,0,0,0.0,0.0,0.0,5.265700345148743e-06,0.0,2.0000038507482674,1490424.0,2981252.0,2960558915584.0,18340352.0,1.72,399.0,22912.0,18774.0,0.02,5,0.006999999999999999,0.18181818181818182,0.26412734103170665,0.0,udp_flood
1210043973,201629640782,484583967,672020114,53439892,175986531,359989052,96018887,605332728,249947460,0.7210855105447037,0.1454381286356773,2.4218398858704147,166.630011207039,548,0,0,0,0,96028617,108,0,0,0,0,3902,3812,0,4258,3828,0,3869,3723,0,0,0,0.0,0.0,0.0,5.706632221934426e-06,0.0,2.0000024433717902,1492686.0,2989468.0,2960824467456.0,15057373.0,1.83,431.0,10304.0,701.0,0.62,5,0.006999999999999999,0.18181818181818182,0.2641371886109425,0.0,udp_flood
