total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
616520124,76215254024,148895315,433737117,33887692,115317465,235712671,60929885,384175700,7220917,0.3432846974910842,0.18704574353845424,53.20317350275595,123.62168087801138,0,0,0,0,0,60929850,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0646433230559627,1161472.0,2322944.0,1798387662848.0,1041118.0,6.79,334.0,18080.0,633.0,0.53,5,0.006999999999999999,0.18181818181818182,0.26403135830113805,0.0,webddos
679405699,83159920278,158993000,484226316,36186383,133674471,272774309,65061269,410230501,28783527,0.3283444016702306,0.19675206021490851,14.252266617638623,122.400975441332,0,0,0,0,0,65061230,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.241307131132286,1160704.0,2324992.0,1795137208320.0,10290045.0,2.09,360.0,8800.0,2473.0,0.15,5,0.008,0.18181818181818182,0.2641422410659555,0.0,webddos
742280057,90103303036,169093439,534700535,38486083,152026191,309821985,69193779,436283246,50338868,0.31623951713457704,0.20480974743472058,8.666926042119183,121.38720714141455,0,0,0,0,0,69193743,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.396818969622337,1160704.0,2321408.0,1793840250880.0,12893957.0,1.79,340.0,23264.0,4311.0,0.08,5,0.006999999999999999,0.18181818181818182,0.2642270142559615,0.0,webddos
805276518,97060100085,179217400,585272012,40787106,170413465,346941317,73336340,462386053,71936679,0.3062121480703916,0.2116210533783378,6.427681391852966,120.5301507189857,0,0,0,0,0,73336304,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5350662027683564,1160508.0,2324724.0,1795682074624.0,11642694.0,1.85,374.0,13696.0,6145.0,0.06,5,0.008,0.18181818181818182,0.2642936578667624,0.0,webddos
868264269,104015215873,189337286,635836842,43090141,188797939,384055207,77479574,488483629,93530023,0.2977765261359297,0.21744294420573468,5.222746807193665,119.79672501414429,0,0,0,0,0,77479540,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6585125713250943,1164206.0,2324890.0,1792192413696.0,11517431.0,1.87,380.0,3328.0,7981.0,0.05,5,0.008,0.18181818181818182,0.26434727420110166,0.0,webddos
931256056,110971146733,199454476,686409878,45391704,207185769,421174823,81620218,514583001,115127916,0.29057634861134674,0.2224799158782598,4.469663126708556,119.16287257196639,0,0,0,0,0,81620186,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7694628346110495,1160448.0,2320896.0,1795176267776.0,11519691.0,1.87,347.0,18560.0,9794.0,0.04,5,0.008,0.18181818181818182,0.2643915431402095,0.0,webddos
994242169,117926523018,209568658,736979389,47694122,225572561,458291064,85758784,540680514,136724897,0.28436162683512983,0.22687889131365138,3.954513960979616,118.60945622192776,0,0,0,0,0,85758763,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.8696986379931597,1161472.0,2326528.0,1796131913728.0,12939899.0,1.78,334.0,8096.0,11634.0,0.03,5,0.006999999999999999,0.18181818181818182,0.264428773778874,0.0,webddos
1057131446,124871481353,219668572,787470457,49992417,243929354,495347978,89891678,566741407,158282659,0.278954683375506,0.23074647426579342,3.5805653669237385,118.12294660753096,0,0,0,0,0,89891647,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.9605263563519997,1161216.0,2322432.0,1795612737536.0,11645709.0,1.85,327.0,23008.0,13478.0,0.02,5,0.006999999999999999,0.18181818181818182,0.26446018134027105,0.0,webddos
1119961370,131810081341,229758141,837916054,52287175,262270291,532374518,94019517,592775401,179824551,0.2742018605601272,0.23417797972799723,3.296409737733754,117.69163193637652,0,0,0,0,0,94019488,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.043323654785019,1161106.0,2325788.0,1797213650944.0,12947884.0,1.77,337.0,12064.0,15315.0,0.02,5,0.006999999999999999,0.18181818181818182,0.2644869696137458,0.0,webddos
1182871347,138757502274,239859292,888424272,54587783,280633838,569449081,98152402,618841493,201393552,0.2699828219011108,0.23724798027422334,3.07279695330067,117.30565849440599,0,0,0,0,0,98152358,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.119248473136361,1164680.0,2326016.0,1794014314496.0,11513359.0,1.86,330.0,1568.0,446.0,0.74,5,0.006999999999999999,0.18181818181818182,0.2645100097352942,0.0,webddos
1245481867,145294042565,259450412,929158851,56872604,296549224,600428678,107037803,643528925,222952848,0.2792314917096991,0.2380999931490773,2.886390242478535,116.65689113159927,0,0,0,0,0,107037760,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.2046805251514154,1161454.0,2322926.0,1798410207232.0,11430206.0,1.88,351.0,16960.0,2289.0,0.15,5,0.008,0.18181818181818182,0.2646526272913389,0.0,webddos
1307999800,151713046915,281746740,967102871,59150189,311764843,629663555,117277257,667823700,244504720,0.2913306830623606,0.2383523628979148,2.731332548508675,115.9885857130865,0,0,0,0,0,117277232,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.290181570433851,1166596.0,2327008.0,1795388604416.0,11471096.0,1.87,344.0,7168.0,4146.0,0.08,5,0.006999999999999999,0.18181818181818182,0.26481479518870105,0.0,webddos
