total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
28462648,3531692582,6958932,19920930,1582786,5217558,10670979,2848287,17945828,0,0.34932766693121253,0.18331245919213138,999.0,124.08165895176022,0,0,0,0,0,2848290,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000004599863614,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
69687296,8647088058,17032215,48779167,3875914,12775508,26132172,6970591,43938176,0,0.349169861797763,0.18332621199709054,999.0,124.08413806154854,0,0,0,0,0,6970591,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001878596338,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
110918704,13763413000,27103241,77645518,6169945,20335824,41595831,11091991,69935572,0,0.34906381846792495,0.18333989910304035,999.0,124.08559155180897,0,0,0,0,0,11091995,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002557067099,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
152220672,18888570999,37197207,106558451,8465014,27908096,57086394,15222492,95977161,0,0.34907796285439624,0.18333972405535037,999.0,124.08676660552385,0,0,0,0,0,15222493,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002723227822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
193422396,24001497239,47268087,135396775,10757534,35461214,72534150,19342403,121957093,0,0.34910792373008886,0.183335615385511,999.0,124.08851164784454,0,0,0,0,0,19342405,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002368788037,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
234649168,29117103280,57345481,164251296,13052391,43018530,87990935,23466462,147951051,0,0.3491325937543896,0.1833312701113008,999.0,124.0878181166191,0,0,0,0,0,23466458,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000028824829372,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
275984384,34246387360,67443851,193189815,15350718,50597461,103495517,27599023,174013279,0,0.3491066596859674,0.18333450707124066,999.0,124.0881344938705,0,0,0,0,0,27599014,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002964580028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
317223173,39363830535,77516162,222061126,17645885,58159096,118961684,31720178,200016045,0,0.3490757855564508,0.18333810689170554,999.0,124.08876111645223,0,0,0,0,0,31720178,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024759700232,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
358533139,44490177537,87612164,250975916,19945059,65732038,134451879,35850528,226063584,0,0.34908594177618224,0.1833360179294333,999.0,124.08944305982271,0,0,0,0,0,35850536,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000028601010187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
