feature,importance
attack_entropy,13157.93334305752
pps_netbios,5253.6582339843735
pps_portmap,5197.250539511442
pps_mssql,4988.671321235597
pps_ssdp,4871.9709993600845
ratio_vs_total_snmp,4745.573556497693
pps_ldap,4470.131470367312
delta_pps_5w,4398.546074360609
pps_tftp,4021.348779996857
pps_dns,3856.0941510610282
pps_http,3337.2973992703483
ratio_vs_total_ntp,2798.794116407633
ratio_vs_total_syn,2675.083973265253
pps_ntp,2614.08244362846
pps_syn,2443.054919924587
new_ips_ratio,1897.3504799939692
heavy_hitters_http,1619.5817598104477
heavy_hitters_dns,1249.9100341796875
ratio_vs_total_ldap,904.5407941192389
pps_snmp,700.0705107152462
ip_concentration_dns,687.4112491458654
ratio_vs_total_tftp,655.614013671875
pps_baseline,508.44394545815885
heavy_hitters_tftp,481.4387362264097
ratio_vs_total_ssdp,449.3247314989567
ratio_vs_total_mssql,400.20222759246826
ratio_vs_baseline,255.150231000036
top_ip_pps_1min,202.33696463517845
ratio_50ms_1min,170.55228392407298
ratio_vs_total_dns,142.0421223938465
heavy_hitters_portmap,141.72559148073196
avg_packet_size,135.69678412750363
adaptive_threshold,98.9150316696614
heavy_hitters_ntp,52.2307014465332
pps_variance,24.622651390731335
ratio_vs_total_portmap,16.985300064086914
ratio_vs_total_netbios,11.502404242753983
heavy_hitters_syn,5.697931483387947
heavy_hitters_netbios,2.7554099559783936
delta_pps_10w,2.7032425738871098
heavy_hitters_ssdp,1.8584799766540527
ip_concentration_ntp,1.501274859532714
ip_concentration_snmp,0.9253624081611633
packet_size_variance,0.9230007957667112
ip_concentration_syn,0.7428960055112839
ip_concentration_http,0.4168829917907715
ip_concentration,0.28970199823379517
ip_concentration_portmap,0.0802261009812355
top_ip_pps_1s,0.019162800163030624
top_ip_pps_50ms,0.0
ratio_vs_total_udp_other,0.0
ip_concentration_udp_other,0.0
heavy_hitters_udp_other,0.0
pps_udp_other,0.0
ratio_vs_total_http,0.0
ip_concentration_mssql,0.0
heavy_hitters_mssql,0.0
heavy_hitters_snmp,0.0
ip_concentration_ssdp,0.0
ip_concentration_netbios,0.0
ip_concentration_tftp,0.0
heavy_hitters_ldap,0.0
ip_concentration_ldap,0.0
num_heavy_hitters,0.0
