delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,pps_dns,pps_ntp,pps_snmp,pps_ssdp,pps_portmap,pps_netbios,pps_ldap,pps_mssql,pps_tftp,pps_syn,pps_http,pps_udp_other,heavy_hitters_dns,heavy_hitters_ntp,heavy_hitters_snmp,heavy_hitters_ssdp,heavy_hitters_portmap,heavy_hitters_netbios,heavy_hitters_ldap,heavy_hitters_mssql,heavy_hitters_tftp,heavy_hitters_syn,heavy_hitters_http,heavy_hitters_udp_other,ip_concentration_dns,ip_concentration_ntp,ip_concentration_snmp,ip_concentration_ssdp,ip_concentration_portmap,ip_concentration_netbios,ip_concentration_ldap,ip_concentration_mssql,ip_concentration_tftp,ip_concentration_syn,ip_concentration_http,ip_concentration_udp_other,ratio_vs_total_dns,ratio_vs_total_ntp,ratio_vs_total_snmp,ratio_vs_total_ssdp,ratio_vs_total_portmap,ratio_vs_total_netbios,ratio_vs_total_ldap,ratio_vs_total_mssql,ratio_vs_total_tftp,ratio_vs_total_syn,ratio_vs_total_http,ratio_vs_total_udp_other,avg_packet_size,packet_size_variance,label
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ldap
554752.0,1108224.0,407765352448.0,3027642.25,2.722900390625,149.01239013671875,3456.0,734.933349609375,0.20275633037090302,0.0,0.008240774273872375,0.0,0.9917592406272888,11164501.0,0.0,0.0,0.0,0.0,0.0,0.0,1650791.157803345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005343242290270959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0017272296788517,0.0,0.0,0.0,0.0,0.0,81.0,55.490335276628684,ldap
554752.0,1108224.0,407344709632.0,5438054.0,1.9831093549728394,162.60150146484375,1472.0,1699.2000732421875,0.09569296985864639,0.0,0.008947744965553284,0.0,0.9910522699356079,14723160.0,0.0,0.0,0.0,0.0,0.0,0.0,2115827.338261929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005401786118224016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003711146110539,0.0,0.0,0.0,0.0,0.0,81.0,22.765165915386206,ldap
552448.0,1105920.0,407560585216.0,5533688.5,1.952214002609253,169.15045166015625,12544.0,2589.86669921875,0.06531241536140442,0.0,0.009312320500612259,0.0,0.9906876683235168,15102393.0,0.0,0.0,0.0,0.0,0.0,0.0,2120549.4036263423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005334057413525215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003500946160881,0.0,0.0,0.0,0.0,0.0,81.0,9.405699298905347,ldap
553472.0,1106432.0,408002756608.0,5554528.0,1.9294500350952148,170.9075927734375,9792.0,3517.866943359375,0.04858273267745972,0.0,0.009312320500612259,0.0,0.9906876683235168,15113512.0,0.0,0.0,0.0,0.0,0.0,0.0,2097614.5683705416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005417055341149501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003476415266954,0.0,0.0,0.0,0.0,0.0,81.0,36.09386321220791,ldap
553472.0,1106176.0,407846748160.0,5511854.0,1.9566500186920166,184.02716064453125,7680.0,4420.80029296875,0.04162756726145744,0.0,0.010035842657089233,0.0,0.9899641275405884,15079245.0,0.0,0.0,0.0,0.0,0.0,0.0,2093688.7871009202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005325018136152209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003171021739794,0.0,0.0,0.0,0.0,0.0,81.0,22.325444400402375,ldap
553984.0,1108992.0,408418058240.0,5534976.0,1.9527974128723145,164.27499389648438,6048.0,5323.7333984375,0.030857102945446968,0.0,0.008941344916820526,0.0,0.9910586476325989,15111597.0,0.0,0.0,0.0,0.0,0.0,0.0,2098446.391399496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005302404670991885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003322725000305,0.0,0.0,0.0,0.0,0.0,81.0,8.840161685627208,ldap
554496.0,1107712.0,407335436288.0,6297015.5,1.8259614706039429,166.1107940673828,3392.0,6231.466796875,0.026656772941350937,0.0,0.008957362733781338,0.0,0.9910426139831543,15763177.0,0.0,0.0,0.0,0.0,0.0,0.0,2075684.809882462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005340326397791145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003452527743526,0.0,0.0,0.0,0.0,0.0,81.0,36.769106041923806,ldap
554752.0,1108480.0,407584243712.0,5533069.5,1.9493324756622314,166.0331268310547,1376.0,7188.26708984375,0.023097796365618706,0.0,0.008957362733781338,0.0,0.9910426139831543,15227556.0,0.0,0.0,0.0,0.0,0.0,0.0,2071608.9997256685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005294590523945779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003450836365653,0.0,0.0,0.0,0.0,0.0,81.0,23.085670093881163,ldap
552704.0,1106432.0,407735205888.0,5532354.5,1.9529556035995483,159.4380340576172,12384.0,8082.1337890625,0.019727220758795738,0.0,0.008586762472987175,0.0,0.9914132356643677,15111856.0,0.0,0.0,0.0,0.0,0.0,0.0,2076369.8186107448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005302171394769921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000372923877299,0.0,0.0,0.0,0.0,0.0,81.0,9.443255471348493,ldap
