delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,pps_dns,pps_ntp,pps_snmp,pps_ssdp,pps_portmap,pps_netbios,pps_ldap,pps_mssql,pps_tftp,pps_syn,pps_http,pps_udp_other,heavy_hitters_dns,heavy_hitters_ntp,heavy_hitters_snmp,heavy_hitters_ssdp,heavy_hitters_portmap,heavy_hitters_netbios,heavy_hitters_ldap,heavy_hitters_mssql,heavy_hitters_tftp,heavy_hitters_syn,heavy_hitters_http,heavy_hitters_udp_other,ip_concentration_dns,ip_concentration_ntp,ip_concentration_snmp,ip_concentration_ssdp,ip_concentration_portmap,ip_concentration_netbios,ip_concentration_ldap,ip_concentration_mssql,ip_concentration_tftp,ip_concentration_syn,ip_concentration_http,ip_concentration_udp_other,ratio_vs_total_dns,ratio_vs_total_ntp,ratio_vs_total_snmp,ratio_vs_total_ssdp,ratio_vs_total_portmap,ratio_vs_total_netbios,ratio_vs_total_ldap,ratio_vs_total_mssql,ratio_vs_total_tftp,ratio_vs_total_syn,ratio_vs_total_http,ratio_vs_total_udp_other,avg_packet_size,packet_size_variance,label
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbios
583910.0,1166503.0,451309830144.0,437214.25,7.436500549316406,161.20982360839844,3104.0,310.4000244140625,0.5193614959716797,0.0,0.008520790375769138,0.0,0.991479218006134,3016661.5,0.0,0.0,0.0,0.0,0.0,651007.1730256117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00571310977402348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004211852230904,0.0,0.0,0.0,0.0,0.0,0.0,99.03292723730048,201.41439336991354,netbios
584704.0,1167104.0,451403579392.0,5585785.5,2.0370421409606934,167.1979217529297,864.0,1295.4666748046875,0.12906385958194733,0.0,0.008757157251238823,0.0,0.9912428259849548,15329523.0,0.0,0.0,0.0,0.0,0.0,2253857.4217614606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005375033310464872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002353548328555,0.0,0.0,0.0,0.0,0.0,0.0,99.00121080136903,62.61234360384332,netbios
582144.0,1165312.0,452176838656.0,5848502.5,1.9292021989822388,168.96627807617188,11232.0,2245.86669921875,0.07523433119058609,0.0,0.008858603425323963,0.0,0.9911413788795471,15908253.0,0.0,0.0,0.0,0.0,0.0,2229796.694384438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052978728281300146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002350068495895,0.0,0.0,0.0,0.0,0.0,0.0,99.00357095773889,103.08142571945635,netbios
582144.0,1165272.0,452610981888.0,5805989.0,1.9561914205551147,181.9015655517578,9408.0,3245.866943359375,0.05604097992181778,0.0,0.009540034458041191,0.0,0.9904599785804749,15875584.0,0.0,0.0,0.0,0.0,0.0,2225353.034082374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053791775987901145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002234662480018,0.0,0.0,0.0,0.0,0.0,0.0,99.0072196787816,83.35744803381012,netbios
582138.0,1165312.0,452586569728.0,5827326.0,1.9522037506103516,168.9711456298828,7392.0,4178.1337890625,0.04044177383184433,0.0,0.008852570317685604,0.0,0.9911474585533142,15902580.0,0.0,0.0,0.0,0.0,0.0,2230444.4435645374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005292218118468896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002350102172126,0.0,0.0,0.0,0.0,0.0,0.0,98.99817437184922,63.25381343362681,netbios
583168.0,1167360.0,452224811008.0,6610199.0,1.8285365104675293,177.26776123046875,5152.0,5139.7333984375,0.03448968008160591,0.0,0.00919931847602129,0.0,0.990800678730011,16577175.0,0.0,0.0,0.0,0.0,0.0,2206628.5487102554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005372640062063256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002258408227556,0.0,0.0,0.0,0.0,0.0,0.0,98.98909594181414,103.43857979511276,netbios
584448.0,1166835.0,451628728320.0,5826587.0,1.948751449584961,170.7378387451172,3008.0,6125.33349609375,0.027874046936631203,0.0,0.008852570317685604,0.0,0.9911474585533142,16023176.0,0.0,0.0,0.0,0.0,0.0,2202273.5696017724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054025570945476446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002461577668569,0.0,0.0,0.0,0.0,0.0,0.0,98.98408662436614,83.07046065095918,netbios
584448.0,1166336.0,451368026112.0,6617658.0,1.844037413597107,157.56021118164062,768.0,7083.73388671875,0.022242536768317223,0.0,0.008091705851256847,0.0,0.9919083118438721,16636461.0,0.0,0.0,0.0,0.0,0.0,2207032.7860292327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054330207247887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002345113911737,0.0,0.0,0.0,0.0,0.0,0.0,99.02024615010467,63.02903430140836,netbios
581888.0,1164544.0,451790798848.0,5876245.5,1.9190484285354614,179.29696655273438,11360.0,8067.2001953125,0.022225426509976387,0.0,0.009196185506880283,0.0,0.9908038377761841,16111286.0,0.0,0.0,0.0,0.0,0.0,2183201.894857254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052703391170425195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002401508850438,0.0,0.0,0.0,0.0,0.0,0.0,99.00016400548247,104.49816662610061,netbios
581966.0,1164984.0,452612161536.0,5802332.0,1.957127571105957,185.8300018310547,9376.0,9044.80078125,0.020545504987239838,0.0,0.009517335332930088,0.0,0.9904826879501343,15880969.0,0.0,0.0,0.0,0.0,0.0,2178603.648722052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005322869023477393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002370833479681,0.0,0.0,0.0,0.0,0.0,0.0,98.98020793087703,83.5005858769415,netbios
582144.0,1165085.0,452472963072.0,6617500.5,1.8439432382583618,179.17282104492188,7488.0,10016.0009765625,0.017888657748699188,0.0,0.009189925156533718,0.0,0.9908100962638855,16639924.0,0.0,0.0,0.0,0.0,0.0,2183859.094801165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005304830233728538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001990073047389,0.0,0.0,0.0,0.0,0.0,0.0,98.99860694886682,63.10933501389647,netbios
583422.0,1167598.0,452526899200.0,5881478.0,1.9197348356246948,174.28759765625,5088.0,495.4667053222656,0.3517645001411438,0.0,0.008852570317685604,0.0,0.9911474585533142,16131495.0,0.0,0.0,0.0,0.0,0.0,2164576.0504932427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005340797247730826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000239462185669,0.0,0.0,0.0,0.0,0.0,0.0,99.00335247059937,83.67492919102654,netbios
584960.0,1167104.0,452011589632.0,5822790.0,1.9542521238327026,160.9654998779297,2912.0,1487.466796875,0.10821451991796494,0.0,0.00817438680678606,0.0,0.9918256402015686,15906403.0,0.0,0.0,0.0,0.0,0.0,2160644.5991137107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005405741086293726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002336725035494,0.0,0.0,0.0,0.0,0.0,0.0,99.02886299100804,62.67802400299935,netbios
582400.0,1165491.0,451768582144.0,5846726.5,1.9307076930999756,183.00399780273438,13120.0,2437.33349609375,0.07508369535207748,0.0,0.00919931847602129,0.0,0.990800678730011,15933865.0,0.0,0.0,0.0,0.0,0.0,2140736.8250902924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005277801852311205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002540923820116,0.0,0.0,0.0,0.0,0.0,0.0,98.99899558776052,86.35260747365618,netbios
582098.0,1165292.0,452265836544.0,5823440.5,1.9544260501861572,162.68247985839844,11520.0,3397.33349609375,0.04788534343242645,0.0,0.008177172392606735,0.0,0.9918228387832642,15916172.0,0.0,0.0,0.0,0.0,0.0,2137367.0988700907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053080999333498715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002481315396115,0.0,0.0,0.0,0.0,0.0,0.0,99.00200896860987,63.58037264565914,netbios
