delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,pps_dns,pps_ntp,pps_snmp,pps_ssdp,pps_portmap,pps_netbios,pps_ldap,pps_mssql,pps_tftp,pps_syn,pps_http,pps_udp_other,heavy_hitters_dns,heavy_hitters_ntp,heavy_hitters_snmp,heavy_hitters_ssdp,heavy_hitters_portmap,heavy_hitters_netbios,heavy_hitters_ldap,heavy_hitters_mssql,heavy_hitters_tftp,heavy_hitters_syn,heavy_hitters_http,heavy_hitters_udp_other,ip_concentration_dns,ip_concentration_ntp,ip_concentration_snmp,ip_concentration_ssdp,ip_concentration_portmap,ip_concentration_netbios,ip_concentration_ldap,ip_concentration_mssql,ip_concentration_tftp,ip_concentration_syn,ip_concentration_http,ip_concentration_udp_other,ratio_vs_total_dns,ratio_vs_total_ntp,ratio_vs_total_snmp,ratio_vs_total_ssdp,ratio_vs_total_portmap,ratio_vs_total_netbios,ratio_vs_total_ldap,ratio_vs_total_mssql,ratio_vs_total_tftp,ratio_vs_total_syn,ratio_vs_total_http,ratio_vs_total_udp_other,avg_packet_size,packet_size_variance,label
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,webddos
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,webddos
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,webddos
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,webddos
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,webddos
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,webddos
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,webddos
1098504.0,2196225.0,1607110492160.0,8050784.5,2.3507442474365234,295.3077697753906,20608.0,1676.800048828125,0.17611388862133026,0.0,0.007896626368165016,0.0,0.9921033978462219,26096036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950826.4595153048,1826541.7393965349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005397828452306657,0.005391710376163405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174475322887977,0.484481595512115,0.0,83.45969035892598,624.0136876904263,webddos
1098660.0,2196808.0,1613477969920.0,10908427.0,1.9670557975769043,303.39337158203125,16896.0,3503.466796875,0.08659804612398148,0.0,0.008058738894760609,0.0,0.9919412732124329,29618810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026111.539102074,2053110.670881141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00531508613343265,0.005379123891159175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49705922496576027,0.5036828324315166,0.0,84.4052009908741,618.7962164135484,webddos
1097938.0,2197640.0,1609962618880.0,12480609.0,1.8440194129943848,283.1283874511719,14080.0,5312.53369140625,0.05329441651701927,0.0,0.0075309304520487785,0.0,0.992469072341919,31395622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969059.602423877,2110682.8207652103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053455269371039974,0.005268611316456003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48300651441783565,0.5177464161290273,0.0,85.0893948163869,618.9654395301313,webddos
1099214.0,2204366.0,1611742838784.0,11031498.0,1.945104956626892,289.8721618652344,9920.0,7145.6005859375,0.040566522628068924,0.0,0.007715772371739149,0.0,0.9922842383384705,30309390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979729.7774726187,2100363.355726452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005368581202213328,0.005319035570860088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48558136470794916,0.5151699571636738,0.0,84.96122300770301,618.1173824435308,webddos
1102918.0,2201034.0,1608064958464.0,12482027.0,1.8440877199172974,303.3202209472656,6464.0,8987.7333984375,0.03374824300408363,0.0,0.00807030126452446,0.0,0.9919297099113464,31398048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947074.5545747816,2132715.4547695774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053366349314776075,0.00531884592436685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4775960449584827,0.5231317228334008,0.0,85.3448254768918,617.8924746045607,webddos
1110232.0,2208216.0,1606155894784.0,11028958.0,1.9456771612167358,269.6213684082031,2816.0,46.93333435058594,5.7447733879089355,0.0,0.007178750820457935,0.0,0.9928212761878967,30304628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013766.951332899,2066105.0566609902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005382199684371299,0.005437742949813068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939628453835923,0.5068010138780837,0.0,84.5556519311366,619.091666897495,webddos
1099264.0,2197676.0,1607400554496.0,12479865.0,1.8439885377883911,296.6510314941406,23168.0,1905.0667724609375,0.15571686625480652,0.0,0.00789096113294363,0.0,0.9921090602874756,31393320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016217.4192704796,2063643.3065919315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005465780975402399,0.005430049372537959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4945529735869423,0.5061859519431703,0.0,84.54143160153872,613.6790001330936,webddos
1099498.0,2197730.0,1608813379584.0,11035532.0,1.9447053670883179,269.6466064453125,19104.0,3792.533447265625,0.07109933346509933,0.0,0.00717488769441843,0.0,0.9928250908851624,30316592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043661.7718062117,2035477.4313908073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005418918031043016,0.005381022237160781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5013757121702683,0.4993678312376076,0.0,84.2005433827774,617.7037524341993,webddos
1098772.0,2196436.0,1608331165696.0,12443051.0,1.8462803363800049,269.7213134765625,16032.0,5618.1337890625,0.048009056597948074,0.0,0.007178750820457935,0.0,0.9928212761878967,31359746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121809.418135393,1956593.2104966624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005295326731002224,0.005441781112934117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520636245667275,0.4800965320939399,0.0,83.26083750064726,615.88825132958,webddos
1099708.0,2201788.0,1610036543488.0,11029412.0,1.9454208612442017,316.821044921875,12256.0,7433.6005859375,0.042620133608579636,0.0,0.008428981527686119,0.0,0.9915710091590881,30302430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168895.42571373,1911160.4310296234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319180303700427,0.005317084270264482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5319858137116343,0.4687686759725623,0.0,82.71625697824528,615.517119451014,webddos
1099218.0,2200736.0,1608032059392.0,12485069.0,1.843645691871643,283.1049499511719,9152.0,9227.7333984375,0.030679792165756226,0.0,0.007533632218837738,0.0,0.992466390132904,31398200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001920.290179143,2078029.352581198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005359960646772844,0.005302125773931882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4910452958393328,0.5097138698313208,0.0,84.70905289377014,618.2258595203432,webddos
1102418.0,2200574.0,1607546568704.0,11029310.0,1.9451837539672852,296.6465759277344,5120.0,11036.80078125,0.02687794901430607,0.0,0.007893792353570461,0.0,0.9921061992645264,30307798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028764.3239448776,2051117.827451143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005340479192938209,0.0054257160230125195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49763497878148466,0.5031180628005304,0.0,84.37730520932203,618.3991357234421,webddos
1102692.0,2200420.0,1603535765504.0,10983509.0,1.953243374824524,289.9112243652344,1408.0,12865.0673828125,0.02253476157784462,0.0,0.007624113466590643,0.0,0.992375910282135,30018032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066076.238352494,2013726.2256265422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053492821189100835,0.005294601539150514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067971126587104,0.493955943100362,0.0,83.92846597835279,620.743164583079,webddos
1099568.0,2197930.0,1608289091584.0,12436020.0,1.8467847108840942,303.4143981933594,21792.0,14688.0009765625,0.02065729722380638,0.0,0.008081896230578423,0.0,0.9919180870056152,31350330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1883610.7115652082,2196146.1377724973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053855635656098145,0.005393850078927288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4620466861846173,0.5387111249180215,0.0,86.10604334742266,615.7000931060132,webddos
