total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
0,0,0,0,0,0,0,0,0,0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
19618202,2434640386,4792388,13732981,1092833,3596683,7357421,1960121,12370375,0,0.3489692441866773,0.1833339772931281,999.0,124.10109682834339,0,0,0,0,0,1960113,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000000556068065,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
45469920,5642596040,11109143,31829580,2531197,8336445,17051022,4544811,28670917,0,0.3490194655411727,0.1833397771537755,999.0,124.09513894020486,0,0,0,0,0,4544813,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000064776022506,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
71329001,8851413246,17427486,49930858,3970657,13077459,26746715,7130162,44976148,0,0.34903237593073205,0.183339999392393,999.0,124.09276902672448,0,0,0,0,0,7130164,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000003211638243,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
97185792,12059937497,23743432,68035043,5407317,17819214,36444170,9714724,61280165,0,0.34898827064752497,0.18335204800306612,999.0,124.09156985621931,0,0,0,0,0,9714718,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9999995510465163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
123044393,15268345896,30063713,86134231,6846449,22559301,46141660,12302022,77582918,0,0.3490332780703644,0.1833427793820723,999.0,124.08810774498274,0,0,0,0,0,12302023,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022163831854,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
148899328,18476788984,36379978,104233896,8285454,27299640,55838412,14886144,93885366,0,0.349022529101282,0.18334293624213,999.0,124.08913614438877,0,0,0,0,0,14886145,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00000249087844,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
174757376,21685635770,42700639,122334102,9722635,32040274,65534412,17472280,110190016,0,0.34904935174984975,0.18334146880301064,999.0,124.0899598423817,0,0,0,0,0,17472273,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000027465470755,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
200614912,24893956491,49023541,140431293,11160078,36780023,75229443,20060679,126492548,0,0.3490927125480501,0.18333643612694156,999.0,124.08826563700309,0,0,0,0,0,20060677,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002446983519,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
226469888,28102495315,55341949,158530417,12597522,41520292,84925452,22645632,142795337,0,0.3490935685862733,0.1833369211539505,999.0,124.08932402969175,0,0,0,0,0,22645622,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000031791734467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
252323328,31310775150,61658864,176629293,14035171,46260485,94621348,25230018,159097127,0,0.3490862866104548,0.1833381216341598,999.0,124.08989449441631,0,0,0,0,0,25230012,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023778421427,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
278133838,34513376418,67968011,194694489,15471338,50991890,104299113,27812204,175370567,0,0.34910084691714105,0.18333580109012124,999.0,124.08909561734089,0,0,0,0,0,27812202,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001725766116,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,benign
