total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
1053858548,129874623673,279145149,716217895,58495505,187817731,381918474,117393151,660542083,2311767,0.38974891712249105,0.17821910858571885,285.73038848638294,123.23724461833562,0,0,0,2311767,0,115081430,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.020088097619224927,0.0,2.000002502429273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.2742733840047451,0.0,dns
1116480811,136007948712,323244446,732479114,60757251,192221815,389541080,149526359,684649207,24283735,0.4413019290540481,0.17216759402056575,28.193735724755687,121.81843823198498,0,0,0,24283735,0,125242666,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.19389346917926514,0.0,2.000002486713562,1183436.0,2367180.0,1866430152704.0,10111684.0,2.17,360.0,19744.0,2100.0,0.17,5,0.006999999999999999,0.18181818181818182,0.32412235877217976,0.0,dns
1179083167,142138762410,367334282,748733783,63015102,196624326,397159049,181657941,708742609,46259799,0.4906073297884036,0.16676035372490394,15.320918471781514,120.5502430940904,0,0,0,46259799,0,135398184,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.341657455317126,0.0,2.0000025225801696,1183488.0,2373326.0,1869074268160.0,13134480.0,1.79,353.0,9536.0,3994.0,0.09,5,0.006999999999999999,0.18181818181818182,0.3538831615867429,0.0,dns
1241638404,148265223847,411397248,764967738,65273418,201021030,404768804,213765498,732818886,68215904,0.5377968606566255,0.16189981668769324,10.742639810212,119.41095198840193,0,0,0,68215904,0,145549638,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.4686779365263691,0.0,2.000002527101975,1183848.0,2367792.0,1866003251200.0,11894487.0,1.83,400.0,23840.0,5798.0,0.07,5,0.008,0.2727272727272727,0.37486470276338696,0.0,dns
1304099128,154381824661,455392740,781177115,67529273,205411183,412366324,245830251,756852873,90149242,0.5829570928994765,0.1575119395371607,8.395554485083746,118.38197062347855,0,0,0,90149243,0,155681055,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.5790636696289089,0.0,2.000002443881614,1183764.0,2371054.0,1867846123520.0,11597750.0,1.88,357.0,13472.0,7659.0,0.05,5,0.006999999999999999,0.2727272727272727,0.3904495968418513,0.0,dns
1366691445,160511431663,499478356,797425729,69787360,209812023,419981755,277961053,780938780,112127831,0.6263634816829443,0.15351820907900685,6.964718509537565,117.44525968185891,0,0,0,112127831,0,165833256,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.6761480399323523,0.0,2.000002449814945,1187248.0,2370776.0,1863948959744.0,11682967.0,1.88,407.0,3040.0,9541.0,0.04,5,0.008,0.2727272727272727,0.4023830003170762,0.0,dns
1429286022,166640965830,543561613,813676555,72047854,214213200,427599996,310090914,805025339,134103639,0.6680315533977749,0.14987427058179123,6.0030089041804455,116.59035578954258,0,0,0,134103639,0,175987319,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.762007397817112,0.0,2.000002352798954,1183488.0,2367488.0,1868053217280.0,11727459.0,1.87,379.0,18688.0,11425.0,0.03,5,0.008,0.2727272727272727,0.41165215683776196,0.0,dns
1491703766,172753174508,587527390,829876830,74299546,218600567,435195697,342136006,829040210,156024151,0.7079693862521743,0.14654422143491458,5.313537709940816,115.80930372739972,0,0,0,156024151,0,186111907,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.8383351367196511,0.0,2.0000023513232894,1186562.0,2370472.0,1866299342848.0,13147095.0,1.77,405.0,7008.0,13239.0,0.03,5,0.008,0.2727272727272727,0.4189152033878166,0.0,dns
1554274497,178880573104,631599131,846118622,76556744,222999449,442808683,374258028,853115710,177997913,0.746466410947282,0.1434749456614162,4.792841082355836,115.08943461999043,0,0,0,177997913,0,196260152,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.906948818627227,0.0,2.000002394627618,1184146.0,2368000.0,1866792960000.0,11756283.0,1.86,405.0,23104.0,15153.0,0.03,5,0.008,0.2727272727272727,0.42467273540219147,0.0,dns
1616897777,185013118300,675714592,862368507,78814678,227400494,450425649,406404966,877215769,199979095,0.7835566657584354,0.14063999421281906,4.38653734781628,114.42474653114697,0,0,0,199979095,0,206425916,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.9687693235184676,0.0,2.000002286717084,1183644.0,2370768.0,1867568775168.0,11684955.0,1.88,361.0,12000.0,17009.0,0.02,5,0.006999999999999999,0.2727272727272727,0.4292406953256581,0.0,dns
