total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
1147507918,140305613950,331836979,752167722,63503217,197558131,398740849,137707344,714019699,5754524,0.4411741813616405,0.17216276062332148,124.07971519451479,122.26984384956549,0,0,0,0,0,137707449,108,0,0,0,0,97,0,0,0,0,0,5754427,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002561274727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.2848292394869948,0.0,ldap
1205049647,146238571827,370904595,768385742,65759310,201950419,406343882,147847861,738069660,22740380,0.4827062433961717,0.16758680399829204,32.45634681566447,121.35481072590198,0,0,0,0,0,147847964,108,0,0,0,0,382,0,0,0,0,0,22739998,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000025055686264,912819.0,1825792.0,1111112941568.0,8164554.0,2.07,288.0,12640.0,1974.0,0.15,5,0.008,0.18181818181818182,0.32020308578470713,0.0,ldap
1262582400,152170241683,409963842,784605181,68013377,206343208,413946774,157983978,762113224,39728877,0.5225097309164978,0.163429498146022,19.18285341918927,120.52301828617284,0,0,0,0,0,157984082,108,0,0,0,0,665,0,0,0,0,0,39728213,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024231502973,918358.0,1831766.0,1111352934400.0,9064119.0,1.87,261.0,4640.0,3452.0,0.08,5,0.006999999999999999,0.18181818181818182,0.3441583555322432,0.0,ldap
1320118407,158102663968,449024892,800825350,70268165,210736050,421550939,168122076,786160670,56713884,0.5607026450898439,0.15963420317644278,13.861873223142327,119.76400232710337,0,0,0,0,0,168122174,108,0,0,0,0,939,0,0,0,0,0,56712945,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002429582513,912640.0,1825280.0,1109936308224.0,9064287.0,1.87,268.0,16416.0,4869.0,0.06,5,0.008,0.18181818181818182,0.36218220900590303,0.0,ldap
1377640495,164033206982,488075016,817043633,72521846,215128616,429152621,178254950,810199476,73700508,0.5973671371844593,0.15615729704577244,10.993132856017763,119.06822395054525,0,0,0,0,0,178255052,108,0,0,0,0,1221,0,0,0,0,0,73699287,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00000252872304,913147.0,1829476.0,1111433150464.0,9064691.0,1.87,288.0,8480.0,6279.0,0.05,5,0.008,0.2727272727272727,0.3763278151519725,0.0,ldap
1435207938,169968749746,527159768,833269314,74778856,219522886,436759915,188398734,834258532,90696559,0.632640323054066,0.15295545696737917,9.198348219583501,118.42796102623005,0,0,0,0,0,188398835,108,0,0,0,0,1501,0,0,0,0,0,90695058,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023869977066,912686.0,1826047.0,1109676916736.0,10186507.0,1.78,261.0,20512.0,7716.0,0.03,5,0.006999999999999999,0.2727272727272727,0.3877034808468863,0.0,ldap
1492741935,175900807727,566218376,849486815,77036744,223915397,444360032,198534221,858304632,107683740,0.6665416884663478,0.15000275114532774,7.970605701473593,117.83738608977981,0,0,0,0,0,198534325,108,0,0,0,0,1781,0,0,0,0,0,107681959,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024741518123,912679.0,1825536.0,1111141253120.0,9163000.0,1.85,261.0,12448.0,9156.0,0.03,5,0.006999999999999999,0.2727272727272727,0.39699012044762666,0.0,ldap
1550313321,181836565601,605304686,865714474,79294161,228310442,451966440,208680474,882367204,124677532,0.6991966799436924,0.14726729036471978,7.077194983294985,117.29020394645761,0,0,0,0,0,208680571,108,0,0,0,0,2068,0,0,0,0,0,124675464,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024878437515,916224.0,1830144.0,1110859972608.0,9067755.0,1.87,294.0,4448.0,10586.0,0.03,5,0.008,0.2727272727272727,0.40466495653027285,0.0,ldap
1607817299,187765448168,644342571,881925930,81548798,232700880,459566955,218810980,906398724,141656740,0.7306084888557478,0.14473092194289172,6.398556990652192,116.78282618602427,0,0,0,0,0,218811087,108,0,0,0,0,2342,0,0,0,0,0,141654398,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002458094284,912337.0,1824909.0,1109468905472.0,9062408.0,1.87,268.0,16096.0,12031.0,0.02,5,0.008,0.2727272727272727,0.4110550201466437,0.0,ldap
1665381550,193701158924,683408523,898167317,83805710,237099673,467179557,228949200,930462947,158645660,0.7608922191498536,0.14236958071260006,5.8650387725702675,116.31037879817991,0,0,0,0,0,228949301,108,0,0,0,0,2622,0,0,0,0,0,158643038,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024377962955,912640.0,1829120.0,1111643389952.0,10180250.0,1.78,288.0,8800.0,792.0,0.36,5,0.008,0.2727272727272727,0.4164179713711173,0.0,ldap
