total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
637661052,76288676569,203117665,399531162,35012225,107550473,192203259,83459784,397774847,8264146,0.5083900439285384,0.1686640146244968,48.13260160214982,119.6382879740317,0,0,0,0,0,83459785,108,0,0,0,0,146,0,0,0,0,0,0,8264000,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022129169377,781379.0,1565045.0,813574848512.0,2106463.0,3.89,299.0,7776.0,672.0,0.45,5,0.008,0.18181818181818182,0.3164244841811104,0.0,mssql
680048917,80343887017,231427868,412061161,36559888,110915166,198293113,89718535,414454899,22821074,0.5616347520799224,0.16309880543490374,18.16106021127665,118.14427610800827,0,0,0,0,0,89718541,108,0,0,0,0,407,0,0,0,0,0,0,22820667,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000019834998777,780800.0,1561829.0,811658444800.0,7195207.0,2.01,335.0,17568.0,1926.0,0.17,5,0.009000000000000001,0.18181818181818182,0.35787877180385613,0.0,mssql
722447740,84400104290,259752495,424586732,38108513,114278324,204383488,95982221,431137502,37381586,0.6117772304764342,0.15818213231589595,11.533419208056074,116.82520356420521,0,0,0,0,0,95982225,108,0,0,0,0,671,0,0,0,0,0,0,37380915,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000019601286727,780888.0,1561857.0,813315915776.0,7669438.0,1.88,339.0,10912.0,3180.0,0.11,5,0.009000000000000001,0.2727272727272727,0.3836747757658492,0.0,mssql
764878204,88459342796,288091729,437125990,39660485,117645453,210478319,102248023,447833174,51953106,0.659058796755599,0.15380939394633344,8.619949960258392,115.65154077262737,0,0,0,0,0,102248027,108,0,0,0,0,931,0,0,0,0,0,0,51952175,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021250312634,783360.0,1564160.0,812433801216.0,7651818.0,1.9,347.0,5024.0,4385.0,0.08,5,0.009000000000000001,0.2727272727272727,0.4013023427861188,0.0,mssql
807283323,92515959212,316419962,449652589,41210772,121009123,216567292,108513457,464518249,66515153,0.7036987437428054,0.14989672095579756,6.983645501048461,114.60159844278115,0,0,0,0,0,108513460,108,0,0,0,0,1187,0,0,0,0,0,0,66513966,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000019667957933,781104.0,1562368.0,813843087360.0,7756681.0,1.87,327.0,15104.0,5622.0,0.06,5,0.008,0.2727272727272727,0.4138397765530191,0.0,mssql
849612412,96565527459,344702401,462155016,42754995,124366398,222644119,114768271,481174358,81051858,0.7458588332188523,0.146380156696675,5.936623414604512,113.65832948659889,0,0,0,0,0,114768275,108,0,0,0,0,1443,0,0,0,0,0,0,81050415,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002219251427,781481.0,1565603.0,814461288448.0,7727920.0,1.88,323.0,8608.0,6870.0,0.05,5,0.008,0.2727272727272727,0.4229598142977976,0.0,mssql
891946876,100615221600,372979941,474663559,44303376,127725171,228724654,121022494,497831849,95588818,0.785777492137331,0.14319818190607128,5.208055287387276,112.80405179646596,0,0,0,0,0,121022501,108,0,0,0,0,1702,0,0,0,0,0,0,95587116,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002082598715,785406.0,1566462.0,811569840128.0,7725259.0,1.88,332.0,1248.0,8070.0,0.04,5,0.008,0.2727272727272727,0.4296958929291542,0.0,mssql
934358240,104672654225,401315050,487193221,45849969,131089772,234814503,127289099,514519965,110153938,0.8237287234339412,0.1402992625184105,4.670917575366212,112.026254753209,0,0,0,0,0,127289107,108,0,0,0,0,1965,0,0,0,0,0,0,110151973,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00000198337562,781083.0,1562195.0,813225017344.0,7726031.0,1.88,315.0,11424.0,9317.0,0.03,5,0.008,0.2727272727272727,0.4347136025596582,0.0,mssql
976768580,108729724961,429645306,499724038,47399236,134454482,240906248,133555009,531207144,124717522,0.859765137013481,0.1376523413560252,4.259282380546336,111.31574785196305,0,0,0,0,0,133555018,108,0,0,0,0,2220,0,0,0,0,0,0,124715302,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021419911347,783281.0,1564593.0,813216956416.0,7697261.0,1.88,345.0,4832.0,10547.0,0.03,5,0.009000000000000001,0.2727272727272727,0.43844495813414563,0.0,mssql
1019175930,112786497448,457975156,512250793,48949981,137818357,246994231,139820900,547893672,139279952,0.8940447965299685,0.1352252863742573,3.9337583344371057,110.66440457242746,0,0,0,0,0,139820906,108,0,0,0,0,2480,0,0,0,0,0,0,139277472,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021332449465,781312.0,1562624.0,813038764032.0,7666706.0,1.88,324.0,15616.0,11774.0,0.03,5,0.008,0.2727272727272727,0.4412072857840509,0.0,mssql
