total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
746062070,92275059174,191423041,513818454,40820575,134572814,275255123,73394367,462803121,12066266,0.372549953217523,0.180377503978992,38.355123366251,123.68281793765497,0,0,0,0,0,73394399,108,0,0,0,0,209,0,0,6032452,6033605,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023184501563,819712.0,1641984.0,895791267840.0,4365922.0,2.76,267.0,6848.0,1067.0,0.25,5,0.008,0.18181818181818182,0.29177188439999435,0.0,netbios
802196802,98860897984,216588520,542507540,43100742,142086484,290625630,77492216,488645031,27216151,0.39923596269279504,0.17712172829130776,17.954229861525974,123.2377114163564,0,0,0,0,0,77492240,108,0,0,0,0,471,0,0,13607115,13608565,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021676962167,819847.0,1639938.0,895450808320.0,7856632.0,1.92,329.0,16480.0,2357.0,0.14,5,0.009000000000000001,0.18181818181818182,0.3128353686716768,0.0,netbios
858463566,105462008608,241817357,571261854,45384355,149617368,306029935,81599802,514545049,42406362,0.42330387598398966,0.17428505288481863,12.133675814963802,122.84971987733722,0,0,0,0,0,81599830,108,0,0,0,0,721,0,0,21201332,21204309,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002245731106,819067.0,1640996.0,895099928576.0,8084607.0,1.88,285.0,9536.0,3642.0,0.08,5,0.008,0.18181818181818182,0.3280961725851849,0.0,netbios
914576772,112045041948,266974643,599937073,47665056,157127347,321393475,85697008,540375865,57550810,0.44500440965414384,0.17180334315335094,9.389544039432286,122.51026417714444,0,0,0,0,0,85697041,108,0,0,0,0,981,0,0,28773104,28776725,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001972923948,821504.0,1640960.0,893091512320.0,8133348.0,1.85,288.0,1312.0,4923.0,0.06,5,0.008,0.18181818181818182,0.3398605121184609,0.0,netbios
970827250,118644192623,292196074,628681139,49950037,164655419,336793424,89801808,566266343,72739546,0.4647762687214957,0.1696032110759149,7.784848464685221,122.20937620261483,0,0,0,0,0,89801850,108,0,0,0,0,1236,0,0,36367104,36371206,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022957060035,819982.0,1639694.0,896148766720.0,8079478.0,1.88,281.0,12128.0,6217.0,0.05,5,0.008,0.18181818181818182,0.34932513978092716,0.0,netbios
1026940270,125226785826,317358055,657353830,52228385,172165216,352151920,93900428,592095008,87887834,0.48278117585471436,0.16764871436972667,6.7369393584099475,121.9416449858374,0,0,0,0,0,93900459,108,0,0,0,0,1499,0,0,43940030,43946305,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002276885281,822272.0,1641967.0,894763073536.0,9119408.0,1.77,300.0,4096.0,7489.0,0.04,5,0.008,0.18181818181818182,0.357083815999711,0.0,netbios
1083174152,131823903959,342574451,686090035,54509666,179691238,367547521,98003192,617974749,103077338,0.499314133020457,0.1658932108638427,5.995253282540145,121.70148605891032,0,0,0,0,0,98003227,108,0,0,0,0,1751,0,0,51534051,51541536,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000024931686347,819783.0,1639294.0,897929838592.0,8165679.0,1.86,284.0,14752.0,247.0,1.15,5,0.008,0.18181818181818182,0.3635983343655212,0.0,netbios
1138934130,137926133817,378833432,703332375,56768323,184340539,375784010,107654708,642182541,118229466,0.5386264666118917,0.16185355600854634,5.431662365792974,121.10106298860322,0,0,0,0,0,107654746,108,0,0,0,0,2011,0,0,59109314,59118141,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002289244055,819827.0,1642355.0,896006553600.0,8134025.0,1.85,311.0,6944.0,1554.0,0.2,5,0.008,0.18181818181818182,0.37034568136645074,0.0,netbios
1194800033,144000379973,416163920,719603801,59032312,188747495,383410433,117821643,666302633,133422298,0.578323682311956,0.15797412938303795,4.993937617533764,120.52257783374199,0,0,0,0,0,117821683,108,0,0,0,0,2275,0,0,66705049,66714974,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000022781785254,819767.0,1640192.0,895089049600.0,8080364.0,1.88,288.0,17472.0,2862.0,0.1,5,0.008,0.2727272727272727,0.3763974614004382,0.0,netbios
1250527653,150059585469,453401376,735837803,61288474,193144312,391019516,127966624,690367138,148570330,0.6161702676207843,0.15445025268865445,4.646736249424768,119.99701494725763,0,0,0,0,0,127966664,108,0,0,0,0,2534,0,0,74279046,74288750,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023195118453,819827.0,1641984.0,895587909632.0,8131967.0,1.85,277.0,9664.0,4135.0,0.07,5,0.006999999999999999,0.2727272727272727,0.38174514353194344,0.0,netbios
1306406615,156135466629,490744820,752112799,63548996,197551947,398649823,138139856,714495368,163761626,0.6524883244275171,0.15121780977816007,4.363020723792764,119.51521435690219,0,0,0,0,0,138139898,108,0,0,0,0,2801,0,0,81873865,81884960,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000021563971693,822528.0,1642240.0,894173904896.0,8077092.0,1.88,292.0,2176.0,5430.0,0.05,5,0.008,0.2727272727272727,0.3865257259898629,0.0,netbios
1362120898,162193519052,527977953,768337728,65805217,201946097,406256037,148281443,738551865,178910170,0.6871691103524725,0.14825857036370058,4.128059712871549,119.07424611879055,0,0,0,0,0,148281483,108,0,0,0,0,3063,0,0,89448085,89459022,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002188705255,819968.0,1639680.0,895953600512.0,8129198.0,1.85,280.0,12160.0,6724.0,0.04,5,0.006999999999999999,0.2727272727272727,0.39079880773625436,0.0,netbios
1418002337,168269155242,565324325,784609963,68068049,206353188,413883750,158456667,762680263,194101978,0.7205163733053438,0.14552387017680918,3.929276099391424,118.66634549982409,0,0,0,0,0,158456699,108,0,0,0,0,3317,0,0,97043221,97055440,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000023648802414,822784.0,1642752.0,895413649408.0,8076344.0,1.88,280.0,5248.0,8027.0,0.03,5,0.006999999999999999,0.2727272727272727,0.39465637372119056,0.0,netbios
