total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
1285810114,153060723086,469815382,745244447,70750285,198117037,377240618,199805004,786919232,13756676,0.6304178231602442,0.15407954474994898,57.202716121249054,119.03835676781743,13756676,0,0,0,0,199805004,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0688505078681613,0.0,2.000002109866205,747264.0,1497088.0,744670429184.0,6155232.0,2.22,261.0,7904.0,1203.0,0.22,5,0.008,0.18181818181818182,0.3084561250975431,0.0,ntp
1325675458,157521499111,488767839,764713850,72193769,203416842,386165755,201750916,803989017,27664644,0.6391512838429695,0.15344392232084303,29.06196866296201,118.82357643449714,27664644,0,0,0,0,201750918,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.13712276640049786,0.0,2.0000021433843087,749568.0,1497088.0,743199277056.0,7341284.0,1.88,261.0,1216.0,2377.0,0.11,5,0.008,0.18181818181818182,0.332958515646184,0.0,ntp
1365543326,161982530610,507722439,784182421,73638466,208716790,395087803,203696692,821060983,41573636,0.6474545021712492,0.15284523458613425,19.749559143684234,118.62130444772134,41573636,0,0,0,0,203696689,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.20409578675085877,0.0,2.0000021464515663,747606.0,1494961.0,744638971904.0,7355002.0,1.88,261.0,11552.0,972.0,0.27,5,0.008,0.18181818181818182,0.35120225233538854,0.0,ntp
1405407940,166443135079,526674924,803650129,75082887,214016292,404010970,205642898,838130482,55481348,0.6553534989851286,0.15228054852173384,15.106527007959503,118.43047868293671,55481348,0,0,0,0,205642899,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.26979462101436336,0.0,2.000002168061593,749613.0,1497087.0,744028831744.0,8267740.0,1.79,254.0,4544.0,2143.0,0.12,5,0.008,0.18181818181818182,0.3655340658252142,0.0,ntp
1445271746,170903374700,545625510,823118984,76527252,219316270,412933348,207589601,855200030,69387780,0.6628756238235419,0.15174742785015324,12.324937186346068,118.24999358978681,69387780,0,0,0,0,207589607,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.33425459493258736,0.0,2.0000021339068885,747407.0,1494698.0,744066842624.0,7433725.0,1.86,261.0,15040.0,3353.0,0.08,5,0.008,0.18181818181818182,0.37712483526101936,0.0,ntp
1485129137,175363095679,564578285,842582834,77968018,224614868,421853761,209537144,872266933,83292896,0.670056713972884,0.15124265116347252,10.472284851279513,118.07935842753585,83292897,0,0,0,0,209537146,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.39750897914778316,0.0,2.0000021548017983,747264.0,1496973.0,744505802752.0,7352813.0,1.88,247.0,7968.0,4533.0,0.05,5,0.008,0.2727272727272727,0.3866790516936601,0.0,ntp
1525012313,179825382187,583538213,862058901,79415199,229916701,430780407,211485355,889344143,97205508,0.6769122299219784,0.1507638325540523,9.14911265110615,117.91733132517993,97205508,0,0,0,0,211485356,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.45963233501614176,0.0,2.0000022007994835,749824.0,1497856.0,743716159488.0,7354427.0,1.88,290.0,1248.0,5765.0,0.05,5,0.009000000000000001,0.2727272727272727,0.39466850243117946,0.0,ntp
1564895733,184288038546,602500124,881536530,80859079,235218848,439708489,213432896,906421436,111119857,0.6834658615905571,0.15030959765547525,8.157150850185129,117.76378110042428,111119857,0,0,0,0,213432898,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5206313461573295,0.0,2.0000020576603537,747776.0,1495975.0,745898704896.0,7356254.0,1.88,312.0,11616.0,6875.0,0.05,5,0.01,0.2727272727272727,0.4014179424875351,0.0,ntp
1604712162,188743168395,621430158,900981337,82300667,240512145,448620980,215377135,923470633,125010436,0.6897258938450131,0.14987868272914603,7.387148325760579,117.61808308336359,125010436,0,0,0,0,215377135,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5804257541080208,0.0,2.0000021703709243,750080.0,1498121.0,745142419456.0,7358304.0,1.88,283.0,4576.0,8058.0,0.04,5,0.009000000000000001,0.2727272727272727,0.40715917535613566,0.0,ntp
1644592359,193205461202,640394051,920453037,83745271,245812805,457545600,217325676,940547000,138923268,0.6957378869509885,0.14946731550514275,6.770262559616723,117.47924046021912,138923268,0,0,0,0,217325674,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6392400191060721,0.0,2.000002042206518,748032.0,1496320.0,745004728320.0,7381671.0,1.88,261.0,14656.0,9275.0,0.03,5,0.008,0.2727272727272727,0.41209396623287176,0.0,ntp
