total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
624547485,75192609921,193162494,396722908,34662084,106797122,190832503,82049114,394026100,1410004,0.4868952362085428,0.17099920272675503,279.4503419848454,120.39534499286312,0,0,0,0,0,82049110,108,0,0,0,0,20,1409984,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001910165658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.2834252874923239,0.0,portmap
664613381,79377849529,219148402,409254642,36210338,110162171,196924131,88314773,410713593,13629457,0.5354817746942012,0.16575376624865157,30.134259420606412,119.43462439706732,0,0,0,0,0,88314783,108,0,0,0,0,202,13629255,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000017973518145,661075.0,1320401.0,578642051072.0,5640836.0,2.16,270.0,2688.0,1198.0,0.23,5,0.009000000000000001,0.18181818181818182,0.33393764843158874,0.0,portmap
704641462,83559475957,245111414,421773105,37756943,113523666,203008974,94573879,427385730,25838292,0.5811451965387883,0.16110841062032197,16.540788764210884,118.5843871858338,0,0,0,0,0,94573884,108,0,0,0,0,383,25837909,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001796983752,659200.0,1318656.0,580740841472.0,6542922.0,1.85,259.0,10560.0,2231.0,0.12,5,0.009000000000000001,0.18181818181818182,0.36321060506856956,0.0,portmap
744705055,87744621847,271096468,434305316,39303271,116888841,209101005,100839226,444072313,38057428,0.6242071142412634,0.15695991347876645,11.668479357039052,117.82466260686253,0,0,0,0,0,100839231,108,0,0,0,0,559,38056869,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000019334627375,659200.0,1320192.0,578784329728.0,8063476.0,1.73,237.0,4864.0,3274.0,0.07,5,0.008,0.2727272727272727,0.38338204554832683,0.0,portmap
784719608,91924486533,297054738,446813690,40851180,120247657,215180881,107099131,460737853,50261204,0.6648290879359583,0.15323646277486672,9.16686860505769,117.14309875254195,0,0,0,0,0,107099137,108,0,0,0,0,746,50260458,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00000181292678,659200.0,1318144.0,578742910976.0,8262024.0,1.68,225.0,13056.0,4306.0,0.05,5,0.008,0.2727272727272727,0.3980536872366293,0.0,portmap
824786574,96109688990,323040261,459345946,42400367,123612736,221273636,113365085,477425324,62480537,0.7032613737272431,0.14987239110902403,7.6411847100481864,116.52673797039766,0,0,0,0,0,113365091,108,0,0,0,0,932,62479605,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001747394287,659200.0,1320448.0,579580067840.0,6595304.0,1.84,240.0,7328.0,5375.0,0.04,5,0.008,0.2727272727272727,0.40908478239696633,0.0,portmap
864845513,100294078617,349024105,471873376,43948032,126976932,227360872,119631246,494110406,74697428,0.7396562780435402,0.14682036281779265,6.614824890624079,115.96762324533213,0,0,0,0,0,119631249,108,0,0,0,0,1116,74696312,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001795603352,660736.0,1319680.0,578073657344.0,6501445.0,1.88,255.0,1088.0,6426.0,0.04,5,0.009000000000000001,0.2727272727272727,0.41753295748214386,0.0,portmap
904863945,104474513026,374988004,484380173,45495768,130335131,233441477,125892475,510776828,86902996,0.7741605146171001,0.14403837363638133,5.877551425269619,115.45880859027928,0,0,0,0,0,125892485,108,0,0,0,0,1296,86901700,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000018567536073,658688.0,1318144.0,579541794816.0,6539523.0,1.85,243.0,9248.0,7423.0,0.03,5,0.008,0.2727272727272727,0.4240857747943735,0.0,portmap
944917853,108658525643,400969296,496905199,47043358,133698436,239529401,132157480,527459333,99118804,0.8069331872697915,0.14149212608855216,5.321486052232833,114.99256289636428,0,0,0,0,0,132157486,108,0,0,0,0,1474,99117330,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000018250043152,661504.0,1320704.0,578823782400.0,6474318.0,1.88,243.0,3520.0,8463.0,0.03,5,0.008,0.2727272727272727,0.4292249113316346,0.0,portmap
984940564,112839365649,426928786,509420108,48591671,137058862,245613503,138416343,544128589,111325396,0.8380681863465036,0.13915444952676354,4.887730998953733,114.56464458194453,0,0,0,0,0,138416354,108,0,0,0,0,1654,111323742,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001896996975,659403.0,1318656.0,579490480128.0,6514268.0,1.86,254.0,11136.0,9492.0,0.03,5,0.008,0.2727272727272727,0.4332733380427132,0.0,portmap
