total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
531613427,64447101214,164153669,338493004,28966754,91133720,162732943,65098192,330523724,10848413,0.48495439214454195,0.1714285519729734,30.467472431221047,121.22925784190173,0,0,0,0,0,65098179,108,0,0,0,10848413,193,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020629048603,595490.0,1190912.0,472538021888.0,4824168.0,2.24,207.0,11232.0,958.0,0.22,5,0.008,0.18181818181818182,0.3324279851761352,0.0,ssdp
569108467,69147604154,182981589,355690956,30435922,95764115,170999974,68405159,347315729,21887901,0.5144398133080449,0.1682704098654712,15.867932196878996,121.50162607578987,0,0,0,0,0,68405146,108,0,0,0,21887901,382,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002109351849,595712.0,1193216.0,472995790848.0,5864488.0,1.88,236.0,5888.0,1914.0,0.12,5,0.009000000000000001,0.18181818181818182,0.3635639808973566,0.0,ssdp
606563649,73843145994,201791455,372866920,31905274,100388436,179257558,71709196,364089038,32915869,0.54118894483855,0.16550354800440736,11.061200845099973,121.74014403227122,0,0,0,0,0,71709186,108,0,0,0,32915869,568,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001992263324,595200.0,1190400.0,471784357888.0,5913956.0,1.85,210.0,12800.0,2839.0,0.07,5,0.008,0.2727272727272727,0.3839523813310559,0.0,ssdp
644993215,78527628538,224785298,386777262,33430661,104127386,185991575,77082279,380786135,43949499,0.5811750588378694,0.16143950599542353,8.6641746473606,121.74954202890336,0,0,0,0,0,77082262,108,0,0,0,43949500,762,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000001997555261,595200.0,1190660.0,472726634496.0,5853490.0,1.88,246.0,7840.0,3775.0,0.07,5,0.01,0.2727272727272727,0.39878657715311466,0.0,ssdp
683918835,83217380105,249620884,399318733,34979218,107494865,192089281,83352326,397484948,55009181,0.6251168887686519,0.15717488611057187,7.225792872647931,121.67727491376955,0,0,0,0,0,83352310,108,0,0,0,55009181,957,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002102428219,597248.0,1192704.0,472012193792.0,5898050.0,1.87,217.0,2496.0,254.0,0.85,5,0.008,0.2727272727272727,0.40993564883526173,0.0,ssdp
722727600,87893237059,274384265,411817905,36525433,110851070,198165687,89602870,414134252,66036314,0.6662757050352145,0.15337876953917354,6.2713108426978526,121.61322891086489,0,0,0,0,0,89602862,108,0,0,0,66036317,1140,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020207312956,595711.0,1191168.0,472990613504.0,5913127.0,1.85,241.0,9728.0,1195.0,0.2,5,0.009000000000000001,0.2727272727272727,0.4183441074541118,0.0,ssdp
761589897,92574899515,299179991,424336390,38073522,114212477,204251521,95864147,430805646,77076893,0.705053815912418,0.14996585097819384,5.58929698943625,121.55478936848344,0,0,0,0,0,95864132,108,0,0,0,77076893,1335,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002048815032,595968.0,1195008.0,473566904320.0,5854296.0,1.88,212.0,4352.0,2171.0,0.1,5,0.008,0.2727272727272727,0.42481212599161106,0.0,ssdp
800511987,97264653180,324016627,436874886,39620474,117579126,210348006,102133398,447503392,88136605,0.7416691537631669,0.14687990674648074,5.077384044915276,121.50305649326897,0,0,0,0,0,102133384,108,0,0,0,88136605,1526,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002109220148,595712.0,1191424.0,472531632128.0,5898632.0,1.87,219.0,12064.0,3109.0,0.07,5,0.008,0.2727272727272727,0.4298431138124947,0.0,ssdp
839336435,101942024736,348785861,449381832,41168742,120937436,216428251,108386723,464158599,99167133,0.7761458878916138,0.14408696079063935,4.680568903812113,121.45549803994867,0,0,0,0,0,108386710,108,0,0,0,99167133,1714,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020506491825,595456.0,1192960.0,472838504448.0,5914748.0,1.85,222.0,6624.0,4036.0,0.06,5,0.008,0.2727272727272727,0.4337694216607625,0.0,ssdp
878191071,106623319294,373575966,461899834,42715271,124298729,222513692,114644222,480827922,110206877,0.8087813385098553,0.14153950444800184,4.362957513077881,121.41243838039433,0,0,0,0,0,114644211,108,0,0,0,110206877,1901,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00000207564687,597504.0,1192960.0,471774560256.0,5854094.0,1.88,215.0,928.0,4967.0,0.04,5,0.008,0.2727272727272727,0.43685951334636197,0.0,ssdp
917112307,111312405725,398408140,474440691,44263476,127666411,228608178,120913232,497526243,121265053,0.8397427698713136,0.13920477353271413,4.102799864359932,121.37270961843062,0,0,0,0,0,120913209,108,0,0,0,121265053,2100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000018329035227,595708.0,1191168.0,472886280192.0,5896422.0,1.87,215.0,9280.0,5890.0,0.04,5,0.008,0.2727272727272727,0.439298629898402,0.0,ssdp
955928719,115989239045,423168684,486949433,45810602,131025191,234689302,127162338,514178909,132294293,0.869019769451092,0.13706585898691886,3.886629554005024,121.33670297753655,0,0,0,0,0,127162328,108,0,0,0,132294293,2287,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002060674563,597338.0,1192960.0,472325619712.0,5912412.0,1.85,218.0,3072.0,6825.0,0.03,5,0.008,0.2727272727272727,0.44121421680973516,0.0,ssdp
994766579,120668375401,447951941,499458847,47355791,134384335,240769448,133419284,530841016,143328925,0.8968745747334815,0.13509132477600055,3.7036558810442486,121.30320614741923,0,0,0,0,0,133419263,108,0,0,0,143328925,2467,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002396115483,595712.0,1191424.0,472739512320.0,5850028.0,1.88,218.0,11232.0,7802.0,0.03,5,0.008,0.2727272727272727,0.4427202767110221,0.0,ssdp
1033593075,125345973897,472725474,511963093,48904508,137741823,246849037,139674073,547496742,154359965,0.9233585007659917,0.1332650404996183,3.54688304056042,121.27207208407428,0,0,0,0,0,139674044,108,0,0,0,154359965,2667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020763504556,595491.0,1192995.0,472734564352.0,5888358.0,1.86,243.0,4960.0,8732.0,0.03,5,0.009000000000000001,0.2727272727272727,0.4438950763003056,0.0,ssdp
1072429064,130025205481,497507875,524472513,50448676,141100714,252931045,145929883,564157679,165394874,0.9485871283401272,0.13157113951548036,3.4109743872715184,121.24364197667809,0,0,0,0,0,145929867,108,0,0,0,165394877,2855,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002154491773,595456.0,1190912.0,472197922816.0,5827776.0,1.88,205.0,12928.0,9692.0,0.02,5,0.008,0.2727272727272727,0.44480298452554096,0.0,ssdp
1111356685,134715282974,522345643,537009769,52001273,144467057,259026694,152199788,580856962,176455578,0.9726929995569596,0.12999162100689574,3.291802778827428,121.21696372753631,0,0,0,0,0,152199777,108,0,0,0,176455578,3045,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000020627561295,595456.0,1191168.0,472974065664.0,5873484.0,1.88,205.0,7552.0,10636.0,0.02,5,0.008,0.2727272727272727,0.4454947215397033,0.0,ssdp
1150281512,139404744994,547179453,549550350,53551709,147834549,265122124,158469385,597556121,187514525,0.9956857510872298,0.12852032085863865,3.1867191141592897,121.19185046416708,0,0,0,0,0,158469376,108,0,0,0,187514525,3237,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000002123998318,597337.0,1192793.0,472140152832.0,5896131.0,1.87,228.0,2432.0,11532.0,0.02,5,0.008,0.2727272727272727,0.4460078997680135,0.0,ssdp
