total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
152745393,18866593627,36994883,107329526,8420984,29111731,56997340,15139699,95452028,1357086,0.3446850496665754,0.19058991193272848,70.33601997220515,123.51661321137195,0,0,0,0,0,15139711,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0977923111656014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.26679795139716805,0.0,syn
199196659,23156395085,51157813,138068424,9970422,50928078,65968363,21601356,112139594,19888801,0.3705250738575824,0.2556673302437266,5.638328524680799,116.24891301515252,0,0,0,0,0,21601351,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.2815250769074047,995584.0,1994381.0,1321310748672.0,8520034.0,2.17,291.0,11584.0,1732.0,0.17,5,0.008,0.18181818181818182,0.28560340936259543,0.0,syn
245963998,27441321302,66532201,167887817,11543980,72514568,74347545,28661245,128885426,38417438,0.39628963071215584,0.29481781313377414,3.3548678076867073,111.56641429287549,0,0,0,0,0,28661246,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.253413573159677,998144.0,1993728.0,1318744752128.0,9890045.0,1.87,285.0,2848.0,3307.0,0.09,5,0.006999999999999999,0.18181818181818182,0.28903234410900014,0.0,syn
292730289,31725905063,81902108,197711903,13116278,94101072,82730389,35720011,145631500,56944414,0.41424975814430354,0.3214599771054098,2.557432586802983,108.37930427828054,0,0,0,0,0,35720013,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.065101257810179,995840.0,1991936.0,1321915777024.0,9887595.0,1.87,298.0,15904.0,4931.0,0.06,5,0.008,0.18181818181818182,0.2882020593565037,0.0,syn
337714609,36038502801,88358015,234768734,14587860,117766067,93612450,38359892,163025113,75472670,0.37636193497554915,0.3487147545932785,2.160054931142624,106.71289260394418,0,0,0,0,0,38359886,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.569007375102552,995840.0,1994304.0,1321117941760.0,9888131.0,1.87,291.0,7072.0,6509.0,0.04,5,0.008,0.18181818181818182,0.2863362790652744,0.0,syn
382413689,40353842133,93444184,272924797,16044708,141742063,104877481,40322966,180511946,93994526,0.342380703501998,0.3706511222719331,1.9204516867290762,105.52405233851344,0,0,0,0,0,40322966,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.937150185932216,995312.0,1990912.0,1319608254464.0,9887024.0,1.87,298.0,20768.0,8077.0,0.04,5,0.008,0.18181818181818182,0.28438820360483785,0.0,syn
427145268,44672759133,98534840,311110878,17499550,165737324,116152265,42286326,198011666,112531742,0.3167193658847249,0.3880116120120521,1.7596072226447894,104.5844645363132,0,0,0,0,0,42286330,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.230075821404817,995980.0,2001165.0,1328326508544.0,9890651.0,1.87,284.0,11424.0,191.0,1.49,5,0.006999999999999999,0.18181818181818182,0.2825792987800685,0.0,syn
471866436,48990384582,103623308,349287057,18956071,189725623,127424912,44249892,215506589,131063326,0.29667090698983445,0.40207484263619037,1.6442936065883145,103.82256682058225,0,0,0,0,0,44249894,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.468404390256741,998656.0,1994752.0,1319639711744.0,11109543.0,1.78,278.0,2624.0,1783.0,0.16,5,0.006999999999999999,0.18181818181818182,0.28096598645623044,0.0,syn
516571488,53306343815,108715434,387441403,20414651,213702913,138690290,46215191,232994256,149587965,0.28059839025515815,0.41369475080281626,1.5575735387536023,103.1925784781215,0,0,0,0,0,46215191,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.666246993094118,996096.0,1992448.0,1322358538240.0,9994640.0,1.85,285.0,15712.0,3353.0,0.08,5,0.006999999999999999,0.18181818181818182,0.2795438520193069,0.0,syn
561294774,57624212546,113808875,425618928,21866971,237692632,149960686,48180597,250491100,168120611,0.26739617886542866,0.42347202042540305,1.489948784447375,102.66301276127685,0,0,0,0,0,48180594,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.832999113522401,996696.0,1996552.0,1321870688256.0,11078127.0,1.79,297.0,7136.0,4914.0,0.06,5,0.008,0.18181818181818182,0.2782918093377579,0.0,syn
