total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
504496147,60407281057,155546766,321443352,27506029,86543770,154533324,61819587,313875434,9963165,0.4839010202954827,0.17154495730965413,31.50358686220694,119.73784421588456,0,0,0,0,0,61819606,108,0,0,0,0,145,0,0,0,0,0,0,0,0,9963020,0,0.0,0.0,0.0,0.0,0.0,2.0000021723135495,555520.0,1111296.0,411645542400.0,4386950.0,2.26,183.0,8032.0,875.0,0.21,5,0.008,0.18181818181818182,0.33107063345590176,0.0,tftp
541295919,64237745794,173677647,338641470,28976802,91174148,162801021,65126157,330669130,20305053,0.5128658548523309,0.16843679178006143,16.285066086751904,118.67398873554042,0,0,0,0,0,65126179,108,0,0,0,0,301,0,0,0,0,0,0,0,0,20304752,0,0.0,0.0,0.0,0.0,0.0,2.000002412967604,557568.0,1113177.0,411291582464.0,5488340.0,1.88,190.0,3072.0,1774.0,0.11,5,0.009000000000000001,0.18181818181818182,0.36216930870011027,0.0,tftp
578084711,68066561727,191801247,355833554,30449910,95802911,171065638,68433284,347456737,30642333,0.5390195636244017,0.1657246925528878,11.339108448433088,117.74496095780675,0,0,0,0,0,68433298,108,0,0,0,0,464,0,0,0,0,0,0,0,0,30641869,0,0.0,0.0,0.0,0.0,0.0,2.0000024425174905,555776.0,1111296.0,411449786368.0,5516832.0,1.87,190.0,10816.0,2721.0,0.07,5,0.009000000000000001,0.2727272727272727,0.38250580091877723,0.0,tftp
614886419,71897029822,209932239,373033909,31920271,100433888,179334287,71740665,364251061,40984221,0.5627698553270126,0.16333730083571743,8.887592642056074,116.9273342204034,0,0,0,0,0,71740687,108,0,0,0,0,619,0,0,0,0,0,0,0,0,40983602,0,0.0,0.0,0.0,0.0,0.0,2.0000023498072412,555776.0,1113088.0,411655995392.0,5518340.0,1.87,196.0,5600.0,3629.0,0.05,5,0.009000000000000001,0.2727272727272727,0.39682800726081935,0.0,tftp
652653331,75713685503,232301585,386905993,33445753,104162162,186052654,77146194,380956609,51325853,0.6004083400176229,0.15959799337942857,7.422314228270108,116.00903865301808,0,0,0,0,0,77146218,108,0,0,0,0,779,0,0,0,0,0,0,0,0,51325074,0,0.0,0.0,0.0,0.0,0.0,2.000002380905796,555776.0,1111552.0,411194589184.0,5517920.0,1.87,203.0,12832.0,4497.0,0.05,5,0.009000000000000001,0.2727272727272727,0.4078072138280399,0.0,tftp
690821135,79525682356,256404896,399423087,34993152,107523148,192138028,83407429,397630651,61670045,0.6419380960820624,0.15564542332654602,6.447711380784626,115.11761630743969,0,0,0,0,0,83407443,108,0,0,0,0,936,0,0,0,0,0,0,0,0,61669109,0,0.0,0.0,0.0,0.0,0.0,2.00000215767725,555892.0,1111806.0,411903852544.0,5518830.0,1.87,176.0,7872.0,339.0,0.52,5,0.008,0.2727272727272727,0.41631548187573914,0.0,tftp
728994835,83337764588,280507397,411945394,36542044,110885582,198225693,89669806,414306830,72014493,0.6809334467276505,0.15210750018551228,5.7531034759905895,114.31873119924094,0,0,0,0,0,89669822,108,0,0,0,0,1098,0,0,0,0,0,0,0,0,72013395,0,0.0,0.0,0.0,0.0,0.0,2.0000024169086643,557613.0,1113555.0,411671134208.0,5519804.0,1.87,170.0,2912.0,1223.0,0.14,5,0.008,0.2727272727272727,0.422892976674267,0.0,tftp
767163667,87149814267,304608837,424468089,38086741,114248101,204313606,95930416,430982087,82358685,0.7176248224398325,0.14892272133633253,5.232988931282717,113.60002828053639,0,0,0,0,0,95930420,108,0,0,0,0,1248,0,0,0,0,0,0,0,0,82357437,0,0.0,0.0,0.0,0.0,0.0,2.0000024333037993,555777.0,1111808.0,412453863424.0,5519500.0,1.87,163.0,10400.0,2120.0,0.08,5,0.008,0.2727272727272727,0.4280390718128062,0.0,tftp
805338882,90962372272,328711727,436990196,39636959,117610440,210401627,102191888,447658875,92704157,0.7522176241226245,0.1460384474519883,4.828897532610108,112.94918736085563,0,0,0,0,0,102191913,108,0,0,0,0,1406,0,0,0,0,0,0,0,0,92702751,0,0.0,0.0,0.0,0.0,0.0,2.000002516786541,556032.0,1114112.0,412180185088.0,5520877.0,1.87,183.0,5408.0,2997.0,0.06,5,0.008,0.2727272727272727,0.43210139519951196,0.0,tftp
843528030,94776294425,352824968,449517474,41185588,120974073,216492593,108456197,464341637,103053725,0.7848971139217604,0.1434144079361536,4.505820988033184,112.35701844430706,0,0,0,0,0,108456217,108,0,0,0,0,1567,0,0,0,0,0,0,0,0,103052158,0,0.0,0.0,0.0,0.0,0.0,2.000002331080716,555776.0,1111808.0,411347288064.0,6202514.0,1.78,216.0,12608.0,3914.0,0.06,5,0.01,0.2727272727272727,0.43532863266858,0.0,tftp
