total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
874838481,111437274657,184313510,642276140,48248831,167799223,347202307,69239204,551353676,7341517,0.2869692621619106,0.1918059466339364,75.10078312152652,127.38039887045161,14,0,0,0,0,69239077,108,0,0,0,0,111,93,0,122,101,0,108,121,0,0,0,0.0,0.0,0.0,2.0219795824256872e-07,0.0,2.000002848646569,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.26322870443828145,0.0,udp
941668370,124882511566,228768082,662413460,50486828,173169449,357269216,77295717,575742139,33895828,0.3453554249939305,0.18389642735902875,16.985634308741478,132.61835646661893,77,0,0,0,0,77295560,108,0,0,0,0,544,513,0,568,503,0,515,522,0,0,0,0.0,0.0,0.0,9.961762357372145e-07,0.0,2.0000028527012557,1427952.0,2855288.0,2713497632768.0,12523505.0,2.11,409.0,20864.0,2937.0,0.14,5,0.006999999999999999,0.18181818181818182,0.2634416894416727,0.0,udp
1008487152,138326102807,273212699,682549862,52724591,178539006,367338628,85349112,600125535,60446594,0.4002824031044929,0.17703647056477326,9.928194382631386,137.16198816482296,134,0,0,0,0,85348950,108,0,0,0,0,935,919,0,1027,928,0,937,904,0,0,0,0.0,0.0,0.0,1.570025173127496e-06,0.0,2.000002778108269,1431246.0,2859476.0,2714214596608.0,15805533.0,1.79,410.0,8320.0,5209.0,0.08,5,0.006999999999999999,0.18181818181818182,0.26363996628652603,0.0,udp
1075328798,151773157416,317671758,702689201,54967839,183909818,377405909,93406315,624517988,87004898,0.4520800341714658,0.1710265905107844,7.177963567062627,141.14116324075235,190,0,0,0,0,93406090,108,0,0,0,0,1345,1307,0,1480,1327,0,1340,1307,0,0,0,0.0,0.0,0.0,2.034128609815484e-06,0.0,2.000003001475584,1427944.0,2856860.0,2714804944896.0,14215385.0,1.86,409.0,26912.0,962.0,0.43,5,0.006999999999999999,0.18181818181818182,0.2638267993984362,0.0,udp
1142060708,165199183534,362058449,722798528,57203731,189272441,387459624,101448829,648870752,113520960,0.5009119899591162,0.16572887909913103,5.715867378147612,144.65008941888928,252,0,0,0,0,101448606,108,0,0,0,0,1777,1735,0,1923,1725,0,1752,1710,0,0,0,0.0,0.0,0.0,2.484016389540138e-06,0.0,2.0000029904028462,1428192.0,2860742.0,2717785260032.0,14068308.0,1.88,429.0,14656.0,3197.0,0.13,5,0.008,0.18181818181818182,0.2640026046186824,0.0,udp
1208884751,178644375390,406510683,742932411,59441657,194641591,397525876,109503389,673252824,140078532,0.5471704787422446,0.16100922014194552,4.806252709729996,147.77618399291066,308,0,0,0,0,109503147,108,0,0,0,0,2171,2141,0,2387,2150,0,2170,2089,0,0,0,0.0,0.0,0.0,2.81270455176964e-06,0.0,2.0000027229571997,1431306.0,2858562.0,2709439119360.0,14111262.0,1.87,396.0,1920.0,5459.0,0.07,5,0.006999999999999999,0.18181818181818182,0.2641684215910324,0.0,udp
1275718962,192088592159,450959457,763076709,61682796,200013269,407599193,117561099,697645494,166626882,0.5909752606536441,0.1567847425317176,4.186872403937799,150.57281257139454,365,0,0,0,0,117560843,108,0,0,0,0,2583,2527,0,2839,2545,0,2573,2494,0,0,0,0.0,0.0,0.0,3.104775286444654e-06,0.0,2.000003029803578,1427466.0,2855526.0,2713822953472.0,14111500.0,1.87,377.0,21184.0,7699.0,0.05,5,0.006999999999999999,0.18181818181818182,0.2643247178952978,0.0,udp
1342559606,205535665715,495419445,783217579,63922582,205384066,417670594,125618607,722039643,193182245,0.6325438272625901,0.15297947672648807,3.7376087176127393,153.09239515061054,426,0,0,0,0,125618299,108,0,0,0,0,3014,2954,0,3283,2944,0,2986,2897,0,0,0,0.0,0.0,0.0,3.3912256684832198e-06,0.0,2.0000028629331044,1434096.0,2861798.0,2714942570496.0,14112569.0,1.87,423.0,8512.0,9941.0,0.04,5,0.008,0.18181818181818182,0.2644731006169825,0.0,udp
1409377772,218978038529,539862930,803352115,66162727,210753182,427738665,133673889,746421866,219731271,0.6720128321315243,0.14953633169687877,3.3969760544460694,155.37213859862123,484,0,0,0,0,133673540,108,0,0,0,0,3405,3363,0,3745,3371,0,3409,3275,0,0,0,0.0,0.0,0.0,3.6207614461321217e-06,0.0,2.0000027710177544,1427056.0,2854184.0,2712313004032.0,14112954.0,1.87,410.0,26688.0,12180.0,0.03,5,0.006999999999999999,0.18181818181818182,0.264613671463196,0.0,udp
1476228618,232426439592,584327554,823497834,68403230,216125363,437811682,141733267,770821037,246288220,0.709567809257893,0.14640372118839387,3.129751950783517,157.44610066352203,540,0,0,0,0,141732911,108,0,0,0,0,3818,3750,0,4197,3766,0,3808,3679,0,0,0,0.0,0.0,0.0,3.8099831308763568e-06,0.0,2.00000261885386,1428576.0,2859342.0,2715167227904.0,14115269.0,1.87,390.0,15104.0,14393.0,0.03,5,0.006999999999999999,0.18181818181818182,0.2647471325098682,0.0,udp
