total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,delta_pps_5w,delta_pps_10w,pps_variance,pps_baseline,ratio_vs_baseline,top_ip_pps_50ms,top_ip_pps_1s,top_ip_pps_1min,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,adaptive_threshold,label
999929480,124349138637,231078201,713517355,55333924,187936193,385667837,93464597,628791827,5061506,0.3238578562675606,0.1879494471950162,124.23018504769134,124.35790835669731,0,0,0,0,0,93464688,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.027302833820959,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.18181818181818182,0.26377107801402117,0.0,webddos
1063658712,131018075439,249117630,756948739,57592343,204915631,418949211,101584339,653373415,28194227,0.32910766233537514,0.1926516735943399,23.17401413417009,123.17679906240453,0,0,0,0,0,101584422,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.1477575165281126,1243904.0,2487552.0,2060508594176.0,10886940.0,2.12,345.0,15648.0,2433.0,0.14,5,0.006999999999999999,0.18181818181818182,0.26401644792560863,0.0,webddos
1127398871,137688634959,267159939,800388489,59850443,221898195,452235562,109703842,677961586,51330250,0.333787832623365,0.19682314814026455,13.20783721100131,122.12947741988647,0,0,0,0,0,109703945,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.261581575488023,1246976.0,2490028.0,2057335996416.0,12332239.0,1.87,345.0,4480.0,4396.0,0.08,5,0.006999999999999999,0.18181818181818182,0.2642244292491324,0.0,webddos
1191154246,144360805526,285207699,843838094,62108453,238883730,485528971,117826192,702557210,74468275,0.33798865093663333,0.2005481076881457,9.434315619638028,121.19404855481663,0,0,0,0,0,117826284,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3692993232973003,1243904.0,2487296.0,2060829720576.0,12334261.0,1.87,380.0,20320.0,6354.0,0.06,5,0.006999999999999999,0.18181818181818182,0.2644026687532231,0.0,webddos
1254945072,151037039236,303275717,887299880,64369475,255872219,518828176,125958037,727173791,97605299,0.34179618845434756,0.20389116998739845,7.4501466462389505,120.35350598675446,0,0,0,0,0,125958129,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.471368673866107,1243136.0,2493184.0,2062520156160.0,12334452.0,1.87,352.0,10144.0,8316.0,0.04,5,0.006999999999999999,0.18181818181818182,0.26455724103446715,0.0,webddos
1318677147,157706814381,321317753,930730182,66629214,272850009,552110221,134078071,751759262,120733947,0.34523190416962324,0.2069119113960045,6.226577368501006,119.59471257978811,0,0,0,0,0,134078164,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5682094330531733,1243440.0,2486812.0,2057401663488.0,13852998.0,1.79,366.0,26080.0,10268.0,0.04,5,0.006999999999999999,0.18181818181818182,0.26469201419806315,0.0,webddos
1382420731,164377656035,339363509,974168598,68888624,289831056,585397122,142200028,776349531,143866547,0.3483621928449802,0.20965473788167605,5.396317261996981,118.90566478708283,0,0,0,0,0,142200104,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.660252199030087,1243392.0,2486952.0,2060669550592.0,12466561.0,1.85,387.0,15456.0,12205.0,0.03,5,0.008,0.18181818181818182,0.26481117012242517,0.0,webddos
1446183602,171050585512,357413190,1017623749,71146663,306818527,618693319,150323430,800948892,167006180,0.35122331839368265,0.21215738207492135,4.795923671806636,118.27722653987055,0,0,0,0,0,150323527,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7478534318285566,1247488.0,2490880.0,2058289020928.0,13815779.0,1.79,407.0,5088.0,14178.0,0.03,5,0.008,0.18181818181818182,0.26491750395504504,0.0,webddos
1509942696,177723426856,375464694,1061072638,73405364,323802871,651984493,158447350,825549248,190140083,0.35385390269577377,0.21444712561462664,4.341794928110976,117.70210043520751,0,0,0,0,0,158447437,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.8312806468329432,1243864.0,2487580.0,2060934316032.0,12462722.0,1.85,373.0,20896.0,16164.0,0.02,5,0.006999999999999999,0.18181818181818182,0.26501254133911667,0.0,webddos
1573764450,184403017727,393536150,1104557728,75670572,340798349,685295359,166581334,850183499,213279622,0.3562839134832435,0.21654978227523186,3.9862387743729215,117.17320068260533,0,0,0,0,0,166581421,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.910839122284141,1243648.0,2490880.0,2060301107200.0,12336167.0,1.87,338.0,9920.0,18084.0,0.02,5,0.006999999999999999,0.18181818181818182,0.2650983489562742,0.0,webddos
