feature,importance
ip_concentration,673661.9062919617
baseline_attack_ratio,345112.03294605017
ldap_ratio,219446.885153234
mssql_ratio,196233.25721985102
ssdp_ratio,193826.7478184104
active_attack_protocols,189588.78381597996
netbios_ratio,182862.99252545834
tftp_ratio,173718.73109400272
portmap_ratio,170256.57046753168
snmp_ratio,163120.45340371132
query_response_ratio,152223.56370431185
protocol_diversity,144466.7456601262
attack_entropy,140540.69231772423
dns_amplification_factor,136803.5929300189
ntp_monlist_ratio,129559.54633772373
http_payload_ratio,119263.43849951029
syn_only_ratio,112729.13755983114
dns_query_ratio,103049.92191720009
bytes_per_packet,95858.29902207851
max_protocol_ratio,89731.6846691966
new_ips_ratio,86325.87950015068
syn_http_ratio,84882.36751508713
ratio_vs_baseline,79236.46985816956
http_request_ratio,73556.58266812563
syn_total_ratio,46322.73794794083
syn_ack_ratio,31157.49548637867
udp_tcp_ratio,14966.52677589655
icmp_ratio,7843.071463108063
ratio_50ms_1min,1116.7620894312859
num_heavy_hitters,0.0
ntp_amplification_factor,0.0
fragmentation_ratio,0.0
snmp_amplification_factor,0.0
