feature,importance
ip_concentration,633106.9618259668
baseline_attack_ratio,399788.69919115305
ldap_ratio,219541.3074027896
mssql_ratio,195439.92651110888
ssdp_ratio,194463.25470733643
active_attack_protocols,186738.34218800068
netbios_ratio,180262.0807080865
tftp_ratio,173664.27182513475
portmap_ratio,172699.6463100314
attack_entropy,170418.02936452627
snmp_ratio,163095.26853376627
query_response_ratio,152647.95253896713
ntp_monlist_ratio,133467.75168043375
dns_amplification_factor,121254.77262181044
http_payload_ratio,121080.40992224216
syn_only_ratio,112493.6562153101
protocol_diversity,112438.29567867517
dns_query_ratio,105361.88028520346
new_ips_ratio,103834.90705740452
max_protocol_ratio,103801.47643172741
bytes_per_packet,96383.54801207781
syn_http_ratio,85116.62116235495
http_request_ratio,73110.93195271492
syn_total_ratio,46503.345791220665
ratio_vs_baseline,41003.41876608133
syn_ack_ratio,32444.894767045975
udp_tcp_ratio,18295.507338881493
icmp_ratio,8734.993476688862
ratio_50ms_1min,1030.68816614151
num_heavy_hitters,1.7407600283622742
ntp_amplification_factor,0.0
fragmentation_ratio,0.0
snmp_amplification_factor,0.0
