feature,importance
ip_concentration,140999.02197384834
baseline_attack_ratio,65755.93927520514
ldap_ratio,41389.22284460068
mssql_ratio,38280.040544867516
ssdp_ratio,35530.90319061279
portmap_ratio,34248.94097447395
netbios_ratio,33768.71966820955
active_attack_protocols,32938.95280098915
tftp_ratio,32428.65673393011
snmp_ratio,31193.313809633255
attack_entropy,28943.70160382986
ntp_monlist_ratio,27753.455513894558
query_response_ratio,27375.696356892586
dns_amplification_factor,24925.781446695328
protocol_diversity,23380.86683690548
syn_only_ratio,22050.336545467377
http_payload_ratio,21814.8931158185
max_protocol_ratio,18760.33657693863
bytes_per_packet,18162.7052038908
dns_query_ratio,17168.315173745155
new_ips_ratio,16052.471590459347
syn_http_ratio,15849.901492893696
ratio_vs_baseline,14838.312458455563
http_request_ratio,12586.320869088173
syn_total_ratio,8330.849258303642
syn_ack_ratio,6128.298078656197
udp_tcp_ratio,1918.0093982815742
icmp_ratio,697.7858568429947
ratio_50ms_1min,100.98421424627304
num_heavy_hitters,1.0793529748916626
ntp_amplification_factor,0.0
fragmentation_ratio,0.0
snmp_amplification_factor,0.0
