feature,importance
top_ip_pps_50ms,589833.4512864351
ip_concentration,285703.22861641645
ldap_search_requests,231246.30861508846
portmap_getport_calls,168130.22537952662
mssql_sqlbatch_packets,156225.3542419076
ntp_monlist_queries,142680.88449513912
netbios_name_queries,135811.96059262753
ssdp_msearch_packets,135355.81966209412
snmp_ratio,134159.16661924124
tftp_ratio,128307.49345183372
attack_packets,122637.58964419365
active_attack_protocols,114746.03636991978
dns_any_queries,107769.7952376008
mssql_ratio,99917.97469377518
syn_only_ratio,95741.44528537989
ssdp_ratio,95254.05149257183
netbios_dgram_packets,93867.38844013214
snmp_getbulk_requests,88873.4129474163
dns_amplification_factor,87949.60808497667
http_payload_packets,87835.5687713623
tftp_rrq_packets,79929.76116889715
total_bytes,77802.3894162178
http_payload_ratio,77498.05663895607
ntp_monlist_ratio,77444.97481101751
syn_only_packets,76914.51356714964
baseline_attack_ratio,63766.23572230339
syn_http_ratio,54092.319579422474
pps_variance,51337.57806968689
attack_entropy,47665.49833446741
portmap_ratio,46407.82258582115
pps_baseline,44959.041204452515
dns_queries,42404.29891270399
ldap_ratio,38079.90953707695
ssdp_responses,33827.9646242857
bytes_per_packet,32560.11383265257
protocol_diversity,29816.7692181468
max_protocol_ratio,27222.650480031967
query_response_ratio,26144.407513856888
ratio_vs_baseline,26127.99265563488
http_request_ratio,25444.502399623394
syn_total_ratio,24583.540589094162
syn_ack_ratio,20556.660800755024
new_ips_ratio,13510.924783408642
netbios_ratio,10314.489596962929
dns_query_ratio,5736.135253250599
http_requests,2983.8782930374146
dns_responses,2811.2033637166023
delta_pps_5w,2793.071807682514
delta_pps_10w,2335.7777436971664
syn_packets,2192.949185490608
udp_tcp_ratio,2180.3258036375046
tcp_packets,618.6558662056923
top_ip_pps_1min,458.2329329252243
top_ip_pps_1s,431.16994202136993
baseline_packets,354.71291851997375
icmp_ratio,322.7373234629631
ratio_50ms_1min,286.96726524829865
icmp_packets,195.92465460300446
udp_packets,115.04154545068741
total_packets,90.85011291503906
fragmentation_ratio,0.0
snmp_amplification_factor,0.0
ntp_amplification_factor,0.0
tftp_wrq_packets,0.0
mssql_rpc_packets,0.0
ldap_bind_requests,0.0
portmap_dump_calls,0.0
avg_snmp_response_size,0.0
snmp_responses,0.0
avg_dns_response_size,0.0
num_heavy_hitters,0.0
dns_txt_queries,0.0
avg_ntp_response_size,0.0
ntp_responses,0.0
adaptive_threshold,0.0
