feature,importance
top_ip_pps_50ms,420500.3057727814
ip_concentration,211274.81513476372
ldap_search_requests,155233.71722513437
netbios_name_queries,126508.20348745584
portmap_getport_calls,123982.41204082966
ntp_monlist_queries,106673.79405486584
mssql_sqlbatch_packets,104863.33155173063
ssdp_msearch_packets,91885.88177728653
attack_packets,91176.08578181267
snmp_ratio,81790.14141744375
active_attack_protocols,79886.21081376076
dns_any_queries,78000.47674423456
tftp_ratio,76682.08268284798
snmp_getbulk_requests,76526.86868286133
mssql_ratio,70548.3766617775
http_payload_packets,69736.31627833843
baseline_attack_ratio,68712.0354821086
ssdp_ratio,65825.18754440546
tftp_rrq_packets,65692.47413480282
syn_only_packets,64012.492723464966
dns_amplification_factor,61400.30819320679
syn_only_ratio,58932.96124792099
total_bytes,54418.854106485844
ntp_monlist_ratio,54160.72734981775
pps_variance,43140.75780725479
pps_baseline,42949.747711122036
netbios_dgram_packets,37379.642364919186
syn_http_ratio,36305.946458518505
http_payload_ratio,36001.54969406128
portmap_ratio,34339.70127791166
ldap_ratio,26674.254967689514
attack_entropy,24780.73446840048
syn_ack_ratio,24676.80023229122
bytes_per_packet,22003.356264054775
dns_queries,21549.541581869125
query_response_ratio,18418.507896780968
ssdp_responses,18190.36853325367
protocol_diversity,16908.246854364872
ratio_vs_baseline,16609.185761332512
max_protocol_ratio,13462.545907914639
dns_query_ratio,12577.737311780453
http_request_ratio,10819.604173243046
syn_total_ratio,9561.248375952244
new_ips_ratio,9268.598471045494
total_packets,9165.529045701027
netbios_ratio,6950.953560709953
http_requests,3828.335643827915
delta_pps_5w,1949.8967818021774
dns_responses,1108.0903931856155
udp_tcp_ratio,1072.476987183094
delta_pps_10w,881.8614557385445
top_ip_pps_1min,384.07499504089355
ratio_50ms_1min,250.26664704084396
syn_packets,170.2724878191948
udp_packets,155.5565966963768
baseline_packets,119.38240003585815
icmp_ratio,109.51987671852112
top_ip_pps_1s,66.32556730508804
icmp_packets,36.43096923828125
tcp_packets,34.85547935962677
num_heavy_hitters,0.0
fragmentation_ratio,0.0
ntp_responses,0.0
snmp_amplification_factor,0.0
avg_ntp_response_size,0.0
dns_txt_queries,0.0
avg_dns_response_size,0.0
snmp_responses,0.0
avg_snmp_response_size,0.0
portmap_dump_calls,0.0
ldap_bind_requests,0.0
mssql_rpc_packets,0.0
tftp_wrq_packets,0.0
ntp_amplification_factor,0.0
adaptive_threshold,0.0
