feature,importance
top_ip_pps_50ms,123233.24760144949
ip_concentration,56050.134188592434
ldap_search_requests,42477.288725972176
netbios_name_queries,33068.59280657768
portmap_getport_calls,32072.83465397358
attack_packets,31025.641138970852
mssql_sqlbatch_packets,30481.283433139324
ntp_monlist_queries,27091.748197972775
ssdp_ratio,25882.00270241499
snmp_getbulk_requests,25845.429263710976
tftp_ratio,23820.084231615067
active_attack_protocols,21705.792067825794
dns_any_queries,21232.842218637466
syn_only_packets,19101.96038633585
mssql_ratio,18291.17943394184
ssdp_msearch_packets,17191.765711188316
http_payload_packets,16708.637794137
tftp_rrq_packets,16357.892969310284
snmp_ratio,15895.904342472553
dns_amplification_factor,14412.875905752182
http_payload_ratio,14084.57619190216
syn_only_ratio,14052.575472414494
ntp_monlist_ratio,14023.469715833664
total_bytes,10163.342896461487
baseline_attack_ratio,9947.340371072292
portmap_ratio,9900.09233057499
bytes_per_packet,9370.35681205988
pps_baseline,9334.573561429977
netbios_dgram_packets,8891.222828447819
syn_http_ratio,8797.435413777828
attack_entropy,8086.347823083401
dns_queries,7964.176421284676
ldap_ratio,7400.933435559273
pps_variance,7262.233177304268
ssdp_responses,6645.666721463203
max_protocol_ratio,5636.692913770676
query_response_ratio,4952.776508569717
syn_total_ratio,4832.439341425896
http_request_ratio,4782.557377457619
ratio_vs_baseline,3920.2890219688416
syn_ack_ratio,3665.5221891999245
protocol_diversity,3647.312533020973
netbios_ratio,2130.8222428560257
dns_query_ratio,1830.8415709137917
new_ips_ratio,1704.4291726350784
top_ip_pps_1s,632.593702018261
dns_responses,577.9477460384369
delta_pps_5w,483.1660068631172
udp_tcp_ratio,454.5650685429573
http_requests,310.2522231936455
delta_pps_10w,246.25940883159637
tcp_packets,236.29786747694016
syn_packets,204.28584563732147
baseline_packets,172.45464503765106
top_ip_pps_1min,121.45141768455505
ratio_50ms_1min,72.21379417181015
udp_packets,65.37905472517014
total_packets,23.472190022468567
icmp_packets,7.32951807975769
icmp_ratio,7.133902132511139
snmp_responses,0.0
ntp_responses,0.0
avg_ntp_response_size,0.0
num_heavy_hitters,0.0
dns_txt_queries,0.0
avg_dns_response_size,0.0
avg_snmp_response_size,0.0
fragmentation_ratio,0.0
portmap_dump_calls,0.0
ldap_bind_requests,0.0
mssql_rpc_packets,0.0
tftp_wrq_packets,0.0
ntp_amplification_factor,0.0
snmp_amplification_factor,0.0
adaptive_threshold,0.0
