feature,importance
pps_baseline,575076.9151945114
pps_variance,262463.0104302168
ratio_vs_total_mssql,218556.9654765129
ratio_vs_total_http,189075.2125865817
ratio_vs_total_snmp,182542.41945427656
ratio_vs_total_netbios,179143.52404731512
ratio_vs_total_ntp,164708.65003955364
ratio_vs_total_ssdp,154766.38258999586
ratio_vs_total_portmap,145772.59873598814
ratio_vs_total_tftp,137983.3545922637
pps_udp_other,137306.15180021524
ratio_vs_total_ldap,132802.95958775282
adaptive_threshold,131959.68362742662
ratio_vs_total_dns,116403.58615916967
ratio_vs_total_syn,114496.50641202927
avg_packet_size,113777.18117827177
pps_portmap,103559.63076663017
top_ip_pps_1s,97311.88178992271
heavy_hitters_tftp,85959.50750774145
packet_size_variance,85015.46486616135
pps_syn,82831.89627861977
heavy_hitters_ssdp,76335.21914440393
pps_ldap,72324.5500087142
pps_dns,69198.13279908895
ip_concentration_udp_other,67029.41112792492
pps_http,60274.783109366894
heavy_hitters_ntp,57165.267236709595
heavy_hitters_udp_other,50107.558975696564
pps_tftp,49611.19842761755
pps_snmp,47241.66581237316
heavy_hitters_ldap,44688.99980354309
heavy_hitters_netbios,41129.198366463184
pps_netbios,40472.06836825609
pps_ntp,34345.47875660658
heavy_hitters_snmp,34085.47912311554
pps_mssql,34023.62856888771
pps_ssdp,24716.368821382523
heavy_hitters_dns,24507.70445638895
ratio_vs_baseline,23867.42169570923
ip_concentration_syn,21723.940394461155
heavy_hitters_syn,17910.372896909714
ip_concentration_dns,15253.375384688377
heavy_hitters_http,12404.030758142471
ip_concentration_http,12225.019060254097
heavy_hitters_mssql,10779.773861825466
heavy_hitters_portmap,10208.005794584751
ip_concentration_ldap,9292.423656523228
ip_concentration_ssdp,8267.246892690659
ip_concentration_tftp,7075.50280547142
ip_concentration_mssql,6203.595356285572
ip_concentration_ntp,6177.23613512516
ip_concentration_portmap,6010.7141969799995
top_ip_pps_50ms,4514.4398891329765
ip_concentration_netbios,3197.7327160835266
ip_concentration_snmp,2637.993146300316
ratio_vs_total_udp_other,1775.51278591156
delta_pps_5w,1379.4183495640755
ip_concentration,1291.2101497650146
ratio_50ms_1min,1022.6094022393227
num_heavy_hitters,826.3189697265625
top_ip_pps_1min,578.2942740917206
delta_pps_10w,458.925861120224
attack_entropy,258.3825345635414
new_ips_ratio,0.0
