feature,importance
pps_baseline,21176.420244276524
adaptive_threshold,8418.382698118687
top_ip_pps_1s,6474.325383543968
ratio_vs_total_portmap,5046.898429751396
ratio_vs_total_snmp,4972.806704342365
ratio_vs_total_tftp,4964.9129202365875
ratio_vs_total_netbios,4681.307532608509
ratio_vs_total_ntp,4216.443364262581
ratio_vs_total_ssdp,4086.945417165756
ratio_vs_total_ldap,3940.4097976088524
ratio_vs_total_syn,3856.9859023690224
ratio_vs_total_mssql,3840.4660866856575
ratio_vs_total_http,3800.260713160038
ratio_vs_total_dns,3685.5194987654686
pps_udp_other,3477.1266298890114
top_ip_pps_50ms,3043.96007925272
packet_size_variance,2741.538175702095
pps_mssql,2182.828004181385
heavy_hitters_udp_other,1837.8429732322693
pps_http,1760.7508055567741
heavy_hitters_ldap,1723.665165901184
pps_ssdp,1591.9789658784866
heavy_hitters_dns,1417.0241979956627
avg_packet_size,1396.0896290540695
pps_ntp,1329.7381294965744
pps_syn,1308.9041300415993
pps_tftp,1280.7994437813759
pps_netbios,1098.9017567038536
ip_concentration,1023.2787711024284
pps_dns,977.4766299128532
pps_portmap,972.4108451008797
heavy_hitters_snmp,971.7330510020256
pps_ldap,888.9190599322319
pps_variance,866.1935904622078
heavy_hitters_syn,835.3643953204155
pps_snmp,815.3148866295815
heavy_hitters_mssql,682.6360654234886
heavy_hitters_ssdp,556.8186776041985
heavy_hitters_portmap,555.3155136108398
heavy_hitters_ntp,533.5436704158783
ip_concentration_netbios,495.49824744462967
ip_concentration_udp_other,494.0357683300972
heavy_hitters_tftp,410.43301063776016
heavy_hitters_netbios,397.266824901104
ip_concentration_tftp,357.0851153731346
ip_concentration_ntp,351.4150389432907
heavy_hitters_http,334.9465980529785
ip_concentration_ssdp,333.73357796669006
ratio_vs_baseline,326.33157527446747
ratio_vs_total_udp_other,268.36861127614975
attack_entropy,217.51964682340622
ip_concentration_dns,214.62790805101395
ip_concentration_http,205.10616594552994
ip_concentration_syn,187.68009465932846
ip_concentration_ldap,168.27858716249466
ip_concentration_portmap,120.77416062355042
ip_concentration_snmp,119.05620580911636
ip_concentration_mssql,89.91405200958252
delta_pps_10w,31.984017968177795
delta_pps_5w,25.520625054836273
ratio_50ms_1min,11.889909148216248
top_ip_pps_1min,7.226216077804565
new_ips_ratio,0.0
num_heavy_hitters,0.0
